Drug Name,Disease,Source Key
emapalumab,intolerance,emapalumab
emapalumab,pediatric patients,emapalumab
emapalumab,progressive disease,emapalumab
emapalumab,treatment of: adult,emapalumab
satralizumab-mwge,NMOSD,satralizumab-mwge
satralizumab-mwge,antibody positive,satralizumab-mwge
satralizumab-mwge,in adult patients,satralizumab-mwge
satralizumab-mwge,neuromyelitis optica spectrum disorder,satralizumab-mwge
somapacitan,pediatric patients aged 2,somapacitan
somapacitan,replacement of endogenous GH in adults,somapacitan
somapacitan,Pediatric Patients: Treatment of pediatric patients aged 2,somapacitan
belantamab mafodotin,combination,belantamab mafodotin
belantamab mafodotin,proteasome inhibitor,belantamab mafodotin
belantamab mafodotin,immunomodulatory agent,belantamab mafodotin
belantamab mafodotin,refractory multiple myeloma,belantamab mafodotin
belantamab mafodotin,dexamethasone for the treatment of adult patients,belantamab mafodotin
tafasitamab-cxix,DLBCL,tafasitamab-cxix
tafasitamab-cxix,adult patients,tafasitamab-cxix
tafasitamab-cxix,not otherwise specified,tafasitamab-cxix
tafasitamab-cxix,refractory follicular lymphoma,tafasitamab-cxix
tafasitamab-cxix,DLBCL arising from low grade lymphoma,tafasitamab-cxix
tafasitamab-cxix,refractory diffuse large B-cell lymphoma,tafasitamab-cxix
tafasitamab-cxix,DLBCL,tafasitamab-cxix
tafasitamab-cxix,combination,tafasitamab-cxix
tafasitamab-cxix,adult patients,tafasitamab-cxix
tafasitamab-cxix,not otherwise specified,tafasitamab-cxix
tafasitamab-cxix,DLBCL arising from low grade lymphoma,tafasitamab-cxix
tafasitamab-cxix,refractory diffuse large B-cell lymphoma,tafasitamab-cxix
rituximab,DLBCL,rituximab
rituximab,Relapsed,rituximab
rituximab,prednisone,rituximab
rituximab,refractory,rituximab
rituximab,doxorubicin,rituximab
rituximab,vincristine,rituximab
rituximab,adult patients,rituximab
rituximab,stable disease,rituximab
rituximab,cyclophosphamide,rituximab
rituximab,Previously untreated,rituximab
rituximab,non-malignant conditions,rituximab
rituximab,adult patients with: Relapsed,rituximab
