Drug Name,Disease,Source Key
"pertuzumab, trastuzumab, and hyaluronidase",as part of a complete treatment regimen for early breast cancer [see the adjuvant treatment of adult patients,"pertuzumab, trastuzumab, and hyaluronidase"
collagenase clostridium histolyticum,adult men,collagenase clostridium histolyticum
collagenase clostridium histolyticum,adult patients,collagenase clostridium histolyticum
collagenase clostridium histolyticum,The treatment of adult patients,collagenase clostridium histolyticum
collagenase clostridium histolyticum,curvature deformity of at least 30 degrees at the start of therapy,collagenase clostridium histolyticum
epoetin alfa,patients,epoetin alfa
epoetin alfa,noncardiac,epoetin alfa
epoetin alfa,transfusion,epoetin alfa
epoetin alfa,radiotherapy,epoetin alfa
epoetin alfa,not on dialysis,epoetin alfa
epoetin alfa,upon initiation,epoetin alfa
epoetin alfa,use: In patients,epoetin alfa
epoetin alfa,biologic products,epoetin alfa
epoetin alfa,anemia in patients,epoetin alfa
epoetin alfa,nonvascular surgery,epoetin alfa
epoetin alfa,patients on dialysis,epoetin alfa
epoetin alfa,in patients on dialysis,epoetin alfa
epoetin alfa,anemia due to chronic kidney disease,epoetin alfa
epoetin alfa,anemia due to: - Chronic Kidney Disease,epoetin alfa
epoetin alfa,Treatment of anemia due to: - Chronic Kidney Disease,epoetin alfa
epoetin alfa,not on dialysis to decrease the need for red blood cell,epoetin alfa
epoetin alfa,reduce the need for allogeneic RBC transfusions among patients,epoetin alfa
epoetin alfa,unless also receiving concomitant myelosuppressive chemotherapy,epoetin alfa
epoetin alfa,anemia due to zidovudine administered at ≤ 4200 mg/week in patients,epoetin alfa
epoetin alfa,there is a minimum of two additional months of planned chemotherapy,epoetin alfa
epoetin alfa,patients,epoetin alfa
epoetin alfa,noncardiac,epoetin alfa
epoetin alfa,In patients,epoetin alfa
epoetin alfa,transfusion,epoetin alfa
epoetin alfa,radiotherapy,epoetin alfa
epoetin alfa,not on dialysis,epoetin alfa
epoetin alfa,upon initiation,epoetin alfa
epoetin alfa,biologic products,epoetin alfa
epoetin alfa,anemia in patients,epoetin alfa
epoetin alfa,nonvascular surgery,epoetin alfa
epoetin alfa,patients on dialysis,epoetin alfa
epoetin alfa,200 mg/week in patients,epoetin alfa
epoetin alfa,in patients on dialysis,epoetin alfa
epoetin alfa,anemia due to chronic kidney disease,epoetin alfa
epoetin alfa,anemia due to o Chronic Kidney Disease,epoetin alfa
epoetin alfa,anemia due to zidovudine administered at ≤ 4,epoetin alfa
epoetin alfa,not on dialysis to decrease the need for red blood cell,epoetin alfa
epoetin alfa,reduce the need for allogeneic RBC transfusions among patients,epoetin alfa
epoetin alfa,unless also receiving concomitant myelosuppressive chemotherapy,epoetin alfa
epoetin alfa,there is a minimum of two additional months of planned chemotherapy,epoetin alfa
epoetin alfa,patients,epoetin alfa
epoetin alfa,noncardiac,epoetin alfa
epoetin alfa,In patients,epoetin alfa
epoetin alfa,transfusion,epoetin alfa
epoetin alfa,radiotherapy,epoetin alfa
epoetin alfa,not on dialysis,epoetin alfa
epoetin alfa,upon initiation,epoetin alfa
epoetin alfa,biologic products,epoetin alfa
epoetin alfa,anemia in patients,epoetin alfa
epoetin alfa,nonvascular surgery,epoetin alfa
epoetin alfa,patients on dialysis,epoetin alfa
epoetin alfa,200 mg/week in patients,epoetin alfa
epoetin alfa,in patients on dialysis,epoetin alfa
epoetin alfa,anemia due to chronic kidney disease,epoetin alfa
epoetin alfa,anemia due to o Chronic Kidney Disease,epoetin alfa
epoetin alfa,anemia due to zidovudine administered at ≤ 4,epoetin alfa
epoetin alfa,not on dialysis to decrease the need for red blood cell,epoetin alfa
epoetin alfa,reduce the need for allogeneic RBC transfusions among patients,epoetin alfa
epoetin alfa,unless also receiving concomitant myelosuppressive chemotherapy,epoetin alfa
epoetin alfa,there is a minimum of two additional months of planned chemotherapy,epoetin alfa
dupilumab,adult,dupilumab
dupilumab,older,dupilumab
dupilumab,CRSwNP,dupilumab
dupilumab,adult patients,dupilumab
dupilumab,eosinophilic phenotype,dupilumab
dupilumab,weighing at least 15 kg,dupilumab
dupilumab,pediatric patients aged 1 year,dupilumab
dupilumab,pediatric patients aged 2 years,dupilumab
dupilumab,pediatric patients aged 6 years,dupilumab
dupilumab,pediatric patients aged 12 years,dupilumab
dupilumab,pediatric patients aged 6 months,dupilumab
dupilumab,add-on maintenance treatment in adult,dupilumab
dupilumab,add-on maintenance treatment of adult,dupilumab
dupilumab,when those therapies are not advisable,dupilumab
dupilumab,whose disease is not adequately controlled,dupilumab
dupilumab,add-on maintenance treatment of adult patients,dupilumab
dupilumab,who remain symptomatic despite H1 antihistamine treatment,dupilumab
insulin lispro,pediatric patients,insulin lispro
insulin lispro,improve glycemic control in adult,insulin lispro
insulin lispro,pediatric patients,insulin lispro
insulin lispro,improve glycemic control in adult,insulin lispro
insulin lispro,pediatric patients,insulin lispro
insulin lispro,improve glycemic control in adult,insulin lispro
insulin lispro,pediatric patients,insulin lispro
insulin lispro,improve glycemic control in adult,insulin lispro
insulin lispro,pediatric patients,insulin lispro
insulin lispro,improve glycemic control in adult,insulin lispro
insulin lispro,pediatric patients,insulin lispro
insulin lispro,improve glycemic control in adult,insulin lispro
insulin lispro,pediatric patients,insulin lispro
insulin lispro,improve glycemic control in adult,insulin lispro
insulin lispro,improve glycemic control in adults,insulin lispro
insulin lispro,pediatric patients,insulin lispro
insulin lispro,improve glycemic control in adult,insulin lispro
insulin lispro,pediatric patients,insulin lispro
insulin lispro,improve glycemic control in adult,insulin lispro
insulin lispro,improve glycemic control in adults,insulin lispro
insulin lispro,pediatric patients,insulin lispro
insulin lispro,improve glycemic control in adult,insulin lispro
insulin lispro,improve glycemic control in adults,insulin lispro
pegfilgrastim,in patients,pegfilgrastim
pegfilgrastim,decrease the incidence of infection,pegfilgrastim
pegfilgrastim,as manifested by febrile neutropenia,pegfilgrastim
pegfilgrastim,increase survival in patients acutely exposed to myelosuppressive doses of radiation [see,pegfilgrastim
pegfilgrastim,in patients,pegfilgrastim
pegfilgrastim,decrease the incidence of infection,pegfilgrastim
pegfilgrastim,as manifested by febrile neutropenia,pegfilgrastim
pegfilgrastim,increase survival in patients acutely exposed to myelosuppressive doses of radiation [see,pegfilgrastim
pegfilgrastim,in patients,pegfilgrastim
pegfilgrastim,decrease the incidence of infection,pegfilgrastim
pegfilgrastim,as manifested by febrile neutropenia,pegfilgrastim
pegfilgrastim,in patients,pegfilgrastim
pegfilgrastim,decrease the incidence of infection,pegfilgrastim
pegfilgrastim,as manifested by febrile neutropenia,pegfilgrastim
pegfilgrastim,in patients,pegfilgrastim
pegfilgrastim,decrease the incidence of infection,pegfilgrastim
pegfilgrastim,as manifested by febrile neutropenia,pegfilgrastim
pegfilgrastim,increase survival in patients acutely exposed to myelosuppressive doses of radiation [see,pegfilgrastim
pegfilgrastim,adults,pegfilgrastim
pegfilgrastim,in patients,pegfilgrastim
pegfilgrastim,increase survival,pegfilgrastim
pegfilgrastim,pediatric patients aged newborn,pegfilgrastim
pegfilgrastim,as manifested by febrile neutropenia,pegfilgrastim
pegfilgrastim,older to decrease the incidence of infection,pegfilgrastim
pegfilgrastim,older acutely exposed to myelosuppressive doses of radiation [see,pegfilgrastim
pegfilgrastim,in patients,pegfilgrastim
pegfilgrastim,decrease the incidence of infection,pegfilgrastim
pegfilgrastim,as manifested by febrile neutropenia,pegfilgrastim
pegfilgrastim,increase survival in patients acutely exposed to myelosuppressive doses of radiation [see,pegfilgrastim
pegfilgrastim,adults,pegfilgrastim
pegfilgrastim,in patients,pegfilgrastim
pegfilgrastim,increase survival,pegfilgrastim
pegfilgrastim,pediatric patients aged newborn,pegfilgrastim
pegfilgrastim,as manifested by febrile neutropenia,pegfilgrastim
pegfilgrastim,older to decrease the incidence of infection,pegfilgrastim
pegfilgrastim,older acutely exposed to myelosuppressive doses of radiation [see,pegfilgrastim
insulin glargine,in adults,insulin glargine
insulin glargine,pediatric patients,insulin glargine
insulin glargine,improve glycemic control,insulin glargine
insulin glargine,pediatric patients,insulin glargine
insulin glargine,improve glycemic control in adult,insulin glargine
insulin glargine,older,insulin glargine
insulin glargine,improve glycemic control,insulin glargine
insulin glargine,pediatric patients 6 years of age,insulin glargine
insulin glargine,pediatric patients,insulin glargine
insulin glargine,improve glycemic control in adult,insulin glargine
insulin glargine,pediatric patients,insulin glargine
insulin glargine,improve glycemic control in adult,insulin glargine
insulin glargine,adjunct to diet,insulin glargine
insulin glargine,exercise to improve glycemic control in adults,insulin glargine
insulin glargine,older,insulin glargine
insulin glargine,improve glycemic control,insulin glargine
insulin glargine,pediatric patients 6 years of age,insulin glargine
insulin glargine,pediatric patients,insulin glargine
insulin glargine,improve glycemic control in adult,insulin glargine
insulin glargine,pediatric patients,insulin glargine
insulin glargine,improve glycemic control in adult,insulin glargine
insulin glargine,pediatric patients,insulin glargine
insulin glargine,improve glycemic control in adult,insulin glargine
insulin glargine,pediatric patients,insulin glargine
insulin glargine,improve glycemic control in adult,insulin glargine
insulin glargine,in adults,insulin glargine
insulin glargine,pediatric patients,insulin glargine
insulin glargine,improve glycemic control,insulin glargine
insulin glargine,older,insulin glargine
insulin glargine,improve glycemic control,insulin glargine
insulin glargine,pediatric patients 6 years of age,insulin glargine
insulin glargine,pediatric patients,insulin glargine
insulin glargine,improve glycemic control in adult,insulin glargine
insulin glargine,older,insulin glargine
insulin glargine,improve glycemic control,insulin glargine
insulin glargine,pediatric patients 6 years of age,insulin glargine
insulin glargine,pediatric patients,insulin glargine
insulin glargine,improve glycemic control in adult,insulin glargine
insulin glargine,pediatric patients,insulin glargine
insulin glargine,improve glycemic control in adult,insulin glargine
inebilizumab-cdon,NMOSD,inebilizumab-cdon
inebilizumab-cdon,IgG4-RD,inebilizumab-cdon
inebilizumab-cdon,antibody positive,inebilizumab-cdon
inebilizumab-cdon,in adult patients,inebilizumab-cdon
inebilizumab-cdon,generalized myasthenia gravis,inebilizumab-cdon
inebilizumab-cdon,Immunoglobulin G4-related disease,inebilizumab-cdon
inebilizumab-cdon,anti-muscle specific tyrosine kinase,inebilizumab-cdon
inebilizumab-cdon,Neuromyelitis optica spectrum disorder,inebilizumab-cdon
inebilizumab-cdon,neuromyelitis optica spectrum disorder,inebilizumab-cdon
inebilizumab-cdon,treatment of: Neuromyelitis optica spectrum disorder,inebilizumab-cdon
inebilizumab-cdon,NMOSD,inebilizumab-cdon
inebilizumab-cdon,antibody positive,inebilizumab-cdon
inebilizumab-cdon,in adult patients,inebilizumab-cdon
inebilizumab-cdon,neuromyelitis optica spectrum disorder,inebilizumab-cdon
trastuzumab,taxane,trastuzumab
trastuzumab,patients,trastuzumab
trastuzumab,separately,trastuzumab
trastuzumab,in combination,trastuzumab
trastuzumab,metastatic breast cancer,trastuzumab
trastuzumab,the treatment of patients,trastuzumab
trastuzumab,trastuzumab -based treatment,trastuzumab
trastuzumab,adjuvant treatment of patients,trastuzumab
trastuzumab,inflammatory,trastuzumab
trastuzumab,node positive,trastuzumab
trastuzumab,locally advanced,trastuzumab
trastuzumab,Use in combination,trastuzumab
trastuzumab,use in combination,trastuzumab
trastuzumab,early stage breast cancer,trastuzumab
trastuzumab,either greater than 2 cm in diameter,trastuzumab
trastuzumab,chemotherapy for metastatic disease [see,trastuzumab
trastuzumab,as part of a complete treatment regimen for early breast cancer,trastuzumab
trastuzumab,as part of a complete treatment regimen for early breast cancer [see the adjuvant treatment of adult patients,trastuzumab
trastuzumab,adults,trastuzumab
trastuzumab,capecitabine,trastuzumab
trastuzumab,node negative,trastuzumab
trastuzumab,5-fluorouracil,trastuzumab
trastuzumab,ER/PR negative,trastuzumab
trastuzumab,in combination,trastuzumab
trastuzumab,cyclophosphamide,trastuzumab
trastuzumab,either paclitaxel,trastuzumab
trastuzumab,adults: In combination,trastuzumab
trastuzumab,the treatment of patients,trastuzumab
trastuzumab,HER2-overexpressing breast cancer,trastuzumab
trastuzumab,docetaxel as part of a treatment regimen,trastuzumab
trastuzumab,gastroesophageal junction adenocarcinoma,trastuzumab
trastuzumab,more chemotherapy regimens for metastatic disease,trastuzumab
trastuzumab,adults for: The treatment of HER2-overexpressing breast cancer,trastuzumab
trastuzumab,adults for adjuvant treatment of HER2 overexpressing node positive,trastuzumab
trastuzumab,breast cancer as part of a treatment regimen consisting of doxorubicin,trastuzumab
trastuzumab,carboplatin as a single agent following multi-modality anthracycline based therapy,trastuzumab
trastuzumab,ERBB2,trastuzumab
trastuzumab,IHC 0,trastuzumab
trastuzumab,NSCLC,trastuzumab
trastuzumab,IHC 1+,trastuzumab
trastuzumab,IHC 3+,trastuzumab
trastuzumab,gastric,trastuzumab
trastuzumab,mutations,trastuzumab
trastuzumab,IHC 2+/ISH-,trastuzumab
trastuzumab,solid tumors,trastuzumab
trastuzumab,breast cancer,trastuzumab
trastuzumab,HER2-ultralow,trastuzumab
trastuzumab,adenocarcinoma,trastuzumab
trastuzumab,adult patients,trastuzumab
trastuzumab,as monotherapy,trastuzumab
trastuzumab,adjuvant setting,trastuzumab
trastuzumab,-positive HER2-low,trastuzumab
trastuzumab,in the neoadjuvant,trastuzumab
trastuzumab,IHC 2+/ISH positive,trastuzumab
trastuzumab,metastatic HER2-positive,trastuzumab
trastuzumab,gastroesophageal junction,trastuzumab
trastuzumab,that has progressed on one,trastuzumab
trastuzumab,metastatic Hormone receptor,trastuzumab
trastuzumab,whose tumors have activating HER2,trastuzumab
trastuzumab,as detected by an FDA-approved test,trastuzumab
trastuzumab,developed disease recurrence during,trastuzumab
trastuzumab,as determined by an FDA-approved test,trastuzumab
trastuzumab,metastatic non-small cell lung cancer,trastuzumab
trastuzumab,first-line treatment of adult patients,trastuzumab
trastuzumab,within six months of completing therapy,trastuzumab
trastuzumab,have developed disease recurrence during,trastuzumab
trastuzumab,is indicated for the treatment of adult patients,trastuzumab
trastuzumab,have no satisfactory alternative treatment options,trastuzumab
trastuzumab,as determined by an FDA-approved test [see ENHERTU,trastuzumab
trastuzumab,within 6 months of completing adjuvant chemotherapy [see 1,trastuzumab
trastuzumab,more endocrine therapies in the metastatic setting [see HER2-low,trastuzumab
trastuzumab,adults,trastuzumab
trastuzumab,capecitabine,trastuzumab
trastuzumab,node negative,trastuzumab
trastuzumab,5-fluorouracil,trastuzumab
trastuzumab,ER/PR negative,trastuzumab
trastuzumab,in combination,trastuzumab
trastuzumab,cyclophosphamide,trastuzumab
trastuzumab,either paclitaxel,trastuzumab
trastuzumab,adults: In combination,trastuzumab
trastuzumab,the treatment of patients,trastuzumab
trastuzumab,HER2-overexpressing breast cancer,trastuzumab
trastuzumab,docetaxel as part of a treatment regimen,trastuzumab
trastuzumab,gastroesophageal junction adenocarcinoma,trastuzumab
trastuzumab,more chemotherapy regimens for metastatic disease,trastuzumab
trastuzumab,adults for: the treatment of HER2-overexpressing breast cancer,trastuzumab
trastuzumab,adults for adjuvant treatment of HER2-overexpressing node positive,trastuzumab
trastuzumab,breast cancer as part of a treatment regimen consisting of doxorubicin,trastuzumab
trastuzumab,carboplatin as a single agent following multi-modality anthracycline-based therapy,trastuzumab
trastuzumab,adults,trastuzumab
trastuzumab,capecitabine,trastuzumab
trastuzumab,node negative,trastuzumab
trastuzumab,5-fluorouracil,trastuzumab
trastuzumab,ER/PR negative,trastuzumab
trastuzumab,in combination,trastuzumab
trastuzumab,cyclophosphamide,trastuzumab
trastuzumab,either paclitaxel,trastuzumab
trastuzumab,adults: In combination,trastuzumab
trastuzumab,the treatment of patients,trastuzumab
trastuzumab,HER2-overexpressing breast cancer,trastuzumab
trastuzumab,docetaxel as part of a treatment regimen,trastuzumab
trastuzumab,gastroesophageal junction adenocarcinoma,trastuzumab
trastuzumab,more chemotherapy regimens for metastatic disease,trastuzumab
trastuzumab,adults for: the treatment of HER2-overexpressing breast cancer,trastuzumab
trastuzumab,adults for adjuvant treatment of HER2 overexpressing node positive,trastuzumab
trastuzumab,breast cancer as part of a treatment regimen consisting of doxorubicin,trastuzumab
trastuzumab,carboplatin as a single agent following multi-modality anthracycline based therapy 1,trastuzumab
trastuzumab,adults,trastuzumab
trastuzumab,capecitabine,trastuzumab
trastuzumab,node negative,trastuzumab
trastuzumab,5-fluorouracil,trastuzumab
trastuzumab,ER/PR negative,trastuzumab
trastuzumab,in combination,trastuzumab
trastuzumab,cyclophosphamide,trastuzumab
trastuzumab,either paclitaxel,trastuzumab
trastuzumab,adults: In combination,trastuzumab
trastuzumab,the treatment of patients,trastuzumab
trastuzumab,HER2-overexpressing breast cancer,trastuzumab
trastuzumab,docetaxel as part of a treatment regimen,trastuzumab
trastuzumab,gastroesophageal junction adenocarcinoma,trastuzumab
trastuzumab,more chemotherapy regimens for metastatic disease,trastuzumab
trastuzumab,adults for: The treatment of HER2-overexpressing breast cancer,trastuzumab
trastuzumab,adults for adjuvant treatment of HER2 overexpressing node positive,trastuzumab
trastuzumab,breast cancer as part of a treatment regimen consisting of doxorubicin,trastuzumab
trastuzumab,carboplatin as a single agent following multi-modality anthracycline based therapy,trastuzumab
trastuzumab,adults,trastuzumab
trastuzumab,docetaxel,trastuzumab
trastuzumab,adults for,trastuzumab
trastuzumab,carboplatin,trastuzumab
trastuzumab,capecitabine,trastuzumab
trastuzumab,breast cancer,trastuzumab
trastuzumab,node negative,trastuzumab
trastuzumab,5-fluorouracil,trastuzumab
trastuzumab,ER/PR negative,trastuzumab
trastuzumab,in combination,trastuzumab
trastuzumab,In combination,trastuzumab
trastuzumab,cyclophosphamide,trastuzumab
trastuzumab,either paclitaxel,trastuzumab
trastuzumab,the treatment of patients,trastuzumab
trastuzumab,as part of a treatment regimen,trastuzumab
trastuzumab,HER2-overexpressing breast cancer,trastuzumab
trastuzumab,gastroesophageal junction adenocarcinoma,trastuzumab
trastuzumab,more chemotherapy regimens for metastatic disease,trastuzumab
trastuzumab,as part of a treatment regimen consisting of doxorubicin,trastuzumab
trastuzumab,adults for adjuvant treatment of HER2-overexpressing node positive,trastuzumab
trastuzumab,as a single agent following multi-modality anthracycline based therapy,trastuzumab
trastuzumab,As a single agent for treatment of HER2-overexpressing breast cancer in patients,trastuzumab
trastuzumab,adults,trastuzumab
trastuzumab,capecitabine,trastuzumab
trastuzumab,node negative,trastuzumab
trastuzumab,5-fluorouracil,trastuzumab
trastuzumab,ER/PR negative,trastuzumab
trastuzumab,in combination,trastuzumab
trastuzumab,cyclophosphamide,trastuzumab
trastuzumab,either paclitaxel,trastuzumab
trastuzumab,adults: In combination,trastuzumab
trastuzumab,the treatment of patients,trastuzumab
trastuzumab,HER2-overexpressing breast cancer,trastuzumab
trastuzumab,docetaxel as part of a treatment regimen,trastuzumab
trastuzumab,gastroesophageal junction adenocarcinoma,trastuzumab
trastuzumab,more chemotherapy regimens for metastatic disease,trastuzumab
trastuzumab,adults for: The treatment of HER2-overexpressing breast cancer,trastuzumab
trastuzumab,adults for adjuvant treatment of HER2 overexpressing node positive,trastuzumab
trastuzumab,breast cancer as part of a treatment regimen consisting of doxorubicin,trastuzumab
trastuzumab,carboplatin as a single agent following multi-modality anthracycline based therapy,trastuzumab
trastuzumab,node negative,trastuzumab
trastuzumab,ER/PR negative,trastuzumab
trastuzumab,cyclophosphamide,trastuzumab
trastuzumab,either paclitaxel,trastuzumab
trastuzumab,adults: In combination,trastuzumab
trastuzumab,adjuvant treatment of adults,trastuzumab
trastuzumab,HER2-overexpressing breast cancer,trastuzumab
trastuzumab,docetaxel as part of a treatment regimen,trastuzumab
trastuzumab,more chemotherapy regimens for metastatic disease,trastuzumab
trastuzumab,adults for: The treatment of HER2-overexpressing breast cancer,trastuzumab
trastuzumab,breast cancer: as part of a treatment regimen consisting of doxorubicin,trastuzumab
trastuzumab,carboplatin as a single agent following multi-modality anthracycline based therapy,trastuzumab
naxitamab-gqgk,older,naxitamab-gqgk
naxitamab-gqgk,GM-CSF,naxitamab-gqgk
naxitamab-gqgk,bone marrow,naxitamab-gqgk
naxitamab-gqgk,adult patients,naxitamab-gqgk
naxitamab-gqgk,in combination,naxitamab-gqgk
naxitamab-gqgk,minor response,naxitamab-gqgk
naxitamab-gqgk,DANYELZA is indicated,naxitamab-gqgk
naxitamab-gqgk,stable disease to prior therapy,naxitamab-gqgk
naxitamab-gqgk,refractory high-risk neuroblastoma in the bone,naxitamab-gqgk
naxitamab-gqgk,the treatment of pediatric patients 1 year of age,naxitamab-gqgk
ravulizumab,adult,ravulizumab
ravulizumab,NMOSD,ravulizumab
ravulizumab,older,ravulizumab
ravulizumab,adult patients,ravulizumab
ravulizumab,antibody-positive,ravulizumab
ravulizumab,the treatment of adult,ravulizumab
ravulizumab,pediatric patients one month of age,ravulizumab
ravulizumab,inhibit complement-mediated thrombotic microangiopathy,ravulizumab
"atoltivimab, maftivimab, and odesivimab-ebgn",maftivimab,"atoltivimab, maftivimab, and odesivimab-ebgn"
"atoltivimab, maftivimab, and odesivimab-ebgn",odesivimab,"atoltivimab, maftivimab, and odesivimab-ebgn"
"atoltivimab, maftivimab, and odesivimab-ebgn",atoltivimab,"atoltivimab, maftivimab, and odesivimab-ebgn"
"atoltivimab, maftivimab, and odesivimab-ebgn",pediatric patients,"atoltivimab, maftivimab, and odesivimab-ebgn"
"atoltivimab, maftivimab, and odesivimab-ebgn",infection caused by Orthoebolavirus zairense in adult,"atoltivimab, maftivimab, and odesivimab-ebgn"
"atoltivimab, maftivimab, and odesivimab-ebgn",indicated for the treatment of infection caused by Orthoebolavirus zairense in adult,"atoltivimab, maftivimab, and odesivimab-ebgn"
"atoltivimab, maftivimab, and odesivimab-ebgn",neonates born to a mother who is RT-PCR positive for Orthoebolavirus zairense infection,"atoltivimab, maftivimab, and odesivimab-ebgn"
"atoltivimab, maftivimab, and odesivimab-ebgn",neonates born to a mother who is RT-PCR positive for Orthoebolavirus zairense infection [see INMAZEB is a combination of Orthoebolavirus zairense glycoprotein-directed human monoc,"atoltivimab, maftivimab, and odesivimab-ebgn"
dulaglutide,older,dulaglutide
dulaglutide,pediatric patients 10 years of age,dulaglutide
dulaglutide,exercise to improve glycemic control,dulaglutide
dulaglutide,TRULICITY ® is indicated: As an adjunct to diet,dulaglutide
dulaglutide,older,dulaglutide
dulaglutide,pediatric patients 10 years of age,dulaglutide
dulaglutide,exercise to improve glycemic control,dulaglutide
dulaglutide,TRULICITY ® is indicated: As an adjunct to diet,dulaglutide
dulaglutide,older,dulaglutide
dulaglutide,pediatric patients 10 years of age,dulaglutide
dulaglutide,exercise to improve glycemic control,dulaglutide
dulaglutide,TRULICITY ® is indicated: As an adjunct to diet,dulaglutide
dulaglutide,older,dulaglutide
dulaglutide,pediatric patients 10 years of age,dulaglutide
dulaglutide,exercise to improve glycemic control,dulaglutide
dulaglutide,TRULICITY ® is indicated: As an adjunct to diet,dulaglutide
dulaglutide,older,dulaglutide
dulaglutide,pediatric patients 10 years of age,dulaglutide
dulaglutide,exercise to improve glycemic control,dulaglutide
dulaglutide,TRULICITY ® is indicated: As an adjunct to diet,dulaglutide
dulaglutide,older,dulaglutide
dulaglutide,pediatric patients 10 years of age,dulaglutide
dulaglutide,exercise to improve glycemic control,dulaglutide
dulaglutide,TRULICITY ® is indicated: As an adjunct to diet,dulaglutide
dulaglutide,older,dulaglutide
dulaglutide,pediatric patients 10 years of age,dulaglutide
dulaglutide,exercise to improve glycemic control,dulaglutide
dulaglutide,TRULICITY ® is indicated: As an adjunct to diet,dulaglutide
polatuzumab vedotin-piiq,DLBCL,polatuzumab vedotin-piiq
polatuzumab vedotin-piiq,greater,polatuzumab vedotin-piiq
polatuzumab vedotin-piiq,adult patients,polatuzumab vedotin-piiq
polatuzumab vedotin-piiq,refractory DLBCL,polatuzumab vedotin-piiq
polatuzumab vedotin-piiq,not otherwise specified,polatuzumab vedotin-piiq
polatuzumab vedotin-piiq,high-grade B-cell lymphoma,polatuzumab vedotin-piiq
Short Ragweed Pollen Allergen Extract,INDICATIONS Studies have shown that properly performed an interpreted skin tests,short ragweed pollen allergen extract
Short Ragweed Pollen Allergen Extract,rhinitis,short ragweed pollen allergen extract
Short Ragweed Pollen Allergen Extract,hay fever,short ragweed pollen allergen extract
Short Ragweed Pollen Allergen Extract,use in diagnosis,short ragweed pollen allergen extract
Short Ragweed Pollen Allergen Extract,immunotherapy of patients presenting symptoms of allergy,short ragweed pollen allergen extract
risankizumab,phototherapy,risankizumab
risankizumab,active psoriatic arthritis,risankizumab
risankizumab,moderate-to-severe plaque psoriasis in adults,risankizumab
risankizumab,moderately to severely active Crohn's disease,risankizumab
risankizumab,moderately to severely active ulcerative colitis,risankizumab
risankizumab,treatment of: moderate-to-severe plaque psoriasis in adults,risankizumab
dostarlimab-gxly,recurrent,dostarlimab-gxly
dostarlimab-gxly,advanced EC,dostarlimab-gxly
dostarlimab-gxly,adult patients,dostarlimab-gxly
dostarlimab-gxly,radiation [see 1,dostarlimab-gxly
dostarlimab-gxly,advanced solid tumors,dostarlimab-gxly
dostarlimab-gxly,that has progressed on,dostarlimab-gxly
dostarlimab-gxly,that have progressed on,dostarlimab-gxly
dostarlimab-gxly,following prior treatment,dostarlimab-gxly
dostarlimab-gxly,recurrent endometrial cancer,dostarlimab-gxly
dostarlimab-gxly,as determined by an FDA-approved test,dostarlimab-gxly
dostarlimab-gxly,are not candidates for curative surgery,dostarlimab-gxly
dostarlimab-gxly,durability of response [see Clinical Studies ],dostarlimab-gxly
loncastuximab tesirine-lpyl,DLBCL,loncastuximab tesirine-lpyl
loncastuximab tesirine-lpyl,adult patients,loncastuximab tesirine-lpyl
loncastuximab tesirine-lpyl,not otherwise specified,loncastuximab tesirine-lpyl
loncastuximab tesirine-lpyl,high-grade B-cell lymphoma,loncastuximab tesirine-lpyl
loncastuximab tesirine-lpyl,diffuse large B-cell lymphoma,loncastuximab tesirine-lpyl
loncastuximab tesirine-lpyl,more lines of systemic therapy,loncastuximab tesirine-lpyl
loncastuximab tesirine-lpyl,refractory large B-cell lymphoma,loncastuximab tesirine-lpyl
loncastuximab tesirine-lpyl,DLBCL arising from low-grade lymphoma,loncastuximab tesirine-lpyl
avalglucosidase alfa-ngpt,older,avalglucosidase alfa-ngpt
avalglucosidase alfa-ngpt,patients 1 year of age,avalglucosidase alfa-ngpt
avalglucosidase alfa-ngpt,lysosomal acid alpha-glucosidase [GAA] deficiency,avalglucosidase alfa-ngpt
eptinezumab-jjmr,preventive treatment of migraine,eptinezumab-jjmr
lonapegsomatropin,older who weigh at least 11,lonapegsomatropin
lonapegsomatropin,the: Treatment of pediatric patients 1 year,lonapegsomatropin
lonapegsomatropin,Pediatric Patients: Treatment of pediatric patients 1 year,lonapegsomatropin
COVID,Dilute,covid
COVID,Dilute,covid
tezepelumab,older,tezepelumab
tezepelumab,CRSwNP,tezepelumab
tezepelumab,pediatric patients aged 12 years,tezepelumab
tezepelumab,add-on maintenance treatment of adult,tezepelumab
efgartigimod alfa-fcab,antibody positive,efgartigimod alfa-fcab
efgartigimod alfa-fcab,in adult patients,efgartigimod alfa-fcab
efgartigimod alfa-fcab,generalized myasthenia gravis,efgartigimod alfa-fcab
tralokinumab,pediatric patients 12 years of age,tralokinumab
tralokinumab,moderate-to-severe atopic dermatitis,tralokinumab
tralokinumab,when those therapies are not advisable,tralokinumab
tralokinumab,older whose disease is not adequately controlled,tralokinumab
evinacumab,LDL-C,evinacumab
evinacumab,older,evinacumab
evinacumab,exercise,evinacumab
evinacumab,aged 1 year,evinacumab
evinacumab,adjunct to diet,evinacumab
evinacumab,pediatric patients,evinacumab
evinacumab,lowering therapies to reduce LDL-C,evinacumab
evinacumab,other low-density lipoprotein-cholesterol,evinacumab
Cholera Vaccine Live Oral,,cholera vaccine live oral
Vaxchora,,vaxchora
Pneumococcal 15-valent Conjugate Vaccine,active immunization of infants,pneumococcal 15-valent conjugate vaccine
