Disease / Indication,Drug_Count,Disease_Category,Is_Specific,Drugs
COPD,33,Respiratory,Yes,"Aclidinium Bromide; Formoterol Fumarate(CHRM3), Albuterol Sulfate(ADRB2), Albuterol Sulfate; Budesonide(ADRB2), Albuterol Sulfate; Ipratropium Bromide(ADRB2), Arformoterol Tartrate(ADRB2), Beclomethasone Dipropionate; Formoterol Fumarate; Glycopyrrolate(NR3C1), Brimonidine Tartrate; Timolol Maleate(ADRA2A), Budesonide; Formoterol Fumarate Dihydrate(NR3C1), Budesonide; Formoterol Fumarate(NR3C1), Budesonide; Formoterol Fumarate; Glycopyrrolate(NR3C1), Esmolol Hydrochloride(ADRB1), Fluticasone Furoate; Umeclidinium Bromide; Vilanterol Trifenatate(NR3C1), Fluticasone Furoate; Vilanterol Trifenatate(NR3C1), Fluticasone Propionate; Salmeterol Xinafoate(NR3C1), Formoterol Fumarate(ADRB2), Formoterol Fumarate; Glycopyrrolate(ADRB2), Formoterol Fumarate; Mometasone Furoate(ADRB2), Levalbuterol Hydrochloride(ADRB2), Levalbuterol Tartrate(ADRB2), Levobunolol Hydrochloride(ADRB1), Nadolol(ADRB1), Nebivolol Hydrochloride(ADRB1), Nebivolol Hydrochloride; Valsartan(ADRB1), Olodaterol Hydrochloride(ADRB2), Olodaterol Hydrochloride; Tiotropium Bromide(ADRB2), Pindolol(ADRB1), Propafenone Hydrochloride(ADRB1), Propranolol Hydrochloride(ADRB1), Roflumilast(PDE4A), Sotalol Hydrochloride(ADRB1), Timolol Maleate(ADRB1), Timolol(ADRB1), Umeclidinium Bromide; Vilanterol Trifenatate(CHRM3)"
Diabetic nephropathy,30,Neurology,Yes,"Acarbose(AMY2A), Acetazolamide Sodium(CA1), Acetazolamide(CA1), Brimonidine Tartrate; Brinzolamide(ADRA2A), Brimonidine Tartrate; Carbachol(ADRA2A), Brinzolamide(CA2), Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate(Supplement; Saline laxative), Carbamazepine(SCN1A), Carbidopa(DDC), Carbidopa; Entacapone; Levodopa(DDC), Carbidopa; Levodopa(DDC), Cilastatin Sodium; Imipenem; Relebactam(DPEP1), Dorzolamide Hydrochloride(CA2), Dorzolamide Hydrochloride; Timolol Maleate(CA2), Eslicarbazepine Acetate(SCN1A), Ferric Carboxymaltose(Supplement), Foscarbidopa; Foslevodopa(DDC), Gabapentin Enacarbil(CACNA1H), Lanthanum Carbonate(Phosphate sequestering agent), Lithium Carbonate(IMPA1), Magnesium Chloride; Sodium Bicarbonate; Sodium Chloride, Methazolamide(CA7), Omeprazole; Sodium Bicarbonate(ATP4A), Oxcarbazepine(SCN1A), Phenobarbital Sodium, Procarbazine Hydrochloride(DNA inhibitor), Sevelamer Carbonate(Unknown), Sodium Bicarbonate, Tapinarof(AHR), Topiramate(CA2)"
CKD,28,Cardiovascular,Yes,"Amlodipine Besylate; Benazepril Hydrochloride(CACNA1C), Benazepril Hydrochloride(ACE), Benazepril Hydrochloride; Hydrochlorothiazide(ACE), Bexagliflozin(SLC5A2), Canagliflozin(SLC5A2), Canagliflozin; Metformin Hydrochloride(SLC5A2), Captopril(ACE), Captopril; Hydrochlorothiazide(ACE), Dapagliflozin(SLC5A2), Dapagliflozin; Metformin Hydrochloride(SLC5A2), Empagliflozin(SLC5A2), Empagliflozin; Metformin Hydrochloride(SLC5A2), Enalapril Maleate(ACE), Enalapril Maleate; Hydrochlorothiazide(ACE), Ertugliflozin(SLC5A2), Ertugliflozin; Metformin Hydrochloride(SLC5A2), Fosinopril Sodium(ACE), Fosinopril Sodium; Hydrochlorothiazide(ACE), Hydrochlorothiazide; Lisinopril(SLC12A3), Hydrochlorothiazide; Moexipril Hydrochloride(SLC12A3), Hydrochlorothiazide; Quinapril Hydrochloride(SLC12A3), Lisinopril(ACE), Moexipril Hydrochloride(ACE), Quinapril Hydrochloride(ACE), Ramipril(ACE), Sotagliflozin(SLC5A1), Trandolapril(ACE), Trandolapril; Verapamil Hydrochloride(ACE)"
Bipolar disorder,27,Psychiatric,Yes,"Amitriptyline Hydrochloride; Perphenazine(SLC6A4), Amoxapine(SLC6A4), Asenapine Maleate(DRD2), Chlorpromazine Hydrochloride(HTR2A), Clozapine(HTR2A), Fluoxetine Hydrochloride; Olanzapine(SLC6A4), Fluphenazine Decanoate(DRD2), Fluphenazine Hydrochloride(DRD2), Iloperidone(DRD2), Lithium Citrate(IMPA1), Loxapine Succinate(HTR2A), Loxapine(HTR2A), Lurasidone Hydrochloride(HTR2A), Molindone Hydrochloride(DRD2), Olanzapine Pamoate(HTR2A), Olanzapine(HTR2A), Paliperidone Palmitate(DRD2), Paliperidone(DRD2), Perphenazine(DRD2), Quetiapine Fumarate(HTR2A), Risperidone(HTR2A), Thioridazine Hydrochloride(HTR2A), Thiothixene(DRD2), Trifluoperazine Hydrochloride(HTR2A), Trimipramine Maleate(HRH1), Ziprasidone Hydrochloride(HTR2A), Ziprasidone Mesylate(HTR2A)"
Nausea,26,Psychiatric,Yes,"Amitriptyline Hydrochloride; Perphenazine(SLC6A4), Amoxapine(SLC6A4), Asenapine Maleate(DRD2), Chlorpromazine Hydrochloride(HTR2A), Clozapine(HTR2A), Fluoxetine Hydrochloride; Olanzapine(SLC6A4), Fluphenazine Decanoate(DRD2), Fluphenazine Hydrochloride(DRD2), Iloperidone(DRD2), Loxapine Succinate(HTR2A), Loxapine(HTR2A), Lurasidone Hydrochloride(HTR2A), Molindone Hydrochloride(DRD2), Olanzapine Pamoate(HTR2A), Olanzapine(HTR2A), Paliperidone Palmitate(DRD2), Paliperidone(DRD2), Perphenazine(DRD2), Quetiapine Fumarate(HTR2A), Risperidone(HTR2A), Thioridazine Hydrochloride(HTR2A), Thiothixene(DRD2), Trifluoperazine Hydrochloride(HTR2A), Trimipramine Maleate(HRH1), Ziprasidone Hydrochloride(HTR2A), Ziprasidone Mesylate(HTR2A)"
Schizophrenia,26,Psychiatric,Yes,"Amitriptyline Hydrochloride; Perphenazine(SLC6A4), Amoxapine(SLC6A4), Asenapine Maleate(DRD2), Chlorpromazine Hydrochloride(HTR2A), Clozapine(HTR2A), Fluoxetine Hydrochloride; Olanzapine(SLC6A4), Fluphenazine Decanoate(DRD2), Fluphenazine Hydrochloride(DRD2), Iloperidone(DRD2), Loxapine Succinate(HTR2A), Loxapine(HTR2A), Lurasidone Hydrochloride(HTR2A), Molindone Hydrochloride(DRD2), Olanzapine Pamoate(HTR2A), Olanzapine(HTR2A), Paliperidone Palmitate(DRD2), Paliperidone(DRD2), Perphenazine(DRD2), Quetiapine Fumarate(HTR2A), Risperidone(HTR2A), Thioridazine Hydrochloride(HTR2A), Thiothixene(DRD2), Trifluoperazine Hydrochloride(HTR2A), Trimipramine Maleate(HRH1), Ziprasidone Hydrochloride(HTR2A), Ziprasidone Mesylate(HTR2A)"
Psoriasis,24,Dermatology,Yes,"Acitretin(RXRB), Adapalene(RARG), Adapalene; Benzoyl Peroxide(RARG), Adapalene; Benzoyl Peroxide; Clindamycin Phosphate(RARG), Alitretinoin(RXRB), Aminophylline(PDE4A), Apremilast(PDE4A), Benzoyl Peroxide; Tretinoin(RARG), Betamethasone Dipropionate; Calcipotriene(NR3C1), Bexarotene(RXRB), Calcipotriene(VDR), Crisaborole(PDE4A), Difamilast(PDE4A), Fluocinolone Acetonide; Hydroquinone; Tretinoin(NR3C1), Halobetasol Propionate; Tazarotene(NR3C1), Isotretinoin(RARG), Methotrexate Sodium(DHFR), Methotrexate(DHFR), Pemetrexed Dipotassium(GART), Pemetrexed Disodium(TYMS), Pemetrexed(DHFR), Tazarotene(RARG), Theophylline(PDE4A), Tretinoin(RARG)"
Angina,22,Cardiovascular,Yes,"Amlodipine Benzoate(CACNA1C), Amlodipine Besylate(CACNA1C), Amlodipine Besylate; Atorvastatin Calcium(CACNA1C), Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil(CACNA1C), Amlodipine Besylate; Hydrochlorothiazide; Valsartan(CACNA1C), Amlodipine Besylate; Indapamide; Telmisartan(CACNA1C), Amlodipine Besylate; Olmesartan Medoxomil(CACNA1C), Amlodipine Besylate; Telmisartan(CACNA1C), Amlodipine Besylate; Valsartan(CACNA1C), Clevidipine(CACNA1C), Diltiazem Hydrochloride(CACNA1C), Dronedarone Hydrochloride(CACNA1C), Ethosuximide(CACNA1H), Felodipine(NR3C2), Isradipine(CACNA1C), Levetiracetam(SV2A), Methsuximide(CACNA1H), Nicardipine Hydrochloride(CACNA1C), Nifedipine(CACNA1C), Nimodipine(NR3C2), Nisoldipine(CACNA1C), Verapamil Hydrochloride(CACNA1C)"
CV risk reduction,20,Metabolic,Yes,"Atorvastatin Calcium(HMGCR), Atorvastatin Calcium; Ezetimibe(HMGCR), Cilastatin Sodium; Imipenem(DPEP1), Ezetimibe; Simvastatin(NPC1L1), Fluvastatin Sodium(HMGCR), Lanreotide Acetate(SSTR5), Liraglutide(GLP1R), Lovastatin(HMGCR), Nystatin(Ergosterol sequestering agent), Nystatin; Triamcinolone Acetonide(NR3C1), Octreotide Acetate(SSTR5), Pasireotide Diaspartate(SSTR5), Pasireotide Pamoate(SSTR3), Pentostatin(ADA), Pitavastatin Calcium(HMGCR), Pitavastatin Magnesium(HMGCR), Pravastatin Sodium(HMGCR), Rosuvastatin Calcium(HMGCR), Semaglutide(GLP1R), Simvastatin(HMGCR)"
Dyslipidemia,18,Metabolic,Yes,"Atorvastatin Calcium(HMGCR), Atorvastatin Calcium; Ezetimibe(HMGCR), Cilastatin Sodium; Imipenem(DPEP1), Ezetimibe; Simvastatin(NPC1L1), Fluvastatin Sodium(HMGCR), Lanreotide Acetate(SSTR5), Lovastatin(HMGCR), Nystatin(Ergosterol sequestering agent), Nystatin; Triamcinolone Acetonide(NR3C1), Octreotide Acetate(SSTR5), Pasireotide Diaspartate(SSTR5), Pasireotide Pamoate(SSTR3), Pentostatin(ADA), Pitavastatin Calcium(HMGCR), Pitavastatin Magnesium(HMGCR), Pravastatin Sodium(HMGCR), Rosuvastatin Calcium(HMGCR), Simvastatin(HMGCR)"
Skin disorder,18,Dermatology,No,"Amcinonide(NR3C1), Benzoyl Peroxide(Releases active oxygen), Benzoyl Peroxide; Clindamycin Phosphate(rpsB), Benzoyl Peroxide; Erythromycin(rpsB), Betamethasone Acetate; Betamethasone Sodium Phosphate(NR3C1), Betamethasone Dipropionate(NR3C1), Betamethasone Dipropionate; Clotrimazole(NR3C1), Betamethasone Valerate(NR3C1), Clobetasol Propionate(NR3C1), Desonide(NR3C1), Desoximetasone(NR3C1), Fluocinolone Acetonide(NR3C1), Fluocinolone Acetonide; Neomycin Sulfate(NR3C1), Fluocinonide(NR3C1), Flurandrenolide(NR3C1), Halcinonide(NR3C1), Halobetasol Propionate(NR3C1), Pimecrolimus(FKBP1A)"
GI disorder,17,GI,No,"Balsalazide Disodium(ALOX5), Bethanechol Chloride(CHRM3), Dexlansoprazole(ATP4A), Dicyclomine Hydrochloride(CHRM3), Elagolix Sodium(GNRHR), Elagolix Sodium,estradiol,norethindrone Acetate; Elagolix Sodium(GNRHR), Esomeprazole Magnesium(ATP4A), Esomeprazole Magnesium; Naproxen(ATP4A), Esomeprazole Sodium(ATP4A), Lansoprazole(ATP4A), Lubiprostone(CLCN2), Olsalazine Sodium(ALOX5), Omeprazole Magnesium(ATP4A), Omeprazole(ATP4A), Pantoprazole Sodium(ATP4A), Rabeprazole Sodium(ATP4A), Sulfasalazine(ALOX5)"
Chronic pain,16,Pain,No,"Apomorphine Hydrochloride(DRD2), Aspirin; Hydrocodone Bitartrate(PTGS2), Buprenorphine Hydrochloride(OPRM1), Buprenorphine Hydrochloride; Naloxone Hydrochloride(OPRM1), Buprenorphine(OPRM1), Fentanyl Citrate(OPRM1), Fentanyl(OPRM1), Homatropine Methylbromide; Hydrocodone Bitartrate(OPRK1), Hydrocodone Bitartrate(OPRK1), Hydrocodone Bitartrate; Ibuprofen(OPRK1), Hydromorphone Hydrochloride(OPRM1), Methadone Hydrochloride(OPRM1), Morphine Sulfate(OPRM1), Oxycodone Hydrochloride(OPRM1), Oxycodone(OPRM1), Oxymorphone Hydrochloride(OPRK1)"
Respiratory disease,15,Respiratory,No,"Aclidinium Bromide(CHRM3), Beclomethasone Dipropionate(NR3C1), Budesonide(NR3C1), Ciclesonide(NR3C1), Fluticasone Furoate(NR3C1), Fluticasone Propionate(NR3C1), Glycopyrrolate(CHRM3), Glycopyrronium Tosylate(CHRM3), Ipratropium Bromide(CHRM3), Mometasone Furoate(NR3C1), Tiotropium Bromide(CHRM3), Triamcinolone Acetonide(NR3C1), Umeclidinium Bromide(CHRM3), Zafirlukast(CYSLTR1), Zileuton(ALOX5)"
ADHD,13,Psychiatric,Yes,"Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate(SLC6A3), Amphetamine Sulfate(SLC6A3), Amphetamine(SLC6A3), Amphetamine; Amphetamine Aspartate/dextroamphetamine Sulfate(SLC6A3), Armodafinil(SLC6A3), Atomoxetine Hydrochloride(SLC6A2), Dexmethylphenidate Hydrochloride(SLC6A3), Dexmethylphenidate Hydrochloride; Serdexmethylphenidate Chloride(SLC6A3), Dextroamphetamine Sulfate(SLC6A3), Dextroamphetamine(SLC6A3), Methylphenidate Hydrochloride(SLC6A3), Methylphenidate(SLC6A3), Modafinil(SLC6A3)"
Acne,12,Dermatology,Yes,"Acitretin(RXRB), Adapalene(RARG), Adapalene; Benzoyl Peroxide(RARG), Adapalene; Benzoyl Peroxide; Clindamycin Phosphate(RARG), Alitretinoin(RXRB), Benzoyl Peroxide; Tretinoin(RARG), Bexarotene(RXRB), Fluocinolone Acetonide; Hydroquinone; Tretinoin(NR3C1), Halobetasol Propionate; Tazarotene(NR3C1), Isotretinoin(RARG), Tazarotene(RARG), Tretinoin(RARG)"
Cancer pain,12,Pain,Yes,"Aspirin; Hydrocodone Bitartrate(PTGS2), Fentanyl Citrate(OPRM1), Fentanyl(OPRM1), Homatropine Methylbromide; Hydrocodone Bitartrate(OPRK1), Hydrocodone Bitartrate(OPRK1), Hydrocodone Bitartrate; Ibuprofen(OPRK1), Hydromorphone Hydrochloride(OPRM1), Methadone Hydrochloride(OPRM1), Morphine Sulfate(OPRM1), Oxycodone Hydrochloride(OPRM1), Oxycodone(OPRM1), Oxymorphone Hydrochloride(OPRK1)"
Narcolepsy,12,Psychiatric,Yes,"Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate(SLC6A3), Amphetamine Sulfate(SLC6A3), Amphetamine(SLC6A3), Amphetamine; Amphetamine Aspartate/dextroamphetamine Sulfate(SLC6A3), Armodafinil(SLC6A3), Dexmethylphenidate Hydrochloride(SLC6A3), Dexmethylphenidate Hydrochloride; Serdexmethylphenidate Chloride(SLC6A3), Dextroamphetamine Sulfate(SLC6A3), Dextroamphetamine(SLC6A3), Methylphenidate Hydrochloride(SLC6A3), Methylphenidate(SLC6A3), Modafinil(SLC6A3)"
Photoageing,12,Dermatology,Yes,"Acitretin(RXRB), Adapalene(RARG), Adapalene; Benzoyl Peroxide(RARG), Adapalene; Benzoyl Peroxide; Clindamycin Phosphate(RARG), Alitretinoin(RXRB), Benzoyl Peroxide; Tretinoin(RARG), Bexarotene(RXRB), Fluocinolone Acetonide; Hydroquinone; Tretinoin(NR3C1), Halobetasol Propionate; Tazarotene(NR3C1), Isotretinoin(RARG), Tazarotene(RARG), Tretinoin(RARG)"
Non-small cell lung cancer (EGFR+),10,Oncology,Yes,"Afatinib Dimaleate(EGFR), Brigatinib(ALK), Dacomitinib(EGFR), Erlotinib Hydrochloride(EGFR), Gefitinib(EGFR), Lapatinib Ditosylate(ERBB2), Lazertinib Mesylate(EGFR), Neratinib Maleate(ERBB2), Osimertinib Mesylate(EGFR), Vandetanib(SRC)"
Hyperaldosteronism,9,Metabolic,Yes,"Drospirenone(NR3C2), Drospirenone; Estetrol(NR3C2), Drospirenone; Estradiol(NR3C2), Drospirenone; Ethinyl Estradiol(NR3C2), Drospirenone; Ethinyl Estradiol; Levomefolate Calcium(NR3C2), Eplerenone(NR3C2), Finerenone(NR3C2), Hydrochlorothiazide; Spironolactone(SLC12A3), Spironolactone(NR3C2)"
Autoimmune disease,8,Autoimmune,No,"Baricitinib(JAK1), Chloroquine Phosphate(Ferriprotoporphyrin IX inhibitor), Deflazacort(NR3C1), Eltrombopag Choline(MPL), Eltrombopag Olamine(MPL), Mercaptopurine(PPAT), Penicillamine(Copper chelating agent), Upadacitinib"
Epilepsy,8,Psychiatric,Yes,"Amitriptyline Hydrochloride; Chlordiazepoxide(SLC6A4), Aspirin; Butalbital; Caffeine(PTGS2), Aspirin; Butalbital; Caffeine; Codeine Phosphate(PTGS2), Cannabidiol(CNR1), Clobazam(GABRA1), Clonazepam(GABRA1), Pregabalin(CACNA1H), Primidone(GABRA1)"
Migraine (acute),8,Psychiatric,Yes,"Haloperidol Decanoate(HTR2A), Haloperidol Lactate(HTR2A), Haloperidol(HTR2A), Mirtazapine(HTR2A), Nefazodone Hydrochloride(SLC6A4), Prucalopride Succinate(HTR4), Trazodone Hydrochloride(SLC6A4), Vortioxetine Hydrobromide(HTR1A)"
Prostate cancer (mCRPC),8,Oncology,Yes,"Abiraterone Acetate(CYP17A1), Abiraterone Acetate; Niraparib Tosylate(CYP17A1), Apalutamide(AR), Bicalutamide(AR), Darolutamide(AR), Enzalutamide(AR), Flutamide(AR), Nilutamide(AR)"
Psoriatic arthritis,8,Autoimmune,Yes,"Aminophylline(PDE4A), Apremilast(PDE4A), Crisaborole(PDE4A), Delgocitinib(JAK3), Difamilast(PDE4A), Leflunomide(DHODH), Theophylline(PDE4A), Tofacitinib Citrate(JAK3)"
RA,8,Oncology,Yes,"Delgocitinib(JAK3), Hydroxychloroquine Sulfate(TLR7), Methotrexate Sodium(DHFR), Methotrexate(DHFR), Pemetrexed Dipotassium(GART), Pemetrexed Disodium(TYMS), Pemetrexed(DHFR), Tofacitinib Citrate(JAK3)"
Transplant rejection,8,Autoimmune,Yes,"Azathioprine Sodium(PPAT), Azathioprine(PPAT), Everolimus(FKBP1A), Mycophenolate Mofetil Hydrochloride(IMPDH1), Mycophenolate Mofetil(IMPDH1), Mycophenolate Sodium(IMPDH1), Sirolimus(FKBP1A), Temsirolimus(FKBP1A)"
Alzheimer's disease,7,Neurology,Yes,"Benzgalantamine Gluconate(ACHE), Donepezil Hydrochloride(ACHE), Donepezil Hydrochloride; Memantine Hydrochloride(ACHE), Galantamine Hydrobromide(ACHE), Glycopyrrolate; Neostigmine Methylsulfate(CHRM3), Memantine Hydrochloride(GRIN1), Pyridostigmine Bromide(ACHE)"
Anxiety,7,Psychiatric,Yes,"Amitriptyline Hydrochloride; Chlordiazepoxide(SLC6A4), Aspirin; Butalbital; Caffeine(PTGS2), Aspirin; Butalbital; Caffeine; Codeine Phosphate(PTGS2), Cannabidiol(CNR1), Clobazam(GABRA1), Clonazepam(GABRA1), Primidone(GABRA1)"
Autoimmune,7,Autoimmune,Yes,"Azathioprine Sodium(PPAT), Azathioprine(PPAT), Cyclosporine(PPIA), Mycophenolate Mofetil Hydrochloride(IMPDH1), Mycophenolate Mofetil(IMPDH1), Mycophenolate Sodium(IMPDH1), Tacrolimus(FKBP1A)"
B-cell malignancies (CLL/MCL),6,Oncology,Yes,"Acalabrutinib Maleate(BTK), Acalabrutinib(BTK), Ibrutinib(BTK), Pirtobrutinib(BTK), Rilzabrutinib(BTK), Zanubrutinib(BTK)"
Chronic myeloid leukaemia (CML),6,Oncology,Yes,"Asciminib Hydrochloride(ABL1), Bosutinib Monohydrate(ABL1), Dasatinib(ABL1), Imatinib Mesylate(ABL1), Nilotinib Hydrochloride(ABL1), Ponatinib Hydrochloride(ABL1)"
Generalized anxiety disorder,6,Psychiatric,Yes,"Aripiprazole Lauroxil(DRD2), Aripiprazole(DRD2), Brexpiprazole(DRD2), Buspirone Hydrochloride(HTR1A), Olanzapine; Samidorphan L-malate(HTR2A), Vilazodone Hydrochloride(SLC6A4)"
GERD,6,GI,Yes,"Cimetidine Hydrochloride(HRH2), Cimetidine(HRH2), Famotidine(HRH2), Famotidine; Ibuprofen(HRH2), Nizatidine(HRH2), Ranitidine Hydrochloride(HRH2)"
Glaucoma,6,Ophthalmology,Yes,"Bimatoprost(PTGFR), Brimonidine Tartrate(ADRA2A), Latanoprost(PTGFR), Latanoprost; Netarsudil Dimesylate(PTGFR), Latanoprostene Bunod(PTGFR), Netarsudil Mesylate(ROCK2)"
Insomnia,6,Psychiatric,Yes,"Amitriptyline Hydrochloride; Chlordiazepoxide(SLC6A4), Aspirin; Butalbital; Caffeine(PTGS2), Aspirin; Butalbital; Caffeine; Codeine Phosphate(PTGS2), Clobazam(GABRA1), Clonazepam(GABRA1), Primidone(GABRA1)"
Multiple sclerosis,6,Neurology,Yes,"Fingolimod Hydrochloride(S1PR5), Fingolimod Lauryl Sulfate(S1PR5), Glatiramer Acetate(Unknown), Ozanimod Hydrochloride(S1PR1), Ponesimod(S1PR1), Siponimod(S1PR1)"
Myasthenia gravis,6,Neurology,Yes,"Benzgalantamine Gluconate(ACHE), Donepezil Hydrochloride(ACHE), Donepezil Hydrochloride; Memantine Hydrochloride(ACHE), Galantamine Hydrobromide(ACHE), Glycopyrrolate; Neostigmine Methylsulfate(CHRM3), Pyridostigmine Bromide(ACHE)"
Non-small cell lung cancer (ALK+),6,Oncology,Yes,"Alectinib Hydrochloride(ALK), Ceritinib(ALK), Crizotinib(MET), Ensartinib Hydrochloride(ALK), Entrectinib(NTRK1), Lorlatinib(ALK)"
Opioid use disorder,6,Pain,Yes,"Buprenorphine Hydrochloride(OPRM1), Buprenorphine Hydrochloride; Naloxone Hydrochloride(OPRM1), Buprenorphine(OPRM1), Methylnaltrexone Bromide(OPRM1), Naltrexone Hydrochloride(OPRK1), Naltrexone(OPRK1)"
Peptic ulcer disease,6,GI,Yes,"Cimetidine Hydrochloride(HRH2), Cimetidine(HRH2), Famotidine(HRH2), Famotidine; Ibuprofen(HRH2), Nizatidine(HRH2), Ranitidine Hydrochloride(HRH2)"
Allergic rhinitis,5,Respiratory,Yes,"Aspirin; Caffeine; Orphenadrine Citrate(PTGS2), Cromolyn Sodium(Unknown), Doxylamine Succinate; Pyridoxine Hydrochloride(HRH1), Mometasone Furoate; Olopatadine Hydrochloride(NR3C1), Montelukast Sodium(CYSLTR1)"
Atrial fibrillation,5,Cardiovascular,Yes,"Apixaban(F10), Dabigatran Etexilate Mesylate(F2), Digoxin(ATP1A1), Edoxaban Tosylate(F10), Rivaroxaban(F10)"
Breast cancer (HR+/HER2-),5,Oncology,Yes,"Abemaciclib(CDK4), Letrozole; Ribociclib Succinate(CYP19A1), Palbociclib(CCND1), Ribociclib Succinate(CDK4), Trilaciclib Dihydrochloride(CDK6)"
Gout,5,Metabolic,Yes,"Allopurinol Sodium(XDH), Allopurinol(XDH), Febuxostat(XDH), Probenecid(SLC22A6), Probenecid; Sulopenem Etzadroxil(SLC22A6)"
Hyperuricemia,5,Metabolic,Yes,"Allopurinol Sodium(XDH), Allopurinol(XDH), Febuxostat(XDH), Probenecid(SLC22A6), Probenecid; Sulopenem Etzadroxil(SLC22A6)"
AML,4,Infectious,Yes,"Azacitidine(DNMT3A), Cedazuridine; Decitabine(CDA), Decitabine(DNMT3A), Venetoclax(BCL2)"
Depression,4,Psychiatric,Yes,"Bupropion Hydrobromide(SLC6A3), Bupropion Hydrochloride(SLC6A3), Bupropion Hydrochloride; Dextromethorphan Hydrobromide(SLC6A3), Bupropion Hydrochloride; Naltrexone Hydrochloride(SLC6A3)"
DVT/PE prevention,4,Cardiovascular,Yes,"Apixaban(F10), Dabigatran Etexilate Mesylate(F2), Edoxaban Tosylate(F10), Rivaroxaban(F10)"
Hypercholesterolemia,4,Metabolic,Yes,"Bempedoic Acid; Ezetimibe(ACLY), Cholestyramine(Bile acids sequestering agent), Colesevelam Hydrochloride(Bile acids sequestering agent), Ezetimibe(NPC1L1)"
Multiple myeloma,4,Oncology,Yes,"Bortezomib(PSMD1), Carfilzomib(PSMD1), Ixazomib Citrate(PSMD1), Thalidomide(CRBN)"
Ocular hypertension,4,Ophthalmology,Yes,"Bimatoprost(PTGFR), Latanoprost(PTGFR), Latanoprost; Netarsudil Dimesylate(PTGFR), Latanoprostene Bunod(PTGFR)"
Ophthalmic disorder,4,Ophthalmology,No,"Omidenepag Isopropyl(PTGER2), Pilocarpine Hydrochloride(CHRM3), Tafluprost(PTGFR), Travoprost(PTGFR)"
Osteoporosis,4,Metabolic,Yes,"Abaloparatide(PTH1R), Palopegteriparatide(PTH1R), Tamoxifen Citrate(ESR1), Teriparatide(PTH1R)"
Smoking cessation,4,Psychiatric,Yes,"Bupropion Hydrobromide(SLC6A3), Bupropion Hydrochloride(SLC6A3), Bupropion Hydrochloride; Dextromethorphan Hydrobromide(SLC6A3), Bupropion Hydrochloride; Naltrexone Hydrochloride(SLC6A3)"
Alcohol use disorder,3,Pain,Yes,"Methylnaltrexone Bromide(OPRM1), Naltrexone Hydrochloride(OPRK1), Naltrexone(OPRK1)"
"Breast cancer (HR+, post-menopausal)",3,Oncology,Yes,"Anastrozole(CYP19A1), Exemestane(CYP19A1), Letrozole(CYP19A1)"
Chronic condition,3,Other,No,"Trientine Hydrochloride(Copper chelating agent), Trientine Tetrahydrochloride(Copper chelating agent), Zinc Acetate(Skin protectant; Blocks absorption of copper and i)"
Haematological malignancies,3,Oncology,Yes,"Belinostat(HDAC1), Romidepsin(HDAC1), Vorinostat(HDAC1)"
MDS,3,Infectious,Yes,"Azacitidine(DNMT3A), Cedazuridine; Decitabine(CDA), Decitabine(DNMT3A)"
Obesity,3,Metabolic,Yes,"Liraglutide(GLP1R), Orlistat(LIPF), Semaglutide(GLP1R)"
Oncology,3,Autoimmune,Yes,"Everolimus(FKBP1A), Sirolimus(FKBP1A), Temsirolimus(FKBP1A)"
Urticaria,3,Cardiovascular,Yes,"Aspirin; Caffeine; Orphenadrine Citrate(PTGS2), Doxylamine Succinate; Pyridoxine Hydrochloride(HRH1), Mometasone Furoate; Olopatadine Hydrochloride(NR3C1)"
Atopic dermatitis,2,Oncology,Yes,"Delgocitinib(JAK3), Tofacitinib Citrate(JAK3)"
Bile acid diarrhea,2,Metabolic,Yes,"Cholestyramine(Bile acids sequestering agent), Colesevelam Hydrochloride(Bile acids sequestering agent)"
Chronic idiopathic constipation,2,GI,Yes,"Linaclotide(GUCY2C), Plecanatide(GUCY2C)"
Endometriosis,2,Oncology,Yes,"Leuprolide Acetate(GNRHR), Leuprolide Mesylate(GNRHR)"
Gallstones,2,Metabolic,Yes,"Colestipol Hydrochloride(Bile acids sequestering agent), Ursodiol(NR1H4)"
Hyperthyroidism,2,Metabolic,Yes,"Methimazole(TPO), Propylthiouracil(TPO)"
Hypertriglyceridemia,2,Metabolic,Yes,"Choline Fenofibrate(PPARA), Fenofibrate(PPARA)"
Hypothyroidism,2,Metabolic,Yes,"Levothyroxine Sodium(THRA), Liothyronine Sodium(THRA)"
IBS-C,2,GI,Yes,"Linaclotide(GUCY2C), Plecanatide(GUCY2C)"
Iron overload,2,Other,Yes,"Deferasirox(Iron chelating agent), Deferoxamine Mesylate(Iron chelating agent)"
Mixed dyslipidemia,2,Metabolic,Yes,"Choline Fenofibrate(PPARA), Fenofibrate(PPARA)"
Overactive bladder,2,Neurology,Yes,"Mirabegron(ADRB3), Vibegron(ADRB3)"
Primary biliary cholangitis,2,Metabolic,Yes,"Colestipol Hydrochloride(Bile acids sequestering agent), Ursodiol(NR1H4)"
