Ingredient,Matched_GSRS_Name,UNII,Substance_Class,GSRS_Status,Query_Used,Match_Type,All_Classes,Formula,SMILES
CITRIC ACID; GLUCONOLACTONE; MAGNESIUM CARBONATE,Citric acid monohydrate | Gluconolactone | MAGNESIUM CARBONATE,2968PHW8QP | WQ29KQ9POT | 0E53J927NA,chemical,approved | approved | approved,CITRIC ACID; GLUCONOLACTONE; MAGNESIUM CARBONATE,"combination(exact_full,exact_full,exact_full)",chemical,,
CITRIC ACID; LACTIC ACID; POTASSIUM BITARTRATE,"Citric acid monohydrate | LACTIC ACID, DL- | Potassium Bitartrate",2968PHW8QP | 3B8D35Y7S4 | NPT6P8P3UU,chemical,approved | approved | approved,CITRIC ACID; LACTIC ACID; POTASSIUM BITARTRATE,"combination(exact_full,exact_full,exact_full)",chemical,,
CITRIC ACID; MAGNESIUM OXIDE; SODIUM PICOSULFATE,Citric acid monohydrate | Magnesium oxide | Sodium Picosulfate,2968PHW8QP | 3A3U0GI71G | LR57574HN8,chemical,approved | approved | approved,CITRIC ACID; MAGNESIUM OXIDE; SODIUM PICOSULFATE,"combination(exact_full,exact_full,exact_full)",chemical,,
CITRIC ACID; UREA C-13,Citric acid monohydrate | UREA C-13,2968PHW8QP | W6KX9E6D8X,chemical,approved | approved,CITRIC ACID; UREA C-13,"combination(exact_full,exact_full)",chemical,,
CLADRIBINE,Cladribine,47M74X9YT5,chemical,approved,CLADRIBINE,exact_full,chemical,C10H12ClN5O3,C1[C@@H]([C@@H](CO)O[C@H]1n2cnc3c(N)nc(Cl)nc32)O
CLARITHROMYCIN,Clarithromycin,H1250JIK0A,chemical,approved,CLARITHROMYCIN,exact_full,chemical,C38H69NO13,CC[C@@H]1[C@](C)([C@@H]([C@@H](C)C(=O)[C@H](C)C[C@](C)([C@@]([H])([C@@H](C)[C@@]([H])([C@@H](C)C(=O)O1)O[C@H]2C[C@](C)([C@H]([C@H](C)O2)O)OC)O[C@H]3[C@@H]([C@H](C[C@@H](C)O3)N(C)C)O)OC)O)O
CLASCOTERONE,Clascoterone,XN7MM8XG2M,chemical,approved,CLASCOTERONE,exact_full,chemical,C24H34O5,CCC(=O)O[C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@@]21C)C(=O)CO
CLEMASTINE FUMARATE,Clemastine Fumarate,19259EGQ3D,chemical,approved,CLEMASTINE FUMARATE,exact_full,chemical,C21H26ClNO.C4H4O4,C[C@@](c1ccccc1)(c2ccc(cc2)Cl)OCC[C@H]3CCCN3C.C(=C\C(=O)O)/C(=O)O
CLEVIDIPINE,CLEVIDIPINE,19O2GP3B7Q,chemical,approved,CLEVIDIPINE,exact_full,chemical,C21H23Cl2NO6,CCCC(=O)OCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2Cl)Cl)C(=O)OC)C
CLINDAMYCIN HYDROCHLORIDE,Clindamycin hydrochloride,T20OQ1YN1W,chemical,approved,CLINDAMYCIN HYDROCHLORIDE,exact_full,chemical,C18H33ClN2O5S.ClH,CCC[C@@H]1C[C@@H](C(=O)N[C@]([H])([C@H](C)Cl)[C@]2([H])[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)N(C)C1.Cl
