Ingredient,Matched_GSRS_Name,UNII,Substance_Class,GSRS_Status,Query_Used,Match_Type,All_Classes,Formula,SMILES
ABACAVIR SULFATE,Abacavir Sulfate,J220T4J9Q2,chemical,approved,ABACAVIR SULFATE,exact_full,chemical,2C14H18N6O.H2O4S,C1=C[C@@H](C[C@@H]1CO)n2cnc3c(NC4CC4)nc(N)nc32.C1=C[C@@H](C[C@@H]1CO)n2cnc3c(NC4CC4)nc(N)nc32.OS(=O)(=O)O
ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,Abacavir Sulfate | DOLUTEGRAVIR SODIUM | Lamivudine,J220T4J9Q2 | 1Q1V9V5WYQ | 2T8Q726O95,chemical,approved | approved | approved,ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,"combination(exact_full,exact_full,exact_full)",chemical,,
ABACAVIR SULFATE; LAMIVUDINE,Abacavir Sulfate | Lamivudine,J220T4J9Q2 | 2T8Q726O95,chemical,approved | approved,ABACAVIR SULFATE; LAMIVUDINE,"combination(exact_full,exact_full)",chemical,,
ABALOPARATIDE,ABALOPARATIDE,AVK0I6HY2U,protein,approved,ABALOPARATIDE,exact_full,protein,,
ABEMACICLIB,Abemaciclib,60UAB198HK,chemical,approved,ABEMACICLIB,exact_full,chemical,C27H32F2N8,CCN1CCN(CC1)Cc2ccc(nc2)Nc3ncc(c(-c4cc(c5c(c4)n(C(C)C)c(C)n5)F)n3)F
ABIRATERONE ACETATE,ABIRATERONE ACETATE,EM5OCB9YJ6,chemical,approved,ABIRATERONE ACETATE,exact_full,chemical,C26H33NO2,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@]3([H])[C@]4([H])CC=C(c5cccnc5)[C@@]4(C)CC[C@@]32[H])C1
ABIRATERONE ACETATE; NIRAPARIB TOSYLATE,ABIRATERONE ACETATE | Niraparib tosylate,EM5OCB9YJ6 | 195Q483UZD,chemical,approved | approved,ABIRATERONE ACETATE; NIRAPARIB TOSYLATE,"combination(exact_full,exact_full)",chemical,,
ABROCITINIB,ABROCITINIB,73SM5SF3OR,chemical,approved,ABROCITINIB,exact_full,chemical,C14H21N5O2S,CCCS(=O)(=O)N[C@H]1C[C@H](C1)N(C)c2c3cc[nH]c3ncn2
ACALABRUTINIB,Acalabrutinib,I42748ELQW,chemical,approved,ACALABRUTINIB,exact_full,chemical,C26H23N7O2,CC#CC(=O)N1CCC[C@H]1c2nc(-c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn52
ACALABRUTINIB MALEATE,Acalabrutinib maleate anhydrous,LV51EK7IGP,chemical,approved,ACALABRUTINIB MALEATE,exact_full,chemical,C26H23N7O2.C4H4O4,CC#CC(=O)N1CCC[C@H]1c2nc(-c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn52.C(=C/C(=O)O)/C(=O)O
ACAMPROSATE CALCIUM,Acamprosate calcium,59375N1D0U,chemical,approved,ACAMPROSATE CALCIUM,exact_full,chemical,2C5H10NO4S.Ca,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2]
ACARBOSE,Acarbose,T58MSI464G,chemical,approved,ACARBOSE,exact_full,chemical,C25H43NO18,C[C@@H]1[C@H]([C@@H]([C@H]([C@]([H])(O1)O[C@@H]2[C@@H](CO)O[C@@]([H])([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)O)O)N[C@@]3([H])C=C(CO)[C@H]([C@@H]([C@H]3O)O)O
ACEBUTOLOL HYDROCHLORIDE,Acebutolol hydrochloride,B025Y34C54,chemical,approved,ACEBUTOLOL HYDROCHLORIDE,exact_full,chemical,C18H28N2O4.ClH,CCCC(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)C)O.Cl
ACECLIDINE HYDROCHLORIDE,ACECLIDINE HYDROCHLORIDE,3B22O325Q6,chemical,approved,ACECLIDINE HYDROCHLORIDE,exact_full,chemical,C9H15NO2.ClH,CC(=O)OC1CN2CCC1CC2.Cl
ACETAMINOPHEN,Acetaminophen,362O9ITL9D,chemical,approved,ACETAMINOPHEN,exact_full,chemical,C8H9NO2,CC(=O)Nc1ccc(cc1)O
ACETAMINOPHEN; ASPIRIN; CAFFEINE,Acetaminophen | Aspirin | CAFFEINE,362O9ITL9D | R16CO5Y76E | 3G6A5W338E,chemical,approved | approved | approved,ACETAMINOPHEN; ASPIRIN; CAFFEINE,"combination(exact_full,exact_full,exact_full)",chemical,,
ACETAMINOPHEN; BUTALBITAL,Acetaminophen | BUTALBITAL,362O9ITL9D | KHS0AZ4JVK,chemical,approved | approved,ACETAMINOPHEN; BUTALBITAL,"combination(exact_full,exact_full)",chemical,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE,Acetaminophen | BUTALBITAL | CAFFEINE,362O9ITL9D | KHS0AZ4JVK | 3G6A5W338E,chemical,approved | approved | approved,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,"combination(exact_full,exact_full,exact_full)",chemical,,
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,Acetaminophen | BUTALBITAL | CAFFEINE | Codeine phosphate,362O9ITL9D | KHS0AZ4JVK | 3G6A5W338E | GSL05Y1MN6,chemical,approved | approved | approved | approved,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,"combination(exact_full,exact_full,exact_full,exact_full)",chemical,,
ACETAMINOPHEN; CODEINE PHOSPHATE,Acetaminophen | Codeine phosphate,362O9ITL9D | GSL05Y1MN6,chemical,approved | approved,ACETAMINOPHEN; CODEINE PHOSPHATE,"combination(exact_full,exact_full)",chemical,,
ACETAMINOPHEN; HYDROCODONE BITARTRATE,Acetaminophen | HYDROCODONE BITARTRATE,362O9ITL9D | NO70W886KK,chemical,approved | approved,ACETAMINOPHEN; HYDROCODONE BITARTRATE,"combination(exact_full,exact_full)",chemical,,
ACETAMINOPHEN; IBUPROFEN,Acetaminophen | Ibuprofen,362O9ITL9D | WK2XYI10QM,chemical,approved | approved,ACETAMINOPHEN; IBUPROFEN,"combination(exact_full,exact_full)",chemical,,
ACETAMINOPHEN; IBUPROFEN SODIUM,Acetaminophen | IBUPROFEN SODIUM,362O9ITL9D | RM1CE97Z4N,chemical,approved | approved,ACETAMINOPHEN; IBUPROFEN SODIUM,"combination(exact_full,exact_full)",chemical,,
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,Acetaminophen | Oxycodone Hydrochloride,362O9ITL9D | C1ENJ2TE6C,chemical,approved | approved,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,"combination(exact_full,exact_full)",chemical,,
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,Acetaminophen | Tramadol Hydrochloride,362O9ITL9D | 9N7R477WCK,chemical,approved | approved,ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,"combination(exact_full,exact_full)",chemical,,
ACETAZOLAMIDE,Acetazolamide,O3FX965V0I,chemical,approved,ACETAZOLAMIDE,exact_full,chemical,C4H6N4O3S2,CC(=O)Nc1nnc(s1)S(=O)(=O)N
ACETAZOLAMIDE SODIUM,Acetazolamide sodium,429ZT169UH,chemical,approved,ACETAZOLAMIDE SODIUM,exact_full,chemical,C4H5N4O3S2.Na,CC(=O)Nc1nnc(s1)S(=O)(=O)[NH-].[Na+]
"ACETIC ACID, GLACIAL","ACETIC ACID, GLACIAL",,concept,non-approved,"ACETIC ACID, GLACIAL",exact_full,concept,,
"ACETIC ACID, GLACIAL; HYDROCORTISONE","ACETIC ACID, GLACIAL | Hydrocortisone", | WI4X0X7BPJ,chemical,non-approved | approved,"ACETIC ACID, GLACIAL; HYDROCORTISONE","combination(exact_full,exact_full)",concept | chemical,,
ACETOHYDROXAMIC ACID,Acetohydroxamic acid,4RZ82L2GY5,chemical,approved,ACETOHYDROXAMIC ACID,exact_full,chemical,C2H5NO2,CC(=O)NO
ACETYLCHOLINE CHLORIDE,Acetylcholine chloride,AF73293C2R,chemical,approved,ACETYLCHOLINE CHLORIDE,exact_full,chemical,C7H16NO2.Cl,CC(=O)OCC[N+](C)(C)C.[Cl-]
ACETYLCYSTEINE,Acetylcysteine,WYQ7N0BPYC,chemical,approved,ACETYLCYSTEINE,exact_full,chemical,C5H9NO3S,CC(=O)N[C@@H](CS)C(=O)O
ACITRETIN,Acitretin,LCH760E9T7,chemical,approved,ACITRETIN,exact_full,chemical,C21H26O3,C/C(=C\C=C\C(=C\C(=O)O)\C)/C=C/c1c(C)cc(c(C)c1C)OC
ACLIDINIUM BROMIDE,ACLIDINIUM BROMIDE,UQW7UF9N91,chemical,approved,ACLIDINIUM BROMIDE,exact_full,chemical,C26H30NO4S2.Br,c1ccc(cc1)OCCC[N+]23CCC(CC2)[C@H](C3)OC(=O)C(c4cccs4)(c5cccs5)O.[Br-]
ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,ACLIDINIUM BROMIDE | Formoterol Fumarate,UQW7UF9N91 | W34SHF8J2K,chemical,approved | approved,ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,"combination(exact_full,exact_full)",chemical,,
ACOLTREMON,Acoltremon,1L7BVT4Z4Z,chemical,approved,ACOLTREMON,exact_full,chemical,C18H27NO2,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1C(=O)Nc2ccc(cc2)OC
ACORAMIDIS HYDROCHLORIDE,ACORAMIDIS HYDROCHLORIDE,VY9C88C2NV,chemical,approved,ACORAMIDIS HYDROCHLORIDE,exact_full,chemical,C15H17FN2O3.ClH,Cc1c(CCCOc2cc(ccc2F)C(=O)O)c(C)n[nH]1.Cl
ACYCLOVIR,Acyclovir,X4HES1O11F,chemical,approved,ACYCLOVIR,exact_full,chemical,C8H11N5O3,C(COCn1cnc2c1nc(N)[nH]c2=O)O
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,927L42J563,chemical,approved,ACYCLOVIR SODIUM,exact_full,chemical,C8H10N5O3.Na,C(COCn1cnc2c1nc(N)[n-]c2=O)O.[Na+]
ACYCLOVIR; HYDROCORTISONE,Acyclovir | Hydrocortisone,X4HES1O11F | WI4X0X7BPJ,chemical,approved | approved,ACYCLOVIR; HYDROCORTISONE,"combination(exact_full,exact_full)",chemical,,
ADAGRASIB,ADAGRASIB,8EOO6HQF8Y,chemical,approved,ADAGRASIB,exact_full,chemical,C32H35ClFN7O2,C=C(C(=O)N1CCN(C[C@@H]1CC#N)c2c3CCN(Cc3nc(n2)OC[C@@H]4CCCN4C)c5cccc6cccc(c65)Cl)F
ADAPALENE,ADAPALENE,1L4806J2QF,chemical,approved,ADAPALENE,exact_full,chemical,C28H28O3,COc1ccc(cc1C23CC4CC(CC(C4)C2)C3)-c5ccc6cc(ccc6c5)C(=O)O
ADAPALENE; BENZOYL PEROXIDE,ADAPALENE | Benzoyl peroxide,1L4806J2QF | W9WZN9A0GM,chemical,approved | approved,ADAPALENE; BENZOYL PEROXIDE,"combination(exact_full,exact_full)",chemical,,
ADAPALENE; BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,ADAPALENE | Benzoyl peroxide | Clindamycin Phosphate,1L4806J2QF | W9WZN9A0GM | EH6D7113I8,chemical,approved | approved | approved,ADAPALENE; BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,"combination(exact_full,exact_full,exact_full)",chemical,,
ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,U6Q8Z01514,chemical,approved,ADEFOVIR DIPIVOXIL,exact_full,chemical,C20H32N5O8P,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C
ADENOSINE,ADENOSINE,K72T3FS567,chemical,approved,ADENOSINE,exact_full,chemical,C10H13N5O4,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc32)O1)O)O)O
AFAMELANOTIDE,AFAMELANOTIDE,QW68W3J66U,chemical,approved,AFAMELANOTIDE,exact_full,chemical,C78H111N21O19,CCCC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N5CCC[C@H]5C(=O)N[C@@H](C(C)C)C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc6ccc(cc6)O)NC(=O)[C@H](CO)NC(=O)C
AFATINIB DIMALEATE,AFATINIB DIMALEATE,V1T5K7RZ0B,chemical,approved,AFATINIB DIMALEATE,exact_full,chemical,C24H25ClFN5O3.2C4H4O4,CN(C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F.C(=C/C(=O)O)/C(=O)O.C(=C/C(=O)O)/C(=O)O
AFICAMTEN,Aficamten,B1I77MH6K1,chemical,approved,AFICAMTEN,exact_full,chemical,C18H19N5O2,CCc1nc(-c2ccc3c(CC[C@H]3NC(=O)c4cnn(C)c4)c2)no1
AIR POLYMER-TYPE A,CARBOMER HOMOPOLYMER TYPE A (ALLYL PENTAERYTHRITOL CROSSLINKED),F68VH75CJC,polymer,approved,AIR POLYMER-TYPE A,exact_full,polymer,,
ALBENDAZOLE,Albendazole,F4216019LN,chemical,approved,ALBENDAZOLE,exact_full,chemical,C12H15N3O2S,CCCSc1ccc2c(c1)[nH]c(n2)NC(=O)OC
ALBUMIN HUMAN,ALBUMIN HUMAN,ZIF514RVZR,structurallyDiverse,approved,ALBUMIN HUMAN,exact_full,structurallyDiverse,,
ALBUTEROL SULFATE,Albuterol Sulfate,021SEF3731,chemical,approved,ALBUTEROL SULFATE,exact_full,chemical,2C13H21NO3.H2O4S,CC(C)(C)NCC(c1ccc(c(c1)CO)O)O.CC(C)(C)NCC(c1ccc(c(c1)CO)O)O.OS(=O)(=O)O
ALBUTEROL SULFATE; BUDESONIDE,Albuterol Sulfate | Budesonide,021SEF3731 | Q3OKS62Q6X,chemical,approved | approved,ALBUTEROL SULFATE; BUDESONIDE,"combination(exact_full,exact_full)",chemical,,
ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,Albuterol Sulfate | Ipratropium bromide,021SEF3731 | J697UZ2A9J,chemical,approved | approved,ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,"combination(exact_full,exact_full)",chemical,,
ALCAFTADINE,ALCAFTADINE,7Z8O94ECSX,chemical,approved,ALCAFTADINE,exact_full,chemical,C19H21N3O,CN1CCC(=C2c3ccccc3CCn4c(cnc24)C=O)CC1
ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE,S56PQL4N1V,chemical,approved,ALCLOMETASONE DIPROPIONATE,exact_full,chemical,C28H37ClO7,CCC(=O)OCC(=O)[C@]1([C@H](C)C[C@@]2([H])[C@]3([H])[C@@H](CC4=CC(=O)C=C[C@]4(C)[C@@]3([H])[C@H](C[C@@]21C)O)Cl)OC(=O)CC
ALCOHOL; CHLORHEXIDINE GLUCONATE,Alcohol | Chlorhexidine Gluconate,3K9958V90M | MOR84MUD8E,chemical,approved | approved,ALCOHOL; CHLORHEXIDINE GLUCONATE,"combination(exact_full,exact_full)",chemical,,
ALECTINIB HYDROCHLORIDE,Alectinib Hydrochloride,P9YY73LO6J,chemical,approved,ALECTINIB HYDROCHLORIDE,exact_full,chemical,C30H34N4O2.ClH,CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(C)(C)c5c(c6ccc(cc6[nH]5)C#N)C2=O.Cl
ALENDRONATE SODIUM,ALENDRONATE SODIUM,2UY4M2U3RA,chemical,approved,ALENDRONATE SODIUM,exact_full,chemical,C4H12NO7P2.Na.3H2O,C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.[Na+].O.O.O
ALENDRONATE SODIUM; CHOLECALCIFEROL,ALENDRONATE SODIUM | Cholecalciferol,2UY4M2U3RA | 1C6V77QF41,chemical,approved | approved,ALENDRONATE SODIUM; CHOLECALCIFEROL,"combination(exact_full,exact_full)",chemical,,
ALFENTANIL HYDROCHLORIDE,Alfentanil Hydrochloride,11S92G0TIW,chemical,approved,ALFENTANIL HYDROCHLORIDE,exact_full,chemical,C21H32N6O3.ClH.H2O,CCC(=O)N(c1ccccc1)C2(CCN(CC2)CCn3c(=O)n(CC)nn3)COC.Cl.O
ALFUZOSIN HYDROCHLORIDE,ALFUZOSIN HYDROCHLORIDE,75046A1XTN,chemical,approved,ALFUZOSIN HYDROCHLORIDE,exact_full,chemical,C19H27N5O4.ClH,CN(CCCNC(=O)C1CCCO1)c2nc3cc(c(cc3c(N)n2)OC)OC.Cl
ALISKIREN HEMIFUMARATE,ALISKIREN HEMIFUMARATE,C8A0P8G029,chemical,approved,ALISKIREN HEMIFUMARATE,exact_full,chemical,2C30H53N3O6.C4H4O4,CC(C)[C@@H](Cc1ccc(c(c1)OCCCOC)OC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N.CC(C)[C@@H](Cc1ccc(c(c1)OCCCOC)OC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N.C(=C\C(=O)O)/C(=O)O
ALITRETINOIN,Alitretinoin,1UA8E65KDZ,chemical,approved,ALITRETINOIN,exact_full,chemical,C20H28O2,C/C(=C/C=C/C(=C/C(=O)O)/C)/C=C/C1=C(C)CCCC1(C)C
ALLOPURINOL,ALLOPURINOL,63CZ7GJN5I,chemical,FAILED,ALLOPURINOL,exact_full,chemical,C5H4N4O,c1c2c([nH]cnc2=O)[nH]n1
ALLOPURINOL SODIUM,ALLOPURINOL SODIUM,428673RC2Z,chemical,approved,ALLOPURINOL SODIUM,exact_full,chemical,C5H3N4O.Na,c1c2c([nH]cnc2=O)[n-]n1.[Na+]
ALMOTRIPTAN MALATE,Almotriptan Malate,PJP312605E,chemical,approved,ALMOTRIPTAN MALATE,exact_full,chemical,C17H25N3O2S.C4H6O5,CN(C)CCc1c[nH]c2ccc(cc12)CS(=O)(=O)N3CCCC3.C(C(C(=O)O)O)C(=O)O
ALOGLIPTIN BENZOATE,ALOGLIPTIN BENZOATE,EEN99869SC,chemical,approved,ALOGLIPTIN BENZOATE,exact_full,chemical,C18H21N5O2.C7H6O2,Cn1c(=O)cc(N2CCC[C@H](C2)N)n(Cc3ccccc3C#N)c1=O.c1ccc(cc1)C(=O)O
ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,ALOGLIPTIN BENZOATE | Metformin hydrochloride,EEN99869SC | 786Z46389E,chemical,approved | approved,ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,"combination(exact_full,exact_full)",chemical,,
ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,ALOGLIPTIN BENZOATE | Pioglitazone Hydrochloride,EEN99869SC | JQT35NPK6C,chemical,approved | approved,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,"combination(exact_full,exact_full)",chemical,,
ALOSETRON HYDROCHLORIDE,ALOSETRON HYDROCHLORIDE,2F5R1A46YW,chemical,approved,ALOSETRON HYDROCHLORIDE,exact_full,chemical,C17H18N4O.ClH,Cc1c(CN2CCc3c(c4ccccc4n3C)C2=O)nc[nH]1.Cl
ALPELISIB,ALPELISIB,08W5N2C97Q,chemical,approved,ALPELISIB,exact_full,chemical,C19H22F3N5O2S,Cc1c(-c2ccnc(c2)C(C)(C)C(F)(F)F)sc(n1)NC(=O)N3CCC[C@H]3C(=O)N
ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K,.ALPHA.-TOCOPHEROL ACETATE | Ascorbic Acid | BIOTIN | Cholecalciferol | Cyanocobalamin | DEXPANTHENOL | Folic acid | NIACINAMIDE | PYRIDOXINE HYDROCHLORIDE | RIBOFLAVIN 5'-PHOSPHATE SODIUM DIHYDRATE | THIAMINE HYDROCHLORIDE | VITAMIN A PALMITATE | PHYTONADIONE,9E8X80D2L0 | PQ6CK8PD0R | 6SO6U10H04 | 1C6V77QF41 | P6YC3EG204 | 1O6C93RI7Z | 935E97BOY8 | 25X51I8RD4 | 68Y4CF58BV | 20RD1DZH99 | M572600E5P | 1D1K0N0VVC | A034SE7857,mixture,approved | approved | approved | approved | approved | approved | approved | approved | approved | approved | approved | approved | approved,ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K,"combination(exact_full,exact_full,exact_full,exact_full,exact_full,exact_full,exact_full,exact_full,exact_full,exact_full,exact_full,exact_full,exact_full)",mixture | chemical,,
ALPRAZOLAM,Alprazolam,YU55MQ3IZY,chemical,approved,ALPRAZOLAM,exact_full,chemical,C17H13ClN4,Cc1nnc2CN=C(c3ccccc3)c4cc(ccc4-n12)Cl
ALPROSTADIL,Alprostadil,F5TD010360,chemical,approved,ALPROSTADIL,exact_full,chemical,C20H34O5,CCCCC[C@@H](/C=C/[C@@H]1[C@@H](CCCCCCC(=O)O)C(=O)C[C@H]1O)O
ALVIMOPAN,ALVIMOPAN,677C126AET,chemical,approved,ALVIMOPAN,exact_full,chemical,C25H32N2O4.2H2O,C[C@H]1CN(CC[C@@]1(C)c2cccc(c2)O)C[C@H](Cc3ccccc3)C(=O)NCC(=O)O.O.O
AMANTADINE HYDROCHLORIDE,Amantadine Hydrochloride,M6Q1EO9TD0,chemical,approved,AMANTADINE HYDROCHLORIDE,exact_full,chemical,C10H17N.ClH,C1C2CC3CC1CC(C2)(C3)N.Cl
AMBRISENTAN,AMBRISENTAN,HW6NV07QEC,chemical,approved,AMBRISENTAN,exact_full,chemical,C22H22N2O4,Cc1cc(C)nc(n1)O[C@H](C(=O)O)C(c2ccccc2)(c3ccccc3)OC
AMCINONIDE,AMCINONIDE,423W026MA9,chemical,approved,AMCINONIDE,exact_full,chemical,C28H35FO7,CC(=O)OCC(=O)[C@@]12[C@@]([H])(C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@]4([C@H](C[C@@]31C)O)F)OC6(CCCC6)O2
AMIFAMPRIDINE PHOSPHATE,AMIFAMPRIDINE PHOSPHATE,8HF8FIN815,chemical,approved,AMIFAMPRIDINE PHOSPHATE,exact_full,chemical,C5H7N3.H3O4P,c1cncc(c1N)N.OP(=O)(O)O
AMIFOSTINE,Amifostine,M487QF2F4V,chemical,approved,AMIFOSTINE,exact_full,chemical,C5H15N2O3PS.3H2O,C(CN)CNCCSP(=O)(O)O.O.O.O
AMIKACIN SULFATE,Amikacin Sulfate,N6M33094FD,chemical,approved,AMIKACIN SULFATE,exact_full,chemical,C22H43N5O13.2H2O4S,C(CN)[C@@H](C(=O)N[C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@]2([H])[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)N)O)O)O[C@]3([H])[C@@H]([C@H]([C@@H]([C@@H](CN)O3)O)O)O)N)O.OS(=O)(=O)O.OS(=O)(=O)O
AMILORIDE HYDROCHLORIDE,Amiloride Hydrochloride,FZJ37245UC,chemical,approved,AMILORIDE HYDROCHLORIDE,exact_full,chemical,C6H8ClN7O.ClH.2H2O,c1(c(N)nc(c(Cl)n1)N)C(=O)NC(=N)N.Cl.O.O
AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,Amiloride Hydrochloride | Hydrochlorothiazide,FZJ37245UC | 0J48LPH2TH,chemical,approved | approved,AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,"combination(exact_full,exact_full)",chemical,,
AMINO ACIDS,"AMINO ACIDS, SOURCE UNSPECIFIED",0O72R8RF8A,mixture,approved,AMINO ACIDS,exact_full,mixture,,
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE","AMINO ACIDS, SOURCE UNSPECIFIED | Calcium Chloride | DEXTROSE, UNSPECIFIED FORM | MAGNESIUM CHLORIDE | Dibasic potassium phosphate | Sodium acetate | Sodium Chloride",0O72R8RF8A | M4I0D6VV5M | IY9XDZ35W2 | 02F3473H9O | CI71S98N1Z | 4550K0SC9B | 451W47IQ8X,mixture,approved | approved | approved | approved | approved | approved | approved,"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE","combination(exact_full,exact_full,exact_full,exact_full,exact_full,exact_full,exact_full)",mixture | chemical,,
AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL,"AMINO ACIDS, SOURCE UNSPECIFIED | Calcium Chloride | DEXTROSE, UNSPECIFIED FORM | MAGNESIUM SULFATE, UNSPECIFIED FORM | Potassium chloride | Sodium acetate | Sodium glycerophosphate | SOYBEAN OIL",0O72R8RF8A | M4I0D6VV5M | IY9XDZ35W2 | DE08037SAB | 660YQ98I10 | 4550K0SC9B | RCS9EQ01V4 | 241ATL177A,mixture,approved | approved | approved | approved | approved | approved | approved | approved,AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL,"combination(exact_full,exact_full,exact_full,exact_full,exact_full,exact_full,exact_full,exact_full)",mixture | chemical | structurallyDiverse,,
AMINO ACIDS; DEXTROSE,"AMINO ACIDS, SOURCE UNSPECIFIED | DEXTROSE, UNSPECIFIED FORM",0O72R8RF8A | IY9XDZ35W2,mixture,approved | approved,AMINO ACIDS; DEXTROSE,"combination(exact_full,exact_full)",mixture,,
AMINOCAPROIC ACID,Aminocaproic Acid,U6F3787206,chemical,approved,AMINOCAPROIC ACID,exact_full,chemical,C6H13NO2,C(CCC(=O)O)CCN
AMINOLEVULINIC ACID HYDROCHLORIDE,AMINOLEVULINIC ACID HYDROCHLORIDE,V35KBM8JGR,chemical,approved,AMINOLEVULINIC ACID HYDROCHLORIDE,exact_full,chemical,C5H9NO3.ClH,C(CC(=O)O)C(=O)CN.Cl
AMINOPHYLLINE,AMINOPHYLLINE,27Y3KJK423,chemical,approved,AMINOPHYLLINE,exact_full,chemical,2C7H8N4O2.C2H8N2,Cn1c2c(c(=O)n(C)c1=O)nc[nH]2.Cn1c2c(c(=O)n(C)c1=O)nc[nH]2.C(CN)N
AMINOSALICYLIC ACID,Aminosalicylic acid,5B2658E0N2,chemical,approved,AMINOSALICYLIC ACID,exact_full,chemical,C7H7NO3,c1cc(c(cc1N)O)C(=O)O
AMIODARONE HYDROCHLORIDE,Amiodarone hydrochloride,976728SY6Z,chemical,approved,AMIODARONE HYDROCHLORIDE,exact_full,chemical,C25H29I2NO3.ClH,CCCCc1c(c2ccccc2o1)C(=O)c3cc(c(c(c3)I)OCCN(CC)CC)I.Cl
