Ingredient,Trade_Name(s),Disease_Category,Duration_Class,DF_Route(s),Earliest_Approval,Latest_Approval,NDA_Count,ANDA_Count,Generic_Competitor_Count,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Has_Blocking_Exclusivity,Exclusivity_Codes,Latest_Exclusivity_Date,Applicant(s)
EVEROLIMUS,AFINITOR | AFINITOR DISPERZ | EVEROLIMUS | ZORTRESS,Autoimmune,LONG-TERM,"TABLET, FOR SUSPENSION;ORAL | TABLET;ORAL",2009-03-30,2026-05-12,3,15,57,3,2028-07-01,2028,No,,,ALKEM LABORATORIES LTD | AMNEAL EU LTD | APOTEX INC | BIOCON PHARMA LTD | BRECKENRIDGE PHARMACEUTICAL INC | EUGIA PHARMA SPECIALITIES LTD | HIKMA PHARMACEUTICALS USA INC | NATCO PHARMA LTD | NOVARTIS PHARMACEUTICAL CORP | NOVARTIS PHARMACEUTICALS CORP | NOVUGEN ONCOLOGY SDN BHD | PH HEALTH LTD | TEVA PHARMACEUTICALS USA INC
TACROLIMUS,ASTAGRAF XL | ENVARSUS XR | PROGRAF | PROTOPIC | TACROLIMUS,Autoimmune,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | CAPSULE;ORAL | FOR SUSPENSION;ORAL | INJECTABLE;INJECTION | OINTMENT;TOPICAL | TABLET, EXTENDED RELEASE;ORAL",1994-04-08,2025-02-12,6,17,44,10,2028-08-30,2028,No,ODE-360,2028-07-16,ACCORD HEALTHCARE INC | AJENAT PHARMACEUTICALS LLC | ALKEM LABORATORIES LTD | ASTELLAS PHARMA US INC | BIOCON PHARMA LTD | CHENGDU SUNCADIA MEDICINE CO LTD | CONCORD BIOTECH LTD | DR REDDYS LABORATORIES LTD | ENCUBE ETHICALS PRIVATE LTD | FOUGERA PHARMACEUTICALS INC | GLENMARK PHARMACEUTICALS LTD | LEO PHARMA AS | MYLAN PHARMACEUTICALS INC | NEXUS PHARMACEUTICALS LLC | PANACEA BIOTEC PHARMA LTD | SANDOZ INC | STRIDES PHARMA GLOBAL PTE LTD | VELOXIS PHARMACEUTICALS INC
METHOTREXATE SODIUM,METHOTREXATE PRESERVATIVE FREE | METHOTREXATE SODIUM | METHOTREXATE SODIUM PRESERVATIVE FREE | TREXALL | XATMEP,Autoimmune,CHRONIC,INJECTABLE;INJECTION | SOLUTION;ORAL | TABLET;ORAL,1986-09-16,2026-04-30,2,25,37,7,2033-01-02,2033,No,,,ACCORD HEALTHCARE INC | ALEMBIC PHARMACEUTICALS LTD | AZURITY PHARMACEUTICALS INC | BARR LABORATORIES INC | ELITE LABORATORIES INC | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | HETERO LABS LTD UNIT VI | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | MYLAN PHARMACEUTICALS INC | PHARMACHEMIE BV | SAGENT PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | ZYDUS PHARMACEUTICALS USA INC
TOFACITINIB CITRATE,TOFACITINIB CITRATE | XELJANZ | XELJANZ XR,Autoimmune,CHRONIC,"SOLUTION;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",2012-11-06,2026-06-09,3,25,37,8,2034-09-14,2034,Yes,M-14 | PED,2028-08-21,AJANTA PHARMA LTD | APOTEX INC | AUROBINDO PHARMA LTD | AUSON PHARMACEUTICALS INC | BIOCON PHARMA LTD | BRECKENRIDGE PHARMACEUTICAL INC | CONCORD BIOTECH LTD | DEXCEL PHARMA TECHNOLOGIES LTD | HIKMA PHARMACEUTICALS USA INC | MACLEODS PHARMACEUTICALS LTD | MICRO LABS LTD | MSN LABORATORIES PRIVATE LTD | ORIENT PHARMA CO LTD | PF PRISM CV | PFIZER INC | SAPTALIS PHARMACEUTICALS LLC | SINOTHERAPEUTICS INC | SOMERSET THERAPEUTICS LLC | SPECGX LLC | SUN PHARMACEUTICAL INDUSTRIES INC | YAOPHARMA CO LTD | ZYDUS PHARMACEUTICALS USA INC
ELTROMBOPAG OLAMINE,ELTROMBOPAG OLAMINE | PROMACTA | PROMACTA KIT,Autoimmune,CHRONIC,FOR SUSPENSION;ORAL | TABLET;ORAL,2008-11-20,2026-04-28,2,9,34,12,2028-02-01,2028,No,,,AMNEAL EU LTD | ANNORA PHARMA PRIVATE LTD | BIOCON PHARMA LTD | DR REDDYS LABORATORIES LTD | HETERO LABS LTD UNIT V | HIKMA PHARMACEUTICALS USA INC | MSN LABORATORIES PRIVATE LTD | NOVARTIS PHARMACEUTICALS CORP | SOMERSET THERAPEUTICS LLC | ZYDUS PHARMACEUTICALS USA INC
MYCOPHENOLATE MOFETIL,CELLCEPT | MYCOPHENOLATE MOFETIL | MYHIBBIN,Autoimmune,CHRONIC,CAPSULE;ORAL | FOR SUSPENSION;ORAL | SUSPENSION;ORAL | TABLET;ORAL,1995-05-03,2026-06-01,4,29,29,5,2039-08-16,2039,No,,,ACCORD HEALTHCARE INC | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS LLC | AUROBINDO PHARMA LTD | AZURITY PHARMACEUTICALS INC | CONCORD BIOTECH LTD | HETERO LABS LTD UNIT V | HIKMA PHARMACEUTICALS USA INC | LANNETT CO INC | MYLAN PHARMACEUTICALS INC | RISING PHARMA HOLDING INC | ROCHE PALO ALTO LLC | SANDOZ INC | STRIDES PHARMA GLOBAL PTE LTD | STRIDES PHARMA INTERNATIONAL AG | TEVA PHARMACEUTICALS USA | VISTAPHARM LLC | WUXI FORTUNE PHARMACEUTICAL CO LTD | ZHEJIANG HISUN PHARMACEUTICAL CO LTD
CYCLOSPORINE,CEQUA | CYCLOSPORINE | GENGRAF | NEORAL | RESTASIS | RESTASIS MULTIDOSE | SANDIMMUNE | VERKAZIA | VEVYE,Autoimmune,CHRONIC,CAPSULE;ORAL | EMULSION;OPHTHALMIC | INJECTABLE;INJECTION | SOLUTION;OPHTHALMIC | SOLUTION;ORAL,1983-11-14,2026-06-01,9,17,28,22,2042-04-01,2042,No,ODE-358,2028-06-23,ABBVIE INC | AMNEAL PHARMACEUTICALS LLC | APOTEX INC | DEVA HOLDING AS | DR REDDYS LABORATORIES SA | HARROW EYE LLC | HIKMA PHARMACEUTICALS USA INC | IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA | JIANGSU ANBISON PHARMACEUTICAL CO LTD | MYLAN PHARMACEUTICALS INC | NOVARTIS PHARMACEUTICALS CORP | ONESOURCE SPECIALTY PTE LTD | QILU PHARMACEUTICAL CO LTD | SANDOZ INC | SAPTALIS PHARMACEUTICALS LLC | SUN PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA INC | TWI PHARMACEUTICALS INC
DEFLAZACORT,DEFLAZACORT | EMFLAZA | JAYTHARI | PYQUVI,Autoimmune,CHRONIC,SUSPENSION;ORAL | TABLET;ORAL,2017-02-09,2026-05-28,2,11,26,0,,,No,,,AMNEAL EU LTD | AUCTA PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | CARNEGIE PHARMACEUTICALS LLC | PTC THERAPEUTICS INC | SUN PHARMACEUTICAL INDUSTRIES INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TRIS PHARMA INC | UPSHER SMITH LABORATORIES LLC | ZYDUS LIFESCIENCES GLOBAL FZE
HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE | PLAQUENIL | SOVUNA,Autoimmune,CHRONIC,TABLET;ORAL,1994-09-30,2022-09-19,2,13,19,0,,,No,,,ACCORD HEALTHCARE INC | ADVANZ PHARMA (US) CORP | ALKALOIDA CHEMICAL CO ZRT | AMNEAL PHARMACEUTICALS CO GMBH | APPCO PHARMA LLC | AUROBINDO PHARMA USA INC | CHARTWELL RX SCIENCES LLC | CREEKWOOD PHARMACEUTICALS LLC | IPCA LABORATORIES LTD | LAURUS LABS LTD | NOVITIUM PHARMA LLC | SANDOZ INC | SENORES PHARMACEUTICALS INC | TEVA PHARMACEUTICALS USA | ZYDUS PHARMACEUTICALS USA INC
LEFLUNOMIDE,ARAVA | LEFLUNOMIDE,Autoimmune,CHRONIC,TABLET;ORAL,1998-09-10,2021-05-10,1,9,18,0,,,No,,,ABHAI LLC | AET PHARMA US INC | ALEMBIC PHARMACEUTICALS LTD | APOTEX INC | AUROBINDO PHARMA LTD | FOSUN WANBANG (JIANGSU) PHARMACEUTICAL GROUP CO LTD | HERITAGE PHARMACEUTICALS INC DBA AVET PHARMACEUTICALS INC | LUPIN LTD | SANOFI AVENTIS US LLC | ZYDUS LIFESCIENCES GLOBAL FZE
MYCOPHENOLATE SODIUM,MYCOPHENOLATE SODIUM | MYFORTIC,Autoimmune,CHRONIC,"TABLET, DELAYED RELEASE;ORAL",2004-02-27,2024-05-29,1,9,18,0,,,No,,,ACCORD HEALTHCARE INC | ALKEM LABORATORIES LTD | APOTEX INC | AUROBINDO PHARMA LTD | BIOCON PHARMA INC | BIOCON PHARMA LTD | CONCORD BIOTECH LTD | FOSUN WANBANG (JIANGSU) PHARMACEUTICAL GROUP CO LTD | NOVARTIS PHARMACEUTICALS CORP | YICHANG HUMANWELL PHARMACEUTICAL CO LTD
SIROLIMUS,FYARRO | HYFTOR | RAPAMUNE | SIROLIMUS,Autoimmune,CHRONIC,GEL;TOPICAL | POWDER;INTRAVENOUS | SOLUTION;ORAL | TABLET;ORAL,1999-09-15,2025-07-15,4,10,17,7,2040-10-28,2040,No,ODE-386 | ODE-391,2029-03-22,AADI BIOSCIENCES INC | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS LLC | APOTEX INC | DR REDDYS LABORATORIES LTD | GLENMARK PHARMACEUTICALS LTD | HETERO LABS LTD UNIT V | MSN LABORATORIES PRIVATE LTD | NOBELPHARMA CO LTD | NOVITIUM PHARMA LLC | PF PRISM CV | RISING PHARMA HOLDINGS INC | ZYDUS PHARMACEUTICALS USA INC
AZATHIOPRINE,AZASAN | AZATHIOPRINE | IMURAN,Autoimmune,CHRONIC,TABLET;ORAL,1996-02-16,2021-11-02,1,5,16,0,,,No,,,AAIPHARMA LLC | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS LLC | LEGACY PHARMA INC | RISING PHARMA HOLDINGS INC | ZYDUS PHARMACEUTICALS USA INC
APREMILAST,APREMILAST | OTEZLA | OTEZLA XR,Autoimmune,CHRONIC,"TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",2014-03-21,2025-08-29,2,5,15,11,2042-05-27,2042,Yes,M-299 | NPP | ODE* | ODE-248 | PED,2027-10-25,ALKEM LABORATORIES LTD | AMGEN INC | ANNORA PHARMA PRIVATE LTD | MANKIND PHARMA LTD | MSN LABORATORIES PRIVATE LTD | SHILPA MEDICARE LTD
PENICILLAMINE,CUPRIMINE | DEPEN | PENICILLAMINE,Autoimmune,CHRONIC,CAPSULE;ORAL | TABLET;ORAL,2019-06-24,2021-10-08,2,9,9,0,,,No,,,BRECKENRIDGE PHARMACEUTICAL INC | DR REDDYS LABORATORIES LTD | GRANULES PHARMACEUTICALS INC | INVAGEN PHARMACEUTICALS INC | LUPIN LTD | MYLAN SPECIALTY LP | NAVINTA LLC | PH HEALTH LTD | VALEANT PHARMACEUTICALS INTERNATIONAL | WATSON LABORATORIES INC
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,CELLCEPT | MYCOPHENOLATE MOFETIL HYDROCHLORIDE,Autoimmune,CHRONIC,INJECTABLE;INJECTION,1998-08-12,2023-06-01,1,7,7,0,,,No,,,BPI LABS LLC | MEITHEAL PHARMACEUTICALS INC | MYLAN LABORATORIES LTD | ONESOURCE SPECIALTY PTE LTD | PH HEALTH LTD | RISING PHARMA HOLDINGS INC | ROCHE PALO ALTO LLC | ZYDUS PHARMACEUTICALS USA INC
CHLOROQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE,Autoimmune,CHRONIC,TABLET;ORAL,2003-08-29,2021-09-03,0,5,5,0,,,No,,,IMPAX LABORATORIES INC | NATCO PHARMA LIMITED | NATCO PHARMA LTD | SUVEN PHARMACEUTICALS LTD
MERCAPTOPURINE,MERCAPTOPURINE | PURINETHOL | PURIXAN,Autoimmune,CHRONIC,SUSPENSION;ORAL | TABLET;ORAL,2004-02-11,2025-02-26,2,4,4,0,,,No,,,DR REDDYS LABORATORIES SA | HIKMA PHARMACEUTICALS USA INC | MYLAN PHARMACEUTICALS INC | NOVA LABORATORIES LTD | STASON PHARMACEUTICALS INC
BARICITINIB,OLUMIANT,Autoimmune,CHRONIC,TABLET;ORAL,2018-05-31,2025-08-08,1,1,3,6,2032-11-30,2032,No,,,ELI LILLY AND CO | MSN LABORATORIES PRIVATE LTD
TEMSIROLIMUS,TEMSIROLIMUS | TORISEL,Autoimmune,CHRONIC,SOLUTION;INTRAVENOUS,2007-05-30,2019-08-16,1,2,2,4,2032-11-10,2032,No,,,ACCORD HEALTHCARE INC | GLAND PHARMA LTD | PF PRISM CV
AZATHIOPRINE SODIUM,AZATHIOPRINE SODIUM,Autoimmune,CHRONIC,INJECTABLE;INJECTION,1995-03-31,1995-03-31,0,1,1,0,,,No,,,HIKMA PHARMACEUTICALS USA INC
ELTROMBOPAG CHOLINE,ALVAIZ,Autoimmune,CHRONIC,TABLET;ORAL,2023-11-29,2023-11-29,1,0,0,1,2038-11-05,2038,No,,,TEVA PHARMACEUTICALS INC
METHOTREXATE,JYLAMVO | RASUVO,Autoimmune,CHRONIC,SOLUTION;ORAL | SOLUTION;SUBCUTANEOUS,2014-07-10,2022-11-29,2,0,0,4,2035-10-28,2035,No,,,MEDEXUS PHARMA INC | SHORLA PHARMA LTD
UPADACITINIB,RINVOQ | RINVOQ LQ,Autoimmune,CHRONIC,"SOLUTION;ORAL | TABLET, EXTENDED RELEASE;ORAL",2019-08-16,2024-04-26,2,0,0,45,2038-03-09,2038,No,I-946 | I-966 | NP | NPP | ODE-481 | ODE-538,2032-04-28,ABBVIE INC
DILTIAZEM HYDROCHLORIDE,CARDIZEM | CARDIZEM CD | CARDIZEM LA | CARTIA XT | DILTIAZEM HYDROCHLORIDE | DILTIAZEM HYDROCHLORIDE IN 0.72% SODIUM CHLORIDE | TIAZAC,Cardiovascular,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | INJECTABLE;INJECTION | SOLUTION;INTRAVENOUS | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",1982-11-05,2026-02-27,5,33,119,0,,,No,,,ACCORD HEALTHCARE INC | ACTAVIS ELIZABETH LLC | ACTAVIS LABORATORIES FL INC | ALEMBIC PHARMACEUTICALS LTD | AMTA LABS LTD | APOTEX INC | BAUSCH HEALTH US LLC | CHARTWELL RX SCIENCES LLC | DR REDDYS LABORATORIES SA | GLENMARK PHARMACEUTICALS LTD | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | HQ SPECIALTY PHARMA CORP | MACLEODS PHARMACEUTICALS LTD | MYLAN PHARMACEUTICALS INC | NOVAST LABORATORIES LTD | PH HEALTH LTD | RISING PHARMA HOLDINGS INC | SAGENT PHARMACEUTICALS | SCIEGEN PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA INC | TWI PHARMACEUTICALS INC | UTOPIC PHARMACEUTICALS INC | VALEANT PHARMACEUTICALS NORTH AMERICA LLC | ZYDUS LIFESCIENCES GLOBAL FZE | ZYDUS PHARMACEUTICALS USA INC
TADALAFIL,ADCIRCA | ALYQ | CIALIS | TADALAFIL | TADLIQ,Cardiovascular,CHRONIC,SUSPENSION;ORAL | TABLET;ORAL,2003-11-21,2026-05-20,3,38,116,4,2038-12-24,2038,No,,,ACCORD HEALTHCARE INC | AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS CO GMBH | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | CIPLA LTD | CMP DEVELOPMENT LLC | DR REDDYS LABORATORIES LTD | ELI LILLY AND CO | ELI LILLY CO | FOURRTS INDIA LABORATORIES PRIVATE LTD | HANGZHOU MINSHENG BINJIANG PHARMACEUTICAL CO LTD | HETERO LABS LTD UNIT III | JUBILANT GENERICS LTD | LUPIN LTD | MACLEODS PHARMACEUTICALS LTD | NOVITIUM PHARMA LLC | PRINSTON PHARMACEUTICAL INC | QILU PHARMACEUTICAL HAINAN CO LTD | SHANDONG NEW TIME PHARMACEUTICAL CO LTD | SUN PHARMACEUTICAL INDUSTRIES LTD | SUNSHINE LAKE PHARMA CO LTD | TEVA PHARMACEUTICALS INC | TEVA PHARMACEUTICALS USA | TEVA PHARMACEUTICALS USA INC | TORRENT PHARMACEUTICALS LTD | UMEDICA LABORATORIES PRIVATE LTD | UNICHEM LABORATORIES LTD | VKT PHARMA PRIVATE LTD | WATSON LABORATORIES INC | ZYDUS PHARMACEUTICALS USA INC
LISINOPRIL,LISINOPRIL | QBRELIS | ZESTRIL,Cardiovascular,CHRONIC,SOLUTION;ORAL | TABLET;ORAL,1988-05-19,2021-03-04,2,13,72,12,2035-11-06,2035,No,,,ANNORA PHARMA PRIVATE LTD | AUROBINDO PHARMA LTD | AZURITY PHARMACEUTICALS INC | CHARTWELL RX SCIENCES LLC | COREPHARMA LLC | INVAGEN PHARMACEUTICALS INC | LUPIN LTD | PRINSTON PHARMACEUTICAL INC | SCIEGEN PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TWI PHARMACEUTICALS INC | WATSON LABORATORIES INC | WOCKHARDT BIO AG
SILDENAFIL CITRATE,REVATIO | SILDENAFIL CITRATE | VIAGRA | VYBRIQUE,Cardiovascular,CHRONIC,FILM;ORAL | FOR SUSPENSION;ORAL | SOLUTION;INTRAVENOUS | TABLET;ORAL,1998-03-27,2025-12-16,4,38,70,1,2033-12-16,2033,No,NP | ODE-469,2030-01-31,AJANTA PHARMA LTD | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS | AMNEAL PHARMACEUTICALS OF NEW YORK LLC | AMNEAL PHARMACEUTICALS OF NY LLC | APPCO PHARMA LLC | AUROBINDO PHARMA LTD | CADILA PHARMACEUTICALS LTD | CHARTWELL RX SCIENCES LLC | EUGIA PHARMA SPECIALITIES LTD | HETERO LABS LTD UNIT V | IBSA INSTITUT BIOCHIMIQUE SA | INVAGEN PHARMACEUTICALS INC | JUBILANT GENERICS LTD | MACLEODS PHARMACEUTICALS LTD | MSN LABORATORIES PRIVATE LTD | NOVITIUM PHARMA LLC | REYOUNG CORPORATION | RUBICON RESEARCH LTD | SUNSHINE LAKE PHARMA CO LTD | TEVA PHARMACEUTICALS USA | TEVA PHARMACEUTICALS USA INC | TORRENT PHARMACEUTICALS LTD | UMEDICA LABORATORIES PRIVATE LTD | VIATRIS SPECIALTY LLC | WATSON LABORATORIES INC | ZYDUS LIFESCIENCES GLOBAL FZE
PROPRANOLOL HYDROCHLORIDE,HEMANGEOL | INDERAL LA | INNOPRAN XL | PROPRANOLOL HYDROCHLORIDE,Cardiovascular,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | INJECTABLE;INJECTION | SOLUTION;ORAL | TABLET;ORAL",1983-04-19,2026-06-10,3,21,63,2,2028-10-16,2028,No,,,ACTAVIS ELIZABETH LLC | ADARE PHARMACEUTICALS INC | AMTA LABS LTD | ANDA REPOSITORY LLC | ANI PHARMACEUTICALS INC | ETON PHARMACEUTICALS INC | FRESENIUS KABI USA LLC | HIKMA FARMACEUTICA (PORTUGAL) SA | HIKMA PHARMACEUTICALS USA INC | IMPAX LABORATORIES INC | INNOGENIX LLC | IPCA LABORATORIES LTD | MANKIND PHARMA LTD | MYLAN PHARMACEUTICALS INC | PAI HOLDINGS LLC | PH HEALTH LTD | WATSON LABORATORIES INC | ZYDUS PHARMACEUTICALS USA INC
METOPROLOL SUCCINATE,KAPSPARGO SPRINKLE | METOPROLOL SUCCINATE | TOPROL-XL,Cardiovascular,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | TABLET, EXTENDED RELEASE;ORAL",1992-01-10,2026-05-15,2,19,62,2,2035-07-09,2035,No,,,ACTAVIS ELIZABETH LLC | ACTAVIS LABORATORIES FL INC | ALKEM LABORATORIES LTD | CIPLA LTD | DOCTOR REDDYS LABORATORIES LTD | DR REDDYS LABORATORIES LTD | GRANULES INDIA LTD | HETERO LABS LTD UNIT III | IPCA LABORATORIES LTD | MELINTA THERAPEUTICS LLC A WHOLLY OWNED SUB OF CORMEDIX INC | MYLAN PHARMACEUTICALS INC | NOVAST LABORATORIES LTD | PHARMADAX INC | SUN PHARMA INDUSTRIES LTD | SUNSHINE LAKE PHARMA CO LTD | VISUM PHARMACEUTICAL CO LTD | WOCKHARDT BIO AG | YICHANG HUMANWELL PHARMACEUTICAL CO LTD | ZHEJIANG JUTAI PHARMACEUTICAL CO LTD | ZYDUS PHARMACEUTICALS USA INC
VALSARTAN,DIOVAN | VALSARTAN,Cardiovascular,CHRONIC,SOLUTION;ORAL | TABLET;ORAL,2001-07-18,2026-04-21,1,17,62,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS OF NEW YORK LLC | AUROBINDO PHARMA LTD | DR REDDYS LABORATORIES LTD | HETERO LABS LTD UNIT V | JUBILANT GENERICS LTD | LAURUS LABS LTD | MACLEODS PHARMACEUTICALS LTD | MYLAN PHARMACEUTICALS INC | NOVARTIS PHARMACEUTICALS CORP | NOVITIUM PHARMA LLC | OHM LABORATORIES INC | PRINSTON PHARMACEUTICAL INC | RUBICON RESEARCH LTD | SCIEGEN PHARMACEUTICALS INC | SQUARE PHARMACEUTICALS PLC | ZYDUS LIFESCIENCES LTD
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE | NORLIQVA | NORVASC | SDAMLO,Cardiovascular,CHRONIC,FOR SOLUTION;ORAL | SOLUTION;ORAL | TABLET;ORAL,1992-07-31,2026-02-17,3,20,60,6,2041-02-24,2041,No,,,ACCORD HEALTHCARE INC | ALKEM LABORATORIES LTD | AUROBINDO PHARMA LTD | BRILLIAN PHARMA INC | CHARTWELL RX SCIENCES LLC | CHINA RESOURCES SAIKE PHARMACEUTICAL CO LTD | CIPLA LTD | CMP DEVELOPMENT LLC | COREPHARMA LLC | EPIC PHARMA LLC | GRAVITI PHARMACEUTICALS INC | INVAGEN PHARMACEUTICALS INC | LUPIN LTD | ORBION PHARMACEUTICALS PRIVATE LTD | OXFORD PHARMACEUTICALS LLC | PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS | STRIDES PHARMA GLOBAL PTE LTD | TEVA PHARMACEUTICALS INC | TEVA PHARMACEUTICALS USA INC | UNICHEM LABORATORIES LTD | VIATRIS SPECIALTY LLC | ZYDUS PHARMACEUTICALS USA INC
OLMESARTAN MEDOXOMIL,BENICAR | OLMESARTAN MEDOXOMIL,Cardiovascular,CHRONIC,TABLET;ORAL,2002-04-25,2024-11-08,1,19,57,0,,,No,,,ACCORD HEALTHCARE INC | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AUROBINDO PHARMA LTD | CADILA PHARMACEUTICALS LTD | CHARTWELL RX SCIENCES LLC | COSETTE PHARMACEUTICALS INC | GLENMARK PHARMACEUTICALS LTD | HETERO LABS LTD UNIT V | INVENTIA HEALTHCARE LTD | JUBILANT GENERICS LTD | MACLEODS PHARMACEUTICALS LTD | MICRO LABS LTD | MSN LABORATORIES PRIVATE LTD | PRINSTON PHARMACEUTICAL INC | QILU PHARMACEUTICAL CO LTD | SCIEGEN PHARMACEUTICALS INC | SUNSHINE LAKE PHARMA CO LTD | UMEDICA LABORATORIES PRIVATE LTD | ZYDUS PHARMACEUTICALS USA INC
RIVAROXABAN,RIVAROXABAN | XARELTO,Cardiovascular,CHRONIC,FOR SUSPENSION;ORAL | TABLET;ORAL,2011-07-01,2026-03-02,2,19,55,2,2034-08-17,2034,No,,,AIPING PHARMACEUTICAL INC | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | APOTEX INC | ASCENT PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | BIOCON PHARMA LTD | BRECKENRIDGE PHARMACEUTICAL INC | DR REDDYS LABORATORIES LTD | INVAGEN PHARMACEUTICALS INC | JANSSEN PHARMACEUTICALS INC | LUPIN LTD | MACLEODS PHARMACEUTICALS LTD | MSN LABORATORIES PRIVATE LTD | REGCON HOLDINGS LLC | SCIEGEN PHARMACEUTICALS INC | SUNSHINE LAKE PHARMA CO LTD | TARO PHARMACEUTICAL INDUSTRIES LTD
WARFARIN SODIUM,JANTOVEN | WARFARIN SODIUM,Cardiovascular,CHRONIC,TABLET;ORAL,1999-07-15,2013-03-04,0,6,54,0,,,No,,,AMNEAL PHARMACEUTICALS | INVAGEN PHARMACEUTICALS INC | PLIVA INC | TARO PHARMACEUTICAL INDUSTRIES LTD | UPSHER SMITH LABORATORIES LLC | ZYDUS PHARMACEUTICALS USA INC
NEBIVOLOL HYDROCHLORIDE,BYSTOLIC | NEBIVOLOL HYDROCHLORIDE,Cardiovascular,CHRONIC,TABLET;ORAL,2007-12-17,2025-01-28,1,13,52,0,,,No,,,ALLERGAN SALES LLC | ANI PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | CADILA PHARMACEUTICALS LTD | GLENMARK PHARMACEUTICALS LTD | HETERO LABS LTD UNIT III | INDCHEMIE HEALTH SPECIALTIES PVT LTD | MACLEODS PHARMACEUTICALS LTD | MANKIND PHARMA LTD | MSN LABORATORIES PRIVATE LTD | PRINSTON PHARMACEUTICAL INC | REGCON HOLDINGS LLC | REYOUNG CORPORATION | UNICHEM LABORATORIES LTD
LOSARTAN POTASSIUM,ARBLI | COZAAR | LOSARTAN POTASSIUM,Cardiovascular,CHRONIC,SUSPENSION;ORAL | TABLET;ORAL,1995-04-14,2025-09-19,2,17,51,3,2041-10-07,2041,No,,,AIPING PHARMACEUTICAL INC | ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | GRANULES INDIA LTD | GRAVITI PHARMACEUTICALS PRIVATE LTD | HETERO LABS LTD UNIT V | JUBILANT CADISTA PHARMACEUTICALS INC | LUPIN LTD | MACLEODS PHARMACEUTICALS LTD | MICRO LABS LTD | MSN LABORATORIES PRIVATE LTD | ORGANON LLC A SUB OF ORGANON AND CO | PRINSTON PHARMACEUTICAL INC | SCIENTURE LLC | STRIDES PHARMA GLOBAL PTE LTD | UNICHEM LABORATORIES LTD | WATSON LABORATORIES INC | ZYDUS PHARMACEUTICALS USA INC
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM | CADUET,Cardiovascular,CHRONIC,TABLET;ORAL,2004-01-30,2025-05-22,1,5,49,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | APOTEX INC | DR REDDYS LABORATORIES LTD | MYLAN PHARMACEUTICALS INC | NEOCUBES PHARMA LLP | PHARMACIA AND UPJOHN CO LLC
