Ingredient,Trade_Name(s),Disease_Category,Duration_Class,DF_Route(s),Earliest_Approval,Latest_Approval,NDA_Count,ANDA_Count,Generic_Competitor_Count,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Has_Blocking_Exclusivity,Exclusivity_Codes,Latest_Exclusivity_Date,Applicant(s)
LEVETIRACETAM,KEPPRA | KEPPRA XR | LEVETIRACETAM | LEVETIRACETAM IN SODIUM CHLORIDE | SPRITAM,Neurology,CHRONIC,"INJECTABLE;INTRAVENOUS | SOLUTION;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET, FOR SUSPENSION;ORAL | TABLET;ORAL",1999-11-30,2026-05-08,6,66,140,6,2034-03-14,2034,No,,,ACTAVIS LABORATORIES FL INC | ACTAVIS MID ATLANTIC LLC | AIPING PHARMACEUTICAL INC | AJENAT PHARMACEUTICALS LLC | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS | ANDA REPOSITORY LLC | APOTEX INC | APRECIA PHARMACEUTICALS LLC | AUROBINDO PHARMA LTD | B BRAUN MEDICAL INC | BAXTER HEALTHCARE CORP | BIONPHARMA INC | CAPLIN STERILES LTD | CHARTWELL MOLECULAR HOLDINGS LLC | CHARTWELL RX SCIENCES LLC | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | HAINAN POLY PHARMACEUTICAL CO LTD | HETERO LABS LTD UNIT III | HIKMA FARMACEUTICA (PORTUGAL) SA | HIKMA PHARMACEUTICALS USA INC | HISUN PHARMACEUTICAL (HANGZHOU) CO LTD | HOSPIRA INC | HQ SPECIALTY PHARMA CORP | INGENUS PHARMACEUTICALS LLC | LUPIN LIMITED | LUPIN LTD | MICRO LABS LTD | MSN LABORATORIES PRIVATE LTD | MYLAN LABORATORIES LTD | MYLAN PHARMACEUTICALS INC | NEXUS PHARMACEUTICALS LLC | ORBION PHARMACEUTICALS PRIVATE LTD | OVERSEAS PHARMACEUTICALS LTD | OXFORD PHARMACEUTICALS LLC | PHARMACEUTICAL ASSOCIATES INC | PRINSTON PHARMACEUTICAL INC | QUAGEN PHARMACEUTICALS LLC | RISING PHARMA HOLDINGS INC | SAGENT PHARMACEUTICALS INC | SCIEGEN PHARMACEUTICALS INC | SENORES PHARMACEUTICALS INC | STRIDES PHARMA GLOBAL PTE LTD | TARO PHARMACEUTICAL INDUSTRIES LTD | TORRENT PHARMACEUTICALS LTD | UCB INC | VIWIT PHARMACEUTICAL CO LTD | XGEN PHARMACEUTICALS DJB INC | ZHEJIANG JINGXIN PHARMACEUTICAL CO LTD | ZYDUS PHARMACEUTICALS USA INC
GABAPENTIN,GABAPENTIN | GRALISE | NEURONTIN | RELGAABI,Neurology,CHRONIC,CAPSULE;ORAL | SOLUTION;ORAL | TABLET;ORAL,1993-12-30,2026-05-14,4,43,103,0,,,No,,,ABON PHARMACEUTICALS LLC | ACELLA PHARMACEUTICALS LLC | ACTAVIS ELIZABETH LLC | AJENAT PHARMACEUTICALS LLC | ALKEM LABORATORIES LTD | ALMATICA PHARMA INC | AMNEAL PHARMACEUTICALS | AMNEAL PHARMACEUTICALS NY LLC | ANNORA PHARMA PRIVATE LTD | ASCENT PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | CSPC OUYI PHARMACEUTICAL CO LTD | EPIC PHARMA LLC | GLENMARK PHARMACEUTICALS LTD | GRANULES INDIA LTD | INVAGEN PHARMACEUTICALS INC | IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA | LAURUS LABS LTD | MARKSANS PHARMA LTD | MISSION PHARMACAL CO | PAI HOLDINGS LLC DBA PHARMACEUTICAL ASSOCIATES INC | PRINSTON PHARMACEUTICAL INC | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | SCIEGEN PHARMACEUTICALS INC | SENORES PHARMACEUTICALS INC | STRIDES PHARMA GLOBAL PTE LTD | VIATRIS SPECIALTY LLC | ZHEJIANG YONGTAI PHARMACEUTICAL CO LTD | ZYDUS PHARMACEUTICALS USA INC
PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DIHYDROCHLORIDE,Neurology,CHRONIC,"TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",2010-07-06,2022-11-23,0,17,94,0,,,No,,,ACTAVIS ELIZABETH LLC | ACTAVIS ELIZABETH LLC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC | ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | DR REDDYS LABORATORIES LTD | GLENMARK PHARMACEUTICALS LTD | MACLEODS PHARMACEUTICALS LTD | NOVAST LABORATORIES LTD | PHARMOBEDIENT CONSULTING LLC | RISING PHARMA HOLDING INC | SCIEGEN PHARMACEUTICALS INC | STRIDES PHARMA GLOBAL PTE LTD | TORRENT PHARMACEUTICALS LTD | XIAMEN LP PHARMACUETICAL CO LTD | ZYDUS PHARMACEUTICALS USA INC
ROPINIROLE HYDROCHLORIDE,ROPINIROLE HYDROCHLORIDE,Neurology,CHRONIC,"TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",2008-05-05,2025-11-10,0,15,91,0,,,No,,,ACCORD HEALTHCARE INC | ACTAVIS ELIZABETH LLC | ALEMBIC LTD | ALEMBIC PHARMACEUTICALS LTD | CHARTWELL RX SCIENCES LLC | DR REDDYS LABORATORIES LTD | ELITE LABORATORIES INC | GLENMARK PHARMACEUTICALS LTD | MLV PHARMA LLC | ORBION PHARMACEUTICALS PRIVATE LTD | PRINSTON PHARMACEUTICAL INC | SANDOZ INC | ZYDUS LIFESCIENCES LTD
LACOSAMIDE,LACOSAMIDE | MOTPOLY XR | VIMPAT,Neurology,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | SOLUTION;INTRAVENOUS | SOLUTION;ORAL | TABLET;ORAL",2008-10-28,2026-05-21,4,36,72,3,2040-06-05,2040,No,,,ACELLA PHARMACEUTICALS LLC | AJENAT PHARMACEUTICALS LLC | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | APOTEX INC | ASPIRO PHARMA LTD | AUCTA PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | DR REDDYS LABORATORIES LTD | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | GLENMARK PHARMACEUTICALS INC USA | GLENMARK PHARMACEUTICALS LTD | HAINAN POLY PHARM CO LTD | HETERO LABS LTD UNIT III | HETERO LABS LTD UNIT V | HIKMA PHARMACEUTICALS USA INC | KANCHAN HEALTHCARE INC | MACLEODS PHARMACEUTICALS LTD | MSN LABORATORIES PRIVATE LTD | NOVITIUM PHARMA LLC | REGCON HOLDINGS LLC | SCIEGEN PHARMACEUTICALS INC | SOMERSET THERAPEUTICS LLC | STERANCO HEALTHCARE PVT LTD | SUN PHARMACEUTICAL INDUSTRIES LTD | UCB INC | UNICHEM LABORATORIES LTD | WESTMINSTER PHARMACEUTICALS LLC | ZYDUS PHARMACEUTICALS USA INC
MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,Neurology,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | SOLUTION;ORAL | TABLET;ORAL",2010-04-14,2025-08-28,0,29,70,0,,,No,,,AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS OF NEW YORK LLC | APOTEX INC | AUROBINDO PHARMA LTD | CHARTWELL MOLECULAR HOLDINGS LLC | DR REDDYS LABORATORIES LTD | HETERO LABS LTD UNIT V | LUPIN LTD | MACLEODS PHARMACEUTICALS LTD | MEDLEY PHARMACEUTICALS LTD | PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS | PURACAP PHARMACEUTICAL LLC | RENATA PLC | RISING PHARMA HOLDING INC | STRIDES PHARMA GLOBAL PTE LTD | SUN PHARMACEUTICAL INDUSTRIES LTD | UNICHEM LABORATORIES LTD | UPSHER SMITH LABORATORIES LLC | VITRUVIAS THERAPEUTICS INC | YICHANG HUMANWELL PHARMACEUTICAL CO LTD | YILING PHARMACEUTICAL LTD | ZYDUS LIFESCIENCES LTD | ZYDUS PHARMACEUTICALS USA INC
BACLOFEN,BACLOFEN | FLEQSUVY | GABLOFEN | LIORESAL | OZOBAX DS,Neurology,CHRONIC,INJECTABLE;INTRATHECAL | SOLUTION;ORAL | SUSPENSION;ORAL | TABLET;ORAL,1988-07-21,2025-11-21,4,28,65,2,2037-09-29,2037,No,,,AMNEAL PHARMACEUTICALS LLC | ANDAS 5 HOLDING LLC | ANI PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | AZURITY PHARMACEUTICALS INC | HIBROW HEALTHCARE PRIVATE LTD | IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA | LANNETT CO INC | MAIA PHARMACEUTICALS INC | MANKIND PHARMA LTD | METACEL PHARMACEUTICALS LLC | MICRO LABS LTD | NORTHSTAR HEALTHCARE HOLDINGS LTD | OXFORD PHARMACEUTICALS LLC | PH HEALTH LTD | PHARMOBEDIENT CONSULTING LLC | PIRAMAL CRITICAL CARE INC | REGCON HOLDINGS LLC | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | SOMERSET THERAPEUTICS LLC | UNICHEM LABORATORIES LTD | YILING PHARMACEUTICAL LTD | ZYDUS LIFESCIENCES GLOBAL FZE
DIVALPROEX SODIUM,DEPAKOTE | DEPAKOTE ER | DIVALPROEX SODIUM,Neurology,CHRONIC,"CAPSULE, DELAYED REL PELLETS;ORAL | TABLET, DELAYED RELEASE;ORAL | TABLET, EXTENDED RELEASE;ORAL",1983-03-10,2025-08-12,3,25,53,0,,,No,,,ABBVIE INC | AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS | ANNORA PHARMA PRIVATE LTD | AUROBINDO PHARMA LIMITED | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | DOCTOR REDDYS LABORATORIES LTD | DR REDDYS LABORATORIES LTD | INVATECH PHARMA SOLUTIONS LLC | LUPIN LTD | MANKIND PHARMA LTD | MYLAN PHARMACEUTICALS INC | ORBION PHARMACEUTICALS PRIVATE LTD | PRINSTON PHARMACEUTICAL INC | SCIEGEN PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | UNICHEM LABORATORIES LIMITED | UNICHEM LABORATORIES LTD | UPSHER SMITH LABORATORIES LLC | ZYDUS PHARMACEUTICALS USA INC
TIZANIDINE HYDROCHLORIDE,ONTRALFY | TIZANIDINE HYDROCHLORIDE | ZANAFLEX,Neurology,CHRONIC,CAPSULE;ORAL | SOLUTION;ORAL | TABLET;ORAL,1996-11-27,2025-08-28,3,20,50,2,2042-05-07,2042,No,,,ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | APOTEX INC | AUROBINDO PHARMA LTD | CADILA HEALTHCARE LTD | CADILA PHARMACEUTICALS LTD | DR REDDYS LABORATORIES INC | EPIC PHARMA LLC | FIDELITY BIOPHARMA CO USA | INGENUS PHARMACEUTICALS LLC | JUBILANT GENERICS LTD | LEGACY PHARMA USA INC | OXFORD PHARMACEUTICALS LLC | RISING PHARMA HOLDING INC | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | SENORES PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES INC | UNICHEM LABORATORIES LTD | ZYDUS PHARMACEUTICALS USA INC
DONEPEZIL HYDROCHLORIDE,ARICEPT | DONEPEZIL HYDROCHLORIDE,Neurology,CHRONIC,"TABLET, ORALLY DISINTEGRATING;ORAL | TABLET;ORAL",1996-11-25,2018-07-27,2,23,41,1,2026-10-04,2026,No,,,ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | CADILA PHARMACEUTICALS LTD | CHARTWELL RX SCIENCES LLC | CIPLA LTD | DEXCEL PHARMA TECHNOLOGIES LTD | DR REDDYS LABORATORIES LTD | EISAI INC | HETERO LABS LTD UNIT V | HISUN PHARMACEUTICAL HANGZHOU CO LTD | JUBILANT GENERICS LTD | MACLEODS PHARMACEUTICALS LTD | NOVITIUM PHARMA LLC | PRINSTON PHARMACEUTICAL INC | RISING PHARMA HOLDING INC | SCIEGEN PHARMACEUTICALS INC | STRIDES PHARMA GLOBAL PTE LTD | TORRENT PHARMACEUTICALS LTD | TWI PHARMACEUTICALS INC | ZYDUS LIFESCIENCES LTD | ZYDUS PHARMACEUTICALS USA INC
