Ingredient,Trade_Name(s),Applicant(s),NDA_Count,ANDA_Count,NDA_Appl_Nos,ANDA_Appl_Nos,DF_Route(s),TE_Code(s),Earliest_Approval,Latest_Approval,RLD_Count,Generic_Competitor_Count,Disease_Category,Duration_Class,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Exclusivity_Codes,Latest_Exclusivity_Date,Has_Blocking_Exclusivity
OMEPRAZOLE MAGNESIUM,OMEPRAZOLE MAGNESIUM | PRILOSEC | PRILOSEC OTC,ASTRAZENECA PHARMACEUTICALS LP | AUROBINDO PHARMA LTD | AZURITY PHARMACEUTICALS SWITZERLAND GMBH | DEXCEL PHARMA TECHNOLOGIES LTD | DR REDDYS LABORATORIES LTD | HETERO LABS LTD UNIT III | MARKSANS PHARMA LTD | P AND L DEVELOPMENT LLC,2,6,021229 | 022056,078878 | 206582 | 206877 | 211732 | 216096 | 218829,"CAPSULE, DELAYED RELEASE;ORAL | FOR SUSPENSION, DELAYED RELEASE;ORAL | TABLET, DELAYED RELEASE;ORAL",,2003-06-20,2025-08-07,3,6,GI,CHRONIC,0,,,,,No
OMEPRAZOLE; SODIUM BICARBONATE,KONVOMEP | OMEPRAZOLE AND SODIUM BICARBONATE | ZEGERID OTC,AJANTA PHARMA LTD | ANDA REPOSITORY LLC | AUROBINDO PHARMA LTD | AUROLIFE PHARMA LLC | AZURITY PHARMACEUTICALS INC | DR REDDYS LABORATORIES LTD | NOVITIUM PHARMA LLC | PERRIGO R AND D CO | RILEY CONSUMER CARE LLC DBA CARLIN CONSUMER HEALTH | SCIEGEN PHARMACEUTICALS INC | STRIDES PHARMA INTERNATIONAL AG | ZYDUS PHARMACEUTICALS USA INC | ZYDUS WORLDWIDE DMCC,3,13,022281 | 022283 | 213593,079182 | 201361 | 203290 | 203345 | 204068 | 204228 | 204922 | 204923 | 205545 | 207476 | 212587 | 217784 | 219161,CAPSULE;ORAL | FOR SUSPENSION;ORAL,AB,2009-12-01,2025-12-10,3,22,GI,CHRONIC,8,2040-03-01,2040,,,No
OMIDENEPAG ISOPROPYL,OMLONTI,OCUVEX THERAPEUTICS INC,1,0,215092,,SOLUTION;OPHTHALMIC,,2022-09-22,2022-09-22,1,0,Ophthalmology,CHRONIC,13,2039-07-16,2039,NCE,2027-09-22,Yes
ONDANSETRON,ONDANSETRON,AUROBINDO PHARMA LTD | CHARTWELL MOLECULES LLC | GLENMARK PHARMACEUTICALS LTD | IPCA LABORATORIES LTD | SANDOZ INC | SUN PHARMACEUTICAL INDUSTRIES LTD,0,6,,077406 | 077557 | 078050 | 078152 | 090469 | 209389,"TABLET, ORALLY DISINTEGRATING;ORAL",AB,2006-12-26,2023-10-30,0,14,GI,PERIODIC,0,,,,,No
ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE | ONDANSETRON HYDROCHLORIDE PRESERVATIVE FREE,ACCORD HEALTHCARE INC | AMNEAL PHARMACEUTICALS | AUROBINDO PHARMA LTD | BAXTER HEALTHCARE CORP | CHARTWELL MOLECULAR HOLDINGS LLC | CHARTWELL MOLECULES LLC | DR REDDYS LABORATORIES LTD | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | GLENMARK PHARMACEUTICALS LTD | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | IPCA LABORATORIES LTD | NATCO PHARMA LTD | PHARMACEUTICAL ASSOCIATES INC | QILU PHARMACEUTICAL HAINAN CO LTD | SANDOZ INC | WOCKHARDT BIO AG,0,29,,076183 | 076960 | 076967 | 076972 | 076974 | 077011 | 077303 | 077365 | 077430 | 077473 | 077535 | 077541 | 077548 | 077551 | 077577 | 077716 | 077851 | 078127 | 078287 | 078539 | 078776 | 079224 | 090648 | 091342 | 091483 | 202253 | 203711 | 203761 | 206846,INJECTABLE;INJECTION | SOLUTION;ORAL | TABLET;ORAL,AA | AB | AP,2006-12-26,2015-07-13,0,36,GI,PERIODIC,0,,,,,No
OPICAPONE,ONGENTYS,AMNEAL PHARMACEUTICALS LLC,1,0,212489,,CAPSULE;ORAL,,2020-04-24,2020-04-24,2,0,Other/Unclassified,OTHER,9,2032-12-12,2032,,,No
ORFORGLIPRON CALCIUM,FOUNDAYO,ELI LILLY AND CO,1,0,220934,,TABLET;ORAL,,2026-04-01,2026-04-01,6,0,Other/Unclassified,OTHER,1,2037-09-26,2037,NCE,2031-04-01,Yes
ORITAVANCIN DIPHOSPHATE,KIMYRSA | ORBACTIV,MELINTA THERAPEUTICS LLC,2,0,206334 | 214155,,POWDER;INTRAVENOUS,,2014-08-06,2021-03-12,2,0,Other/Unclassified,OTHER,4,2035-07-16,2035,,,No
ORLISTAT,ALLI | XENICAL,CHEPLAPHARM ARZNEIMITTEL GMBH | HALEON US HOLDINGS LLC,2,0,020766 | 021887,,CAPSULE;ORAL,,1999-04-23,2007-02-07,2,0,Metabolic,CHRONIC,0,,,,,No
ORPHENADRINE CITRATE,ORPHENADRINE CITRATE,HIKMA PHARMACEUTICALS USA INC | LUPIN INC | RISING PHARMA HOLDINGS INC | SAGENT PHARMACEUTICALS INC | SANDOZ INC | UNICHEM LABORATORIES LTD | WATSON LABORATORIES INC,0,8,,040249 | 040284 | 040327 | 040463 | 040484 | 084779 | 090585 | 091158,"INJECTABLE;INJECTION | TABLET, EXTENDED RELEASE;ORAL",AB | AP,1982-03-15,2012-07-27,0,8,Pain,PERIODIC,0,,,,,No
OSELTAMIVIR PHOSPHATE,OSELTAMIVIR PHOSPHATE | TAMIFLU,AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | ALVOGEN INC | AMNEAL PHARMACEUTICALS OF NEW YORK LLC | AUROBINDO PHARMA LTD | BEIJING JIALIN PHARMACEUTICAL CO LTD | EPIC PHARMA LLC | HETERO LABS LTD UNIT III | HETERO LABS LTD UNIT V | HOFFMANN LA ROCHE INC | INVAGEN PHARMACEUTICALS INC | JUBILANT GENERICS LTD | LAURUS LABS LTD | LUPIN INC | MACLEODS PHARMACEUTICALS LTD | MSN LABORATORIES PRIVATE LTD | NATCO PHARMA LTD | PHARMOBEDIENT CONSULTING LLC | SHANDONG NEW TIME PHARMACEUTICAL CO LTD | STRIDES PHARMA GLOBAL PTE LTD | SUNSHINE LAKE PHARMA CO LTD | TEVA PHARMACEUTICALS USA INC | ZHEJIANG POLY PHARM CO LTD | ZYDUS PHARMACEUTICALS USA INC,2,30,021087 | 021246,202595 | 207211 | 208347 | 208348 | 208578 | 208823 | 209093 | 209113 | 209421 | 209438 | 209590 | 211125 | 211823 | 211894 | 212544 | 212739 | 212784 | 212858 | 213594 | 213695 | 215208 | 215313 | 215538 | 217133 | 217274 | 217303 | 217467 | 218009 | 218131 | 218565,CAPSULE;ORAL | FOR SUSPENSION;ORAL,AB,1999-10-27,2025-10-02,2,61,Infectious,SHORT,0,,,,,No
OSILODROSTAT PHOSPHATE,ISTURISA,RECORDATI RARE DISEASES INC,1,0,212801,,TABLET;ORAL,,2020-03-06,2020-03-06,2,0,Metabolic,CHRONIC,6,2035-10-12,2035,ODE-286 | ODE-535,2032-04-15,No
OSIMERTINIB MESYLATE,TAGRISSO,ASTRAZENECA PHARMACEUTICALS LP,1,0,208065,,TABLET;ORAL,,2015-11-13,2015-11-13,2,0,Oncology,LONG-TERM,5,2042-11-26,2042,I-941 | I-952 | ODE-337,2027-12-18,No
OSPEMIFENE,OSPHENA,DUCHESNAY INC,1,0,203505,,TABLET;ORAL,,2013-02-26,2013-02-26,1,0,Other/Unclassified,OTHER,2,2028-07-09,2028,,,No
OTESECONAZOLE,VIVJOA,MYCOVIA PHARMACEUTICALS INC,1,0,215888,,CAPSULE;ORAL,,2022-04-26,2022-04-26,1,0,Infectious,SHORT,5,2036-03-17,2036,GAIN | NCE,2032-04-26,Yes
OXACILLIN SODIUM,BACTOCILL IN PLASTIC CONTAINER | OXACILLIN SODIUM,BAXTER HEALTHCARE CORP | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | ONESOURCE SPECIALTY PTE LTD | SAGENT PHARMACEUTICALS INC | WOCKHARDT BIO AG,1,8,050640,091245 | 091486 | 201538 | 201539 | 206198 | 206199 | 207147 | 207148,INJECTABLE;INJECTION,AP,1989-10-26,2020-07-27,2,11,Infectious,SHORT,0,,,,,No
OXALIPLATIN,OXALIPLATIN,ACCORD HEALTHCARE INC | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | HETERO LABS LTD UNIT VI | HOSPIRA WORLDWIDE PTY | MEITHEAL PHARMACEUTICALS INC | MYLAN LABORATORIES LTD | QILU PHARMACEUTICAL HAINAN CO LTD | SANDOZ INC | SHANDONG NEW TIME PHARMACEUTICAL CO LTD,0,13,,078811 | 078813 | 078817 | 078819 | 091358 | 204368 | 204616 | 207325 | 207385 | 207474 | 217348 | 217925 | 219765,INJECTABLE;INTRAVENOUS,AP,2009-08-07,2026-01-15,0,27,Oncology,SHORT,0,,,,,No
OXAPROZIN,COXANTO | DAYPRO | OXAPROZIN,AMNEAL PHARMACEUTICALS CO GMBH | CHARTWELL LIFE MOLECULES LLC | DR REDDYS LABORATORIES LTD | PANGEA PHARMACEUTICALS LLC | PFIZER INC | SOLUBIOMIX LLC,2,4,018841 | 217927,075845 | 075855 | 075987 | 208633,CAPSULE;ORAL | TABLET;ORAL,AB,1992-10-29,2023-10-20,2,4,Pain,PERIODIC,0,,,,,No
OXAZEPAM,OXAZEPAM,ACTAVIS ELIZABETH LLC | EPIC PHARMA LLC | LEADING PHARMA LLC | TP ANDA HOLDINGS LLC,0,4,,071026 | 071756 | 072253 | 218261,CAPSULE;ORAL,AB,1987-08-10,2025-03-03,0,12,Psychiatric,PERIODIC,0,,,,,No
OXCARBAZEPINE,OXCARBAZEPINE | OXTELLAR XR | TRILEPTAL,AJANTA PHARMA LTD | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS | ANI PHARMACEUTICALS INC | ANNORA PHARMA PRIVATE LTD | APOTEX INC | AUCTA PHARMACEUTICALS INC | BIOCON PHARMA INC | BIONPHARMA INC | BRECKENRIDGE PHARMACEUTICAL INC | CHARTWELL RX SCIENCES LLC | EPIC PHARMA LLC | GLENMARK PHARMACEUTICALS LTD | HETERO LABS LTD UNIT III | KANCHAN HEALTHCARE INC | MACLEODS PHARMACEUTICALS LTD | MSN LABORATORIES PRIVATE LTD | NOVARTIS PHARMACEUTICALS CORP | RICONPHARMA LLC | RUBICON RESEARCH LTD | STERANCO HEALTHCARE PVT LTD | SUN PHARMACEUTICAL INDUSTRIES LTD | SUPERNUS PHARMACEUTICALS INC | TARO PHARMACEUTICAL INDUSTRIES LTD | UMEDICA LABORATORIES PVT LTD,3,26,021014 | 021285 | 202810,077747 | 077794 | 077801 | 077802 | 078005 | 078069 | 078734 | 202961 | 207300 | 207717 | 209020 | 209652 | 212428 | 213183 | 213369 | 215332 | 215726 | 215796 | 215939 | 216749 | 217659 | 217782 | 218278 | 218341 | 219556 | 220281,"SUSPENSION;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",AB,2000-01-14,2026-05-29,7,52,Psychiatric,CHRONIC,11,2027-04-13,2027,,,No
OXICONAZOLE NITRATE,OXICONAZOLE NITRATE | OXISTAT,FOUGERA PHARMACEUTICALS INC | SUN PHARMA CANADA INC,1,1,019828,205076,CREAM;TOPICAL,AB,1988-12-30,2016-03-07,1,1,Infectious,SHORT,0,,,,,No
OXYBUTYNIN,OXYTROL | OXYTROL FOR WOMEN,ABBVIE | ALLERGAN SALES LLC,2,0,021351 | 202211,,"FILM, EXTENDED RELEASE;TRANSDERMAL",,2003-02-26,2013-01-25,2,0,Neurology,CHRONIC,0,,,,,No
OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,ABHAI LLC | ACCORD HEALTHCARE INC | AIPING PHARMACEUTICAL INC | AJANTA PHARMA LTD | AMNEAL PHARMACEUTICALS | AVET LIFESCIENCES LTD | BIONPHARMA INC | CHARTWELL RX SCIENCES LLC | LANNETT CO INC | LEADING PHARMA LLC | NOVAST LABORATORIES LTD | NOVITIUM PHARMA LLC | OSMOTICA PHARMACEUTICAL US LLC | REGCON HOLDINGS LLC | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | STRIDES PHARMA GLOBAL PTE LTD | STRIDES PHARMA INTERNATIONAL AG | TEVA PHARMACEUTICALS USA INC | TP ANDA HOLDINGS LLC | UNIQUE PHARMACEUTICAL LABORATORIES A DIV OF JB CHEMICALS AND PHARMACEUTICALS LTD | ZYDUS PHARMACEUTICALS USA INC,0,22,,071655 | 074520 | 074625 | 075039 | 075079 | 078503 | 202332 | 204010 | 206121 | 207138 | 208165 | 209025 | 209335 | 209823 | 210125 | 210611 | 210717 | 211655 | 211682 | 212798 | 213550 | 214415,"SYRUP;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",AA | AB,1988-11-14,2026-03-10,0,40,Neurology,CHRONIC,0,,,,,No
OXYCODONE,XTAMPZA ER,COLLEGIUM PHARMACEUTICAL INC,1,0,208090,,"CAPSULE, EXTENDED RELEASE;ORAL",,2016-04-26,2016-04-26,5,0,Pain,CHRONIC,8,2036-09-02,2036,,,No
OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE | OXYCONTIN | ROXICODONE | ROXYBOND,ABHAI LLC | ALKEM LABORATORIES LTD | ALVOGEN INC | AMNEAL PHARMACEUTICALS | ANI PHARMACEUTICALS INC | ASCENT PHARMACEUTICALS INC | AUROLIFE PHARMA LLC | AVANTHI INC | EPIC PHARMA LLC | GENUS LIFE SCIENCES INC | HIBROW HEALTHCARE PRIVATE LTD | HIKMA PHARMACEUTICALS USA INC | KNOA PHARMA LLC | NOVEL LABORATORIES INC | NUVO PHARMACEUTICAL INC | PHARMACEUTICAL ASSOCIATES INC | PROTEGA PHARMACEUTICALS INC | QUAGEN PHARMACEUTICALS LLC | RHODES PHARMACEUTICALS LP | SPECGX LLC | STRIDES PHARMA INTERNATIONAL AG,5,25,021011 | 022272 | 200534 | 200535 | 209777,076758 | 077712 | 090895 | 091393 | 091490 | 202116 | 202160 | 202662 | 202773 | 203638 | 204037 | 204752 | 204979 | 205177 | 206914 | 207119 | 207418 | 207511 | 208593 | 209021 | 209897 | 210758 | 211748 | 211749 | 213761,"CAPSULE;ORAL | SOLUTION;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",AA | AB,2000-08-31,2025-11-14,13,67,Pain,CHRONIC,17,2030-03-29,2030,,,No
OXYMETAZOLINE HYDROCHLORIDE,OXYMETAZOLINE HYDROCHLORIDE | RHOFADE | UPNEEQ | VISINE L.R.,KENVUE BRANDS LLC | MAYNE PHARMA LLC | RVL PHARMACEUTICALS INC | SUN PHARMA CANADA INC,3,1,019407 | 208552 | 212520,213584,CREAM;TOPICAL | SOLUTION/DROPS;OPHTHALMIC,AB,1989-03-31,2021-10-04,3,1,Other/Unclassified,OTHER,20,2039-12-16,2039,,,No
OXYMETAZOLINE HYDROCHLORIDE; TETRACAINE HYDROCHLORIDE,KOVANAZE,ST RENATUS LLC,1,0,208032,,"SPRAY, METERED;NASAL",,2016-06-29,2016-06-29,1,0,Other/Unclassified,OTHER,2,2030-04-02,2030,,,No
OXYMORPHONE HYDROCHLORIDE,OXYMORPHONE HYDROCHLORIDE,ASCENT PHARMACEUTICALS INC | AUROLIFE PHARMA LLC | AVANTHI INC | EPIC PHARMA LLC | HIKMA PHARMACEUTICALS USA INC | IMPAX LABORATORIES INC | TEVA PHARMACEUTICALS USA INC,0,7,,079087 | 090964 | 091443 | 201187 | 203601 | 204459 | 210175,"TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",AB,2010-06-14,2018-02-02,0,19,Pain,CHRONIC,0,,,,,No
OXYTOCIN,OXYTOCIN | PITOCIN,FRESENIUS KABI USA LLC | HIKMA FARMACEUTICA PORTUGAL SA | HIKMA PHARMACEUTICALS USA INC | PH HEALTH LTD | SAGENT PHARMACEUTICALS INC,3,2,018243 | 018248 | 018261,091676 | 200219,INJECTABLE;INJECTION,AP,2007-01-10,2018-07-13,8,3,Metabolic,SHORT,0,,,,,No
