Ingredient,Trade_Name(s),Applicant(s),NDA_Count,ANDA_Count,NDA_Appl_Nos,ANDA_Appl_Nos,DF_Route(s),TE_Code(s),Earliest_Approval,Latest_Approval,RLD_Count,Generic_Competitor_Count,Disease_Category,Duration_Class,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Exclusivity_Codes,Latest_Exclusivity_Date,Has_Blocking_Exclusivity
ABACAVIR SULFATE,ABACAVIR SULFATE | ZIAGEN,AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | CIPLA LTD | HETERO LABS LTD UNIT III | MYLAN PHARMACEUTICALS INC | VIIV HEALTHCARE CO,1,7,020978,077844 | 077950 | 078119 | 091050 | 091294 | 091560 | 201107,SOLUTION;ORAL | TABLET;ORAL,AA | AB,1998-12-17,2018-03-14,1,7,Other/Unclassified,OTHER,0,,,,,No
ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,TRIUMEQ | TRIUMEQ PD,VIIV HEALTHCARE CO,2,0,205551 | 215413,,"TABLET, FOR SUSPENSION;ORAL | TABLET;ORAL",,2014-08-22,2022-03-30,2,0,Infectious,CHRONIC,4,2030-06-08,2030,PED,2026-12-15,Yes
ABACAVIR SULFATE; LAMIVUDINE,ABACAVIR SULFATE AND LAMIVUDINE,AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | CIPLA LTD | HETERO LABS LTD UNIT V | LAURUS LABS LTD,0,5,,090159 | 091144 | 204990 | 205412 | 216332,TABLET;ORAL,AB,2017-03-28,2025-04-16,0,5,Infectious,CHRONIC,0,,,,,No
ABALOPARATIDE,TYMLOS,RADIUS HEALTH INC,1,0,208743,,SOLUTION;SUBCUTANEOUS,,2017-04-28,2017-04-28,1,0,Metabolic,CHRONIC,9,2040-01-10,2040,,,No
ABEMACICLIB,VERZENIO,ELI LILLY AND CO,1,0,208716,,TABLET;ORAL,,2017-09-28,2017-09-28,4,0,Oncology,LONG-TERM,1,2031-09-28,2031,,,No
ABIRATERONE ACETATE,ABIRATERONE ACETATE | YONSA | ZYTIGA,AMNEAL PHARMACEUTICALS OF NEW YORK LLC | APOTEX INC | DR REDDYS LABORATORIES LTD | FLORIDA PHARMACEUTICAL PRODUCTS LLC | GLENMARK SPECIALTY SA | HIKMA PHARMACEUTICALS LLC | JANSSEN BIOTECH INC | MSN LABORATORIES PRIVATE LTD | MYLAN PHARMACEUTICALS INC | NOVUGEN ONCOLOGY SDN BHD | QILU PHARMACEUTICAL CO LTD | RISING PHARMA HOLDINGS INC | SUN PHARMACEUTICAL INDUSTRIES LTD | WOCKHARDT BIO AG,2,12,202379 | 210308,208327 | 208339 | 208371 | 208380 | 208416 | 208446 | 208453 | 209227 | 210686 | 212462 | 215086 | 215947,TABLET;ORAL,AB,2011-04-28,2024-04-24,3,19,Oncology,LONG-TERM,2,2034-05-20,2034,,,No
ABIRATERONE ACETATE; NIRAPARIB TOSYLATE,AKEEGA,JANSSEN BIOTECH INC,1,0,216793,,TABLET;ORAL,,2023-08-11,2023-08-11,2,0,Oncology,LONG-TERM,13,2038-03-27,2038,I-980 | NP,2028-12-12,No
ABROCITINIB,CIBINQO,PFIZER INC,1,0,213871,,TABLET;ORAL,,2022-01-14,2022-01-14,3,0,Oncology,LONG-TERM,3,2036-01-14,2036,NCE,2027-01-14,Yes
ACALABRUTINIB,CALQUENCE,ASTRAZENECA UK LTD,1,0,210259,,CAPSULE;ORAL,,2017-10-31,2017-10-31,1,0,Oncology,LONG-TERM,9,2036-07-01,2036,D-200 | I-960 | ODE-274,2029-02-19,No
ACALABRUTINIB MALEATE,CALQUENCE,ASTRAZENECA UK LTD,1,0,216387,,TABLET;ORAL,,2022-08-03,2022-08-03,1,0,Oncology,LONG-TERM,8,2036-07-01,2036,D-200 | I-960,2029-02-19,No
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,APPCO PHARMA LLC | BIONPHARMA INC | GLENMARK PHARMACEUTICALS LTD | MYLAN PHARMACEUTICALS INC | ZYDUS PHARMACEUTICALS USA INC,0,5,,200142 | 202229 | 205995 | 218984 | 219904,"TABLET, DELAYED RELEASE;ORAL",AB,2013-07-16,2026-03-16,0,5,Other/Unclassified,OTHER,0,,,,,No
ACARBOSE,ACARBOSE,AVET LIFESCIENCES LTD | HIKMA PHARMACEUTICALS USA INC | IMPAX LABORATORIES INC | SOMERSET THERAPEUTICS LLC | STRIDES PHARMA GLOBAL PTE LTD | WATSON LABORATORIES INC,0,6,,077532 | 078441 | 078470 | 090912 | 091343 | 202271,TABLET;ORAL,AB,2008-05-07,2013-10-17,0,18,Metabolic,CHRONIC,0,,,,,No
ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL HYDROCHLORIDE,AMNEAL PHARMACEUTICAL | ANI PHARMACEUTICALS INC,0,2,,074007 | 075047,CAPSULE;ORAL,AB,1995-10-18,1999-12-30,0,4,Cardiovascular,CHRONIC,0,,,,,No
ACECLIDINE HYDROCHLORIDE,VIZZ,LENZ THERAPEUTICS INC,1,0,218585,,SOLUTION/DROPS;OPHTHALMIC,,2025-07-31,2025-07-31,1,0,Other/Unclassified,OTHER,6,2044-03-15,2044,NCE,2030-07-31,Yes
ACETAMINOPHEN,ACETAMINOPHEN | INFANTS' FEVERALL | TYLENOL,APOTEX INC | ASPIRO PHARMA LTD | AUROBINDO PHARMA LTD | B BRAUN MEDICAL INC | BAXTER HEALTHCARE CORP | CAPLIN STERILES LTD | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | GRANULES INDIA LTD | HIKMA PHARMACEUTICALS USA INC | INFORLIFE SA | KENVUE BRANDS LLC | L PERRIGO CO | MARKSANS PHARMA LTD | MYLAN PHARMACEUTICALS INC | OHM LABORATORIES INC | PERRIGO NEW YORK INC | SANDOZ INC | TARO PHARMACEUTICAL INDUSTRIES LTD,5,17,018337 | 019872 | 204767 | 204957 | 206968,070607 | 070608 | 075077 | 076200 | 202605 | 204052 | 205746 | 207229 | 210969 | 211544 | 213255 | 214331 | 215403 | 215486 | 216617 | 219096 | 219215,"SOLUTION;INTRAVENOUS | SUPPOSITORY;RECTAL | TABLET, EXTENDED RELEASE;ORAL",AP | AP1 | AP2,1983-09-12,2025-12-05,8,19,Pain,PERIODIC,1,2030-04-19,2030,,,No
ACETAMINOPHEN; ASPIRIN; CAFFEINE,"ACETAMINOPHEN, ASPIRIN AND CAFFEINE | EXCEDRIN (MIGRAINE RELIEF)",AUROBINDO PHARMA LTD | GRANULES INDIA LTD | HALEON US HOLDINGS LLC | L PERRIGO CO,1,3,020802,075794 | 211695 | 214039,TABLET;ORAL,,1998-01-14,2022-02-02,1,3,Pain,PERIODIC,0,,,,,No
ACETAMINOPHEN; BUTALBITAL,ALLZITAL | BUTALBITAL AND ACETAMINOPHEN | BUTAPAP,ANDA REPOSITORY LLC | DR REDDYS LABORATORIES SA | GRANULES PHARMACEUTICALS INC | LGM PHARMA SOLUTIONS LLC | MIKART LLC | NE RX PHARMA LLC | PHARMOBEDIENT CONSULTING LLC | QUAGEN PHARMACEUTICALS LLC | SENORES PHARMACEUTICALS INC,0,10,,089987 | 090956 | 203484 | 207313 | 207386 | 213115 | 214088 | 214291 | 214305 | 214955,CAPSULE;ORAL | TABLET;ORAL,AA,1992-10-26,2024-02-01,0,13,Pain,PERIODIC,0,,,,,No
ACETAMINOPHEN; BUTALBITAL; CAFFEINE,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ABHAI LLC | ACTAVIS LABORATORIES UT INC | AUROLIFE PHARMA LLC | DR REDDYS LABORATORIES SA | GENUS LIFESCIENCES INC | GRANULES PHARMACEUTICALS INC | INGENUS PHARMACEUTICALS LLC | LANNETT CO INC | LGM PHARMA SOLUTIONS LLC | MIKART LLC | NUVO PHAMACEUTICALS INC | QUAGEN PHARMACEUTICALS LLC | SENORES PHARMACEUTICALS INC | STRIDES PHARMA INTERNATIONAL AG | TARO PHARMACEUTICAL INDUSTRIES LTD,0,22,,040387 | 040511 | 040864 | 040885 | 088616 | 089007 | 089175 | 200243 | 204733 | 207118 | 209587 | 210817 | 211106 | 212082 | 212083 | 213046 | 213321 | 214087 | 214287 | 214288 | 215047 | 216376,CAPSULE;ORAL | SOLUTION;ORAL | TABLET;ORAL,AA,1984-11-09,2024-03-12,1,23,Pain,PERIODIC,0,,,,,No
ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE | FIORICET W/ CODEINE",ACTAVIS LABORATORIES UT INC | HIKMA PHARMACEUTICALS USA INC | LGM PHARMA SOLUTIONS LLC,1,2,020232,076560 | 215138,CAPSULE;ORAL,AB,1992-07-30,2022-01-26,1,4,Pain,PERIODIC,0,,,,,No
ACETAMINOPHEN; CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,AMNEAL PHARMACEUTICALS NY LLC | AUROLIFE PHARMA LLC | ELITE LABORATORIES INC | GENUS LIFE SCIENCES INC | HIBROW HEALTHCARE PRIVATE LTD | SPECGX LLC | STRIDES PHARMA INTERNATIONAL AG | SUN PHARMACEUTICAL INDUSTRIES LTD,0,10,,040419 | 040779 | 087083 | 087508 | 089805 | 089828 | 089990 | 202800 | 211610 | 212418,SOLUTION;ORAL | TABLET;ORAL,AA,1988-09-30,2019-09-10,0,18,Pain,PERIODIC,0,,,,,No
ACETAMINOPHEN; HYDROCODONE BITARTRATE,ANEXSIA 5/325 | ANEXSIA 7.5/325 | HYDROCODONE BITARTRATE AND ACETAMINOPHEN,ABHAI LLC | AMNEAL PHARMACEUTICALS NY LLC | ASCENT PHARMACEUTICALS INC | AUROLIFE PHARMA LLC | ELITE LABORATORIES INC | EPIC PHARMA LLC | GENUS LIFESCIENCES INC | GRANULES PHARMACEUTICALS INC | HIBROW HEALTHCARE PRIVATE LTD | LANNETT CO INC | MIKART LLC | PHARMACEUTICAL ASSOC INC | PHARMACEUTICAL ASSOCIATES INC | RHODES PHARMACEUTICALS LP | SPECGX LLC | STRIDES PHARMA INTERNATIONAL AG | TRIS PHARMA INC | WES PHARMA INC,0,26,,040400 | 040405 | 040409 | 040736 | 040746 | 040834 | 040838 | 040881 | 040894 | 201013 | 202214 | 202935 | 202991 | 203863 | 206718 | 207171 | 207172 | 207509 | 207709 | 209036 | 209037 | 209924 | 210211 | 211023 | 211487 | 211729,SOLUTION;ORAL | TABLET;ORAL,AA,2000-07-26,2020-01-03,0,64,Pain,PERIODIC,0,,,,,No
ACETAMINOPHEN; IBUPROFEN,ACETAMINOPHEN AND IBUPROFEN | ADVIL DUAL ACTION WITH ACETAMINOPHEN | COMBOGESIC,AFT PHARMACEUTICALS US INC | AUROBINDO PHARMA LTD | BIONPHARMA INC | DR REDDYS LABORATORIES LTD | GLENMARK PHARMACEUTICALS LTD | GRANULES PHARMACEUTICALS INC | HALEON US HOLDINGS LLC | L PERRIGO CO | LNK INTERNATIONAL INC | MARKSANS PHARMA LTD | TARO PHARMACEUTICAL INDUSTRIES LTD,2,9,209471 | 211733,214836 | 216592 | 216994 | 216999 | 218247 | 218311 | 218359 | 219053 | 220126,TABLET;ORAL,,2020-02-28,2026-01-02,2,9,Pain,PERIODIC,3,2041-07-09,2041,,,No
ACETAMINOPHEN; IBUPROFEN SODIUM,COMBOGESIC IV,HIKMA PHARMACEUTICALS USA INC,1,0,215320,,SOLUTION;INTRAVENOUS,,2023-10-17,2023-10-17,1,0,Pain,PERIODIC,6,2036-01-14,2036,NP,2026-10-17,No
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,OXYCET | OXYCODONE AND ACETAMINOPHEN | PERCOCET,ABHAI LLC | ACTAVIS ELIZABETH LLC | ALVOGEN INC | AMNEAL PHARMACEUTICALS NY LLC | AMNEAL PHARMACEUTICALS OF NEW YORK LLC | ASCENT PHARMACEUTICALS INC | AUROLIFE PHARMA LLC | ELITE LABORATORIES INC | EPIC PHARMA LLC | GRANULES PHARMACEUTICALS INC | LANNETT CO INC | MIKART LLC | NOVEL LABORATORIES INC | OZANTRI LTD | RHODES PHARMACEUTICALS LP | SPECGX LLC | WES PHARMA INC,0,20,,040330 | 040545 | 040608 | 040777 | 040778 | 087463 | 201278 | 201447 | 201972 | 202142 | 202677 | 203864 | 204407 | 207333 | 207419 | 207510 | 209385 | 210644 | 211499 | 211708,SOLUTION;ORAL | TABLET;ORAL,AA,1983-12-07,2019-10-31,0,57,Pain,PERIODIC,0,,,,,No
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS | AUROBINDO PHARMA LTD | MICRO LABS LTD INDIA | RISING PHARMA HOLDING INC | ZYDUS PHARMACEUTICALS USA INC,0,6,,077858 | 090460 | 090485 | 201952 | 202076 | 207152,TABLET;ORAL,AB,2008-09-26,2017-03-22,0,6,Pain,PERIODIC,0,,,,,No
ACETAZOLAMIDE,ACETAZOLAMIDE,ACCORD HEALTHCARE INC | ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | CADILA HEALTHCARE LTD | CHARTWELL MOLECULAR HOLDINGS LLC | EPIC PHARMA LLC | HERITAGE PHARMA LABS INC | HIBROW HEALTHCARE PRIVATE LTD | INDICUS PHARMA LLC | MANKIND PHARMA LTD | MICRO LABS LTD INDIA | MPP PHARMA LLC | NE RX PHARMA LLC | NOVAST LABORATORIES LTD | NOVITIUM PHARMA LLC | RUBICON RESEARCH LTD | SOMERSET THERAPEUTICS LLC | STRIDES PHARMA GLOBAL PTE LTD | TARO PHARMACEUTICAL INDUSTRIES LTD | ZYDUS LIFESCIENCES GLOBAL FZE,0,21,,040195 | 040904 | 084840 | 090779 | 203434 | 204691 | 205301 | 205530 | 207401 | 207659 | 209734 | 210423 | 210588 | 211069 | 211372 | 211556 | 212089 | 214282 | 215101 | 217197 | 218023,"CAPSULE, EXTENDED RELEASE;ORAL | TABLET;ORAL",AB,1997-05-28,2025-05-30,0,33,Neurology,CHRONIC,0,,,,,No
ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,AVET LIFESCIENCES LTD | GLAND PHARMA LTD | HIKMA PHARMACEUTICALS USA INC | MYLAN ASI LLC | XGEN PHARMACEUTICALS DJB INC | ZYDUS PHARMACEUTICALS USA INC,0,6,,040089 | 040784 | 200880 | 202693 | 206533 | 219775,INJECTABLE;INJECTION,AP,1995-02-28,2025-06-17,0,6,Neurology,CHRONIC,0,,,,,No
"ACETIC ACID, GLACIAL",ACETIC ACID | ACETIC ACID 0.25% IN PLASTIC CONTAINER,B BRAUN MEDICAL INC | BAXTER HEALTHCARE CORP | OTSUKA ICU MEDICAL LLC | RISING PHARMA HOLDINGS INC | SCIEGEN PHARMACEUTICALS INC,3,2,017656 | 018161 | 018523,040607 | 207280,"SOLUTION/DROPS;OTIC | SOLUTION;IRRIGATION, URETHRAL",AT,1982-02-19,2018-03-09,1,2,Other/Unclassified,OTHER,0,,,,,No
"ACETIC ACID, GLACIAL; HYDROCORTISONE",HYDROCORTISONE AND ACETIC ACID | VOSOL HC,COSETTE PHARMACEUTICALS NC LABORATORIES LLC | SAPTALIS PHARMACEUTICALS LLC | TARO PHARMACEUTICAL INDUSTRIES LTD,1,2,012770,040609 | 088759,SOLUTION/DROPS;OTIC,AT,1985-03-04,2006-02-06,2,2,Autoimmune,PERIODIC,0,,,,,No
ACETOHYDROXAMIC ACID,LITHOSTAT,MISSION PHARMACAL CO,1,0,018749,,TABLET;ORAL,,1983-05-31,1983-05-31,1,0,Other/Unclassified,OTHER,0,,,,,No
ACETYLCHOLINE CHLORIDE,MIOCHOL-E,BAUSCH AND LOMB INC,1,0,020213,,FOR SOLUTION;OPHTHALMIC,,1993-09-22,1993-09-22,1,0,Other/Unclassified,OTHER,0,,,,,No
ACETYLCYSTEINE,ACETADOTE | ACETYLCYSTEINE,ALVOGEN INC | AMERICAN REGENT INC | CONBA USA INC | CUMBERLAND PHARMACEUTICALS INC | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | GLENMARK PHARMACEUTICALS INC USA | HOSPIRA INC | ONESOURCE SPECIALTY PTE LTD | REGCON HOLDINGS LLC | RISING PHARMA HOLDINGS INC | SAGENT PHARMACEUTICALS INC | SOMERSET THERAPEUTICS LLC | ZYDUS PHARMACEUTICALS USA INC,1,17,021539,072489 | 072547 | 073664 | 074037 | 091684 | 200644 | 203173 | 203853 | 204674 | 207358 | 208166 | 213693 | 214177 | 215620 | 217182 | 218397 | 219194,"INJECTABLE;INTRAVENOUS | SOLUTION;INHALATION, ORAL",AN | AP,1994-08-30,2025-03-14,1,19,Respiratory,PERIODIC,3,2032-04-06,2032,D-196,2027-11-26,No
ACITRETIN,ACITRETIN,ALEMBIC PHARMACEUTICALS LTD | BARR LABORATORIES INC | IMPAX LABORATORIES INC | MYLAN PHARMACEUTICALS INC | SIGMAPHARM LABORATORIES LLC | TEVA PHARMACEUTICALS USA,0,6,,091455 | 202148 | 202552 | 202897 | 204633 | 217774,CAPSULE;ORAL,AB,2013-04-04,2024-08-05,0,17,Dermatology,CHRONIC,0,,,,,No
ACLIDINIUM BROMIDE,TUDORZA PRESSAIR,AZURITY PHARMACEUTICALS SWITZERLAND GMBH,1,0,202450,,"POWDER, METERED;INHALATION",,2012-07-23,2012-07-23,1,0,Respiratory,CHRONIC,2,2029-03-13,2029,,,No
ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,DUAKLIR PRESSAIR,AZURITY PHARMACEUTICALS SWITZERLAND GMBH,1,0,210595,,"POWDER, METERED;INHALATION",,2019-03-29,2019-03-29,1,0,Respiratory,CHRONIC,2,2029-03-13,2029,,,No
ACOLTREMON,TRYPTYR,ALCON LABORATORIES INC,1,0,217370,,SOLUTION/DROPS;OPHTHALMIC,,2025-05-28,2025-05-28,1,0,Other/Unclassified,OTHER,5,2042-12-16,2042,NCE,2030-05-28,Yes
ACORAMIDIS HYDROCHLORIDE,ATTRUBY,BRIDGEBIO PHARMA INC,1,0,216540,,TABLET;ORAL,,2024-11-22,2024-11-22,1,0,Other/Unclassified,OTHER,13,2039-08-16,2039,NCE | ODE-506,2031-11-22,Yes
ACYCLOVIR,ACYCLOVIR | ZOVIRAX,ACTAVIS MID ATLANTIC LLC | ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS | AMNEAL PHARMACEUTICALS LLC | APOTEX INC | AUROBINDO PHARMA LTD | AUROBINDO PHARMA USA INC | BAUSCH HEALTH US LLC | CADILA HEALTHCARE LTD | CADILA PHARMACEUTICALS LTD | CARLSBAD TECHNOLOGY INC | CHARTWELL RX SCIENCES LLC | FOUGERA PHARMACEUTICALS INC | GLENMARK SPECIALTY SA | HERITAGE PHARMACEUTICALS INC DBA AVET PHARMACEUTICALS INC | HETERO LABS LTD UNIT III | HETERO LABS LTD UNIT V | MACLEODS PHARMACEUTICALS LTD | MSN LABORATORIES PRIVATE LTD | NOVITIUM PHARMA LLC | PADAGIS ISRAEL PHARMACEUTICALS LTD | PHARMOBEDIENT CONSULTING LLC | REGCON HOLDINGS LLC | RUBICON RESEARCH LTD | SQUARE PHARMACEUTICALS LTD | SUN PHARMA CANADA INC | TEVA PHARMACEUTICALS USA INC | TORRENT PHARMACEUTICALS LTD | XIROMED PHARMA ESPANA SL | YILING PHARMACEUTICAL LTD | ZYDUS LIFESCIENCES LTD | ZYDUS PHARMACEUTICALS USA INC,2,41,018604 | 021478,074556 | 074578 | 074738 | 074889 | 074891 | 075090 | 075211 | 075382 | 075677 | 077309 | 201445 | 201501 | 202168 | 202459 | 203834 | 204313 | 204314 | 204605 | 205469 | 205470 | 205510 | 205974 | 206261 | 206633 | 206770 | 208702 | 208766 | 209000 | 209366 | 209971 | 210401 | 212173 | 212252 | 212361 | 212444 | 212495 | 212718 | 215669 | 215724 | 216331 | 217393,CAPSULE;ORAL | CREAM;TOPICAL | OINTMENT;TOPICAL | SUSPENSION;ORAL | TABLET;ORAL,AB | BX,1982-03-29,2024-06-12,2,51,Infectious,PERIODIC,0,,,,,No
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | SLATE RUN PHARMACEUTICALS LLC | ZYDUS PHARMACEUTICALS USA INC,0,5,,074930 | 203701 | 206535 | 215404 | 218111,INJECTABLE;INJECTION,AP,1998-05-13,2024-06-25,0,5,Infectious,PERIODIC,0,,,,,No
ACYCLOVIR; HYDROCORTISONE,XERESE,BAUSCH HEALTH US LLC,1,0,022436,,CREAM;TOPICAL,,2009-07-31,2009-07-31,1,0,Infectious,PERIODIC,0,,,,,No
ADAGRASIB,KRAZATI,BRISTOL MYERS SQUIBB CO,1,0,216340,,TABLET;ORAL,,2022-12-12,2022-12-12,1,0,Other/Unclassified,OTHER,4,2043-08-21,2043,NCE | ODE-352,2029-12-12,Yes
ADAPALENE,ADAPALENE | DIFFERIN,ACTAVIS MID ATLANTIC LLC | ALEMBIC PHARMACEUTICALS LTD | ENCUBE ETHICALS PVT LTD | FOUGERA PHARMACEUTICALS INC | GALDERMA LABORATORIES LP | GLENMARK PHARMACEUTICALS INC USA | P AND L DEVELOPMENT LLC | SUN PHARMA CANADA INC | WAYLIS THERAPEUTICS LLC,3,10,020380 | 020748 | 021753,090824 | 090962 | 091314 | 200298 | 201000 | 203981 | 204593 | 208322 | 213508 | 215940,CREAM;TOPICAL | GEL;TOPICAL | SOLUTION;TOPICAL,AB,2000-05-26,2022-01-14,3,10,Dermatology,CHRONIC,0,,,,,No
ADAPALENE; BENZOYL PEROXIDE,ADAPALENE AND BENZOYL PEROXIDE | DIFFERIN EPIDUO | EPIDUO | EPIDUO FORTE,ACTAVIS LABORATORIES UT INC INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC | ALEMBIC PHARMACEUTICALS LTD | ENCUBE ETHICALS PRIVATE LTD | GALDERMA LABORATORIES INC | GALDERMA LABORATORIES LP | GLENMARK PHARMACEUTICALS LTD | PADAGIS ISRAEL PHARMACEUTICALS LTD | SUN PHARMA CANADA INC | ZYDUS PHARMACEUTICALS USA INC,3,9,022320 | 207917 | 220736,205033 | 206164 | 206959 | 208108 | 209148 | 209641 | 212464 | 214185 | 214553,GEL;TOPICAL,AB,2008-12-08,2026-05-22,3,9,Dermatology,CHRONIC,3,2027-07-18,2027,,,No
ADAPALENE; BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,CABTREO,BAUSCH HEALTH US LLC,1,0,216632,,GEL;TOPICAL,,2023-10-20,2023-10-20,1,0,Dermatology,CHRONIC,9,2040-12-28,2040,NP,2026-10-20,No
ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,APOTEX INC | SIGMAPHARM LABORATORIES LLC,0,2,,202051 | 205459,TABLET;ORAL,AB,2013-08-29,2018-07-06,0,2,Infectious,CHRONIC,0,,,,,No
ADENOSINE,ADENOSINE,AVET LIFESCIENCES LTD | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | HIKMA PHARMACEUTICALS USA INC | MEITHEAL PHARMACEUTICALS INC | MYLAN ASI LLC | MYLAN LABORATORIES LTD | RISING PHARMA HOLDINGS INC,0,14,,076404 | 076500 | 077133 | 077283 | 077425 | 077897 | 078076 | 078686 | 090212 | 090450 | 202313 | 205331 | 205568 | 206778,INJECTABLE;INJECTION | SOLUTION;INTRAVENOUS,AP,2004-06-16,2018-04-16,0,20,Cardiovascular,SHORT,0,,,,,No
AFAMELANOTIDE,SCENESSE,CLINUVEL INC,1,0,210797,,IMPLANT;SUBCUTANEOUS,,2019-10-08,2019-10-08,1,0,Other/Unclassified,OTHER,1,2033-01-20,2033,ODE-270,2026-10-08,No
AFATINIB DIMALEATE,GILOTRIF,BOEHRINGER INGELHEIM,1,0,201292,,TABLET;ORAL,,2013-07-12,2013-07-12,3,0,Oncology,LONG-TERM,10,2031-01-05,2031,,,No
AFICAMTEN,MYQORZO,CYTOKINETICS INC,1,0,219083,,TABLET;ORAL,,2025-12-19,2025-12-19,4,0,Other/Unclassified,OTHER,2,2042-07-15,2042,NCE,2030-12-19,Yes
AIR POLYMER-TYPE A,EXEM FOAM KIT,GISKIT PHARMA BV,1,0,212279,,FOAM;INTRAUTERINE,,2019-11-07,2019-11-07,1,0,Other/Unclassified,OTHER,3,2036-02-11,2036,,,No
ALBENDAZOLE,ALBENDAZOLE,ACTAVIS ELIZABETH LLC | ALEMBIC PHARMACEUTICALS LTD | DR REDDYS LABORATORIES LTD | EDENBRIDGE PHARMACEUTICALS LLC | MSN LABORATORIES PRIVATE LTD | ZYDUS PHARMACEUTICALS USA INC,0,6,,208094 | 208979 | 211034 | 211117 | 213435 | 215652,TABLET;ORAL,AB,2018-12-14,2024-09-04,0,6,Infectious,SHORT,0,,,,,No
ALBUMIN HUMAN,OPTISON,GE HEALTHCARE,1,0,020899,,INJECTABLE;INJECTION,,1997-12-31,1997-12-31,1,0,Other/Unclassified,OTHER,0,,,NPP,2028-05-09,No
ALBUTEROL SULFATE,ALBUTEROL SULFATE | PROAIR HFA | PROAIR RESPICLICK | PROVENTIL-HFA | VENTOLIN HFA,ACERTIS PHARMACEUTICALS LLC | AIZANT DRUG RESEARCH SOLUTIONS PRIVATE LTD | AMNEAL IRELAND LTD | AMNEAL PHARMACEUTICALS | AMNEAL PHARMACEUTICALS CO GMBH | ARMSTRONG PHARMACEUTICALS INC | CHARTWELL MOLECULAR HOLDINGS LLC | CHARTWELL RX SCIENCES LLC | CIPLA LTD | GLAXOSMITHKLINE INTELLECTUAL PROPERTY LTD ENGLAND | KINDEVA DRUG DELIVERY LP | LEXENPHARM SUZHOU LTD | LUOXIN AUROVITAS PHARMA CHENGDU CO LTD | LUPIN INC | NATCO PHARMA USA LLC | NEPHRON CORP | NEPHRON PHARMACEUTICALS CORP | PADAGIS US LLC | QUAGEN PHARMACEUTICALS LLC | RISING PHARMA HOLDINGS INC | SANDOZ INC | SENTISS AG | SUN PHARMACEUTICAL INDUSTRIES INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D INC | TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC | TEVA PHARMACEUTICALS USA INC | THE RITEDOSE CORP | ZYDUS PHARMACEUTICALS USA INC,4,30,020503 | 020983 | 021457 | 205636,072637 | 072894 | 073419 | 074543 | 074880 | 075664 | 076355 | 077788 | 077839 | 078105 | 079241 | 203760 | 206224 | 207046 | 207085 | 207857 | 208804 | 208884 | 209954 | 209959 | 210948 | 211397 | 211600 | 211888 | 212197 | 212447 | 214531 | 215571 | 218386 | 219409,"AEROSOL, METERED;INHALATION | POWDER, METERED;INHALATION | SOLUTION;INHALATION | SYRUP;ORAL | TABLET;ORAL",AA | AB | AB1 | AB2 | AB3 | AN | BX,1989-12-05,2026-04-22,4,41,Respiratory,CHRONIC,0,,,,,No
ALBUTEROL SULFATE; BUDESONIDE,AIRSUPRA,ASTRAZENECA PHARMACEUTICALS LP,1,0,214070,,"AEROSOL, METERED;INHALATION",,2023-01-10,2023-01-10,1,0,Respiratory,CHRONIC,1,2030-05-28,2030,M-317,2028-09-15,No
