Source,Drug,Brand,Disease / Indication,Disease Category,Modality,Drug Target (Gene),Annual Revenue 2024 (USD B),Dose,Frequency,Duration of Use
Purple Book,adalimumab,Humira / biosimilars,Rheumatoid arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,8.99,40 mg SC,Every 2 weeks,Indefinite (lifelong maintenance)
Purple Book,adalimumab,Humira / biosimilars,Psoriatic arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,8.99,40 mg SC,Every 2 weeks,Indefinite
Purple Book,adalimumab,Humira / biosimilars,Ankylosing spondylitis / axSpA,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,8.99,40 mg SC,Every 2 weeks,Indefinite
Purple Book,adalimumab,Humira / biosimilars,Juvenile idiopathic arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,8.99,10–20 mg SC (weight-based),Every 2 weeks,Indefinite
Purple Book,etanercept,Enbrel / biosimilars,Rheumatoid arthritis,Autoimmune – Rheumatology,Fusion Protein,TNF,3.5,50 mg SC,Once weekly,Indefinite
Purple Book,etanercept,Enbrel / biosimilars,Psoriatic arthritis,Autoimmune – Rheumatology,Fusion Protein,TNF,3.5,50 mg SC,Once weekly,Indefinite
Purple Book,etanercept,Enbrel / biosimilars,Ankylosing spondylitis,Autoimmune – Rheumatology,Fusion Protein,TNF,3.5,50 mg SC,Once weekly,Indefinite
Purple Book,etanercept,Enbrel / biosimilars,Juvenile idiopathic arthritis,Autoimmune – Rheumatology,Fusion Protein,TNF,3.5,0.8 mg/kg SC (max 50 mg),Once weekly,Indefinite
Purple Book,infliximab,Remicade / biosimilars,Rheumatoid arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,1.5,"3 mg/kg IV (wk 0, 2, 6 induction)",Every 8 weeks (maintenance),Indefinite
Purple Book,infliximab,Remicade / biosimilars,Ankylosing spondylitis / axSpA,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,1.5,"5 mg/kg IV (wk 0, 2, 6 induction)",Every 6 weeks (maintenance),Indefinite
Purple Book,infliximab,Remicade / biosimilars,Psoriatic arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,TNF,1.5,"5 mg/kg IV (wk 0, 2, 6 induction)",Every 8 weeks (maintenance),Indefinite
Purple Book,secukinumab,Cosentyx,Psoriatic arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,IL17A,6.14,"150 mg SC (weekly ×5, then q4w; or 300 mg if prior anti-TNF failure)",Every 4 weeks,Indefinite
Purple Book,secukinumab,Cosentyx,Ankylosing spondylitis / AS,Autoimmune – Rheumatology,Monoclonal Antibody,IL17A,6.14,"150 mg SC (weekly ×5, then q4w)",Every 4 weeks,Indefinite
Purple Book,secukinumab,Cosentyx,Non-radiographic axSpA,Autoimmune – Rheumatology,Monoclonal Antibody,IL17A,6.14,"150 mg SC (weekly ×5, then q4w)",Every 4 weeks,Indefinite
Purple Book,ixekizumab,Taltz,Psoriatic arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,IL17A,2.5,"160 mg SC (wk 0), then 80 mg",Every 4 weeks,Indefinite
Purple Book,ixekizumab,Taltz,Ankylosing spondylitis,Autoimmune – Rheumatology,Monoclonal Antibody,IL17A,2.5,"160 mg SC (wk 0), then 80 mg",Every 4 weeks,Indefinite
Purple Book,ixekizumab,Taltz,Non-radiographic axSpA,Autoimmune – Rheumatology,Monoclonal Antibody,IL17A,2.5,80 mg SC,Every 4 weeks,Indefinite
Purple Book,guselkumab,Tremfya,Psoriatic arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,IL23A,3.67,"100 mg SC (wk 0 & 4, then q8w)",Every 8 weeks,Indefinite
Purple Book,tocilizumab,Actemra,Rheumatoid arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,IL6R,1.51,4–8 mg/kg IV q4w; or 162 mg SC,Every 1–2 weeks (SC) / every 4 weeks (IV),Indefinite
Purple Book,tocilizumab,Actemra,Giant cell arteritis,Autoimmune – Rheumatology,Monoclonal Antibody,IL6R,1.51,162 mg SC (+ steroid taper),Every week,Indefinite (disease recurs off therapy)
Purple Book,tocilizumab,Actemra,Juvenile idiopathic arthritis (SJIA/PJIA),Autoimmune – Rheumatology,Monoclonal Antibody,IL6R,1.51,8–12 mg/kg IV (weight-based),Every 2–4 weeks,Indefinite
Purple Book,rituximab,Rituxan / biosimilars,Rheumatoid arthritis (anti-TNF inadequate responders),Autoimmune – Rheumatology,Monoclonal Antibody,MS4A1,2.0,1000 mg IV ×2 doses (2 wks apart),Repeat course every 24 weeks (or on relapse),Indefinite maintenance
Purple Book,rituximab,Rituxan / biosimilars,ANCA-associated vasculitis (GPA / MPA),Autoimmune – Rheumatology,Monoclonal Antibody,MS4A1,2.0,375 mg/m² IV ×4 (induction); then 500 mg IV ×2 (at 6 and 12 mo),Every 6 months (maintenance),≥2 years (long-term remission maintenance)
Purple Book,rituximab,Rituxan / biosimilars,Pemphigus vulgaris,Autoimmune – Dermatology,Monoclonal Antibody,MS4A1,2.0,1000 mg IV ×2 doses (2 wks apart),"Repeat at 12 mo, 18 mo, then PRN",Indefinite (disease relapse common)
Purple Book,bimekizumab,Bimzelx,Psoriatic arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,"IL17A, IL17F",0.5,160 mg SC,Every 4 weeks,Indefinite
Purple Book,bimekizumab,Bimzelx,Ankylosing spondylitis / nr-axSpA,Autoimmune – Rheumatology,Monoclonal Antibody,"IL17A, IL17F",0.5,160 mg SC,Every 4 weeks,Indefinite
Purple Book,adalimumab,Humira / biosimilars,Plaque psoriasis,Autoimmune – Dermatology,Monoclonal Antibody,TNF,8.99,"80 mg SC (wk 0), then 40 mg (wk 1), then 40 mg",Every 2 weeks,Indefinite
Purple Book,adalimumab,Humira / biosimilars,Hidradenitis suppurativa,Autoimmune – Dermatology,Monoclonal Antibody,TNF,8.99,"160 mg SC (day 1), 80 mg (day 15), then 40 mg",Weekly,Indefinite
Purple Book,adalimumab,Humira / biosimilars,Non-infectious uveitis,Autoimmune – Dermatology,Monoclonal Antibody,TNF,8.99,"80 mg SC (wk 0), then 40 mg (wk 1), then 40 mg",Every 2 weeks,Indefinite
Purple Book,etanercept,Enbrel / biosimilars,Plaque psoriasis,Autoimmune – Dermatology,Fusion Protein,TNF,3.5,"50 mg SC twice weekly ×12 wks (induction), then 50 mg",Once weekly (maintenance),Indefinite
Purple Book,infliximab,Remicade / biosimilars,Plaque psoriasis,Autoimmune – Dermatology,Monoclonal Antibody,TNF,1.5,"5 mg/kg IV (wk 0, 2, 6 induction)",Every 8 weeks,Indefinite
Purple Book,secukinumab,Cosentyx,Plaque psoriasis,Autoimmune – Dermatology,Monoclonal Antibody,IL17A,6.14,"300 mg SC weekly ×5 (induction), then 300 mg",Every 4 weeks,Indefinite
Purple Book,ixekizumab,Taltz,Plaque psoriasis,Autoimmune – Dermatology,Monoclonal Antibody,IL17A,2.5,160 mg SC (wk 0); 80 mg q2w ×5 doses,Every 4 weeks (maintenance),Indefinite
Purple Book,guselkumab,Tremfya,Plaque psoriasis,Autoimmune – Dermatology,Monoclonal Antibody,IL23A,3.67,100 mg SC (wk 0 & 4),Every 8 weeks,Indefinite
Purple Book,risankizumab,Skyrizi,Plaque psoriasis,Autoimmune – Dermatology,Monoclonal Antibody,IL23A,11.72,150 mg SC (2 × 75 mg at wk 0 & 4),Every 12 weeks,Indefinite
Purple Book,risankizumab,Skyrizi,Psoriatic arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,IL23A,11.72,"150 mg SC (wk 0 & 4, then q12w)",Every 12 weeks,Indefinite
Purple Book,bimekizumab,Bimzelx,Plaque psoriasis,Autoimmune – Dermatology,Monoclonal Antibody,"IL17A, IL17F",0.5,320 mg SC q4w ×16 wks (induction),Every 8 weeks (maintenance),Indefinite
Purple Book,dupilumab,Dupixent,Atopic dermatitis (adults),Autoimmune – Dermatology,Monoclonal Antibody,IL4R,14.15,"600 mg SC loading (2 × 300 mg), then 300 mg",Every 2 weeks,Indefinite
Purple Book,dupilumab,Dupixent,Prurigo nodularis,Autoimmune – Dermatology,Monoclonal Antibody,IL4R,14.15,"600 mg SC loading, then 300 mg",Every 2 weeks,Indefinite (recurrent pruritic condition)
Purple Book,tralokinumab,Adbry,Atopic dermatitis,Autoimmune – Dermatology,Monoclonal Antibody,IL13,0.3,"600 mg SC loading (4 × 150 mg), then 300 mg q2w; may step down to q4w if controlled",Every 2–4 weeks,Indefinite
Purple Book,lebrikizumab,Ebglyss,Atopic dermatitis,Autoimmune – Dermatology,Monoclonal Antibody,IL13,0.1,"500 mg SC ×2 at wk 0, then 250 mg",Every 2 weeks,Indefinite
Purple Book,nemolizumab-ilto,Nemluvio,Atopic dermatitis,Autoimmune – Dermatology,Monoclonal Antibody,IL31RA,0.05,30 mg SC,Every 4 weeks,Indefinite
Purple Book,nemolizumab-ilto,Nemluvio,Prurigo nodularis,Autoimmune – Dermatology,Monoclonal Antibody,IL31RA,0.05,30 mg SC,Every 4 weeks,Indefinite
Purple Book,spesolimab,Spevigo,Generalized pustular psoriasis – acute flare,Autoimmune – Dermatology,Monoclonal Antibody,IL1RL2,0.2,900 mg IV (single dose per flare),Per flare episode,As needed for acute flares
Purple Book,spesolimab,Spevigo,Generalized pustular psoriasis – maintenance,Autoimmune – Dermatology,Monoclonal Antibody,IL1RL2,0.2,600 mg SC,Every 12 weeks,Indefinite (chronic prophylaxis)
Purple Book,adalimumab,Humira / biosimilars,Crohn's disease,Autoimmune – Gastroenterology,Monoclonal Antibody,TNF,8.99,"160 mg SC (wk 0), 80 mg (wk 2), then 40 mg",Every 2 weeks,Indefinite
Purple Book,adalimumab,Humira / biosimilars,Ulcerative colitis,Autoimmune – Gastroenterology,Monoclonal Antibody,TNF,8.99,"160 mg SC (wk 0), 80 mg (wk 2), then 40 mg",Every 2 weeks,Indefinite
Purple Book,infliximab,Remicade / biosimilars,Crohn's disease,Autoimmune – Gastroenterology,Monoclonal Antibody,TNF,1.5,"5 mg/kg IV (wk 0, 2, 6 induction)",Every 8 weeks,Indefinite
Purple Book,infliximab,Remicade / biosimilars,Ulcerative colitis,Autoimmune – Gastroenterology,Monoclonal Antibody,TNF,1.5,"5 mg/kg IV (wk 0, 2, 6 induction)",Every 8 weeks,Indefinite
Purple Book,ustekinumab,Stelara,Crohn's disease,Autoimmune – Gastroenterology,Monoclonal Antibody,IL12B,4.5,"~260–520 mg IV (single weight-based induction), then 90 mg SC",Every 8 weeks (SC maintenance),Indefinite
Purple Book,ustekinumab,Stelara,Ulcerative colitis,Autoimmune – Gastroenterology,Monoclonal Antibody,IL12B,4.5,"~260–520 mg IV (single induction), then 90 mg SC",Every 8 weeks,Indefinite
Purple Book,ustekinumab,Stelara,Plaque psoriasis,Autoimmune – Dermatology,Monoclonal Antibody,IL12B,4.5,45 mg (≤100 kg) or 90 mg SC at wk 0 & 4,Every 12 weeks,Indefinite
Purple Book,ustekinumab,Stelara,Psoriatic arthritis,Autoimmune – Rheumatology,Monoclonal Antibody,IL12B,4.5,45 mg or 90 mg SC at wk 0 & 4,Every 12 weeks,Indefinite
Purple Book,vedolizumab,Entyvio,Ulcerative colitis,Autoimmune – Gastroenterology,Monoclonal Antibody,"ITGA4, ITGB7",5.4,"300 mg IV (wk 0, 2, 6 induction)",Every 8 weeks (maintenance),Indefinite
Purple Book,vedolizumab,Entyvio,Crohn's disease,Autoimmune – Gastroenterology,Monoclonal Antibody,"ITGA4, ITGB7",5.4,"300 mg IV (wk 0, 2, 6 induction)",Every 8 weeks (maintenance),Indefinite
Purple Book,risankizumab,Skyrizi,Crohn's disease,Autoimmune – Gastroenterology,Monoclonal Antibody,IL23A,11.72,"600 mg IV ×3 (q8w induction), then 360 mg SC",Every 8 weeks,Indefinite
Purple Book,risankizumab,Skyrizi,Ulcerative colitis,Autoimmune – Gastroenterology,Monoclonal Antibody,IL23A,11.72,"600 mg IV ×3 (q8w induction), then 180 mg SC",Every 8 weeks,Indefinite
Purple Book,mirikizumab,Omvoh,Ulcerative colitis,Autoimmune – Gastroenterology,Monoclonal Antibody,IL23A,0.3,"300 mg IV ×3 (q4w induction), then 200 mg SC",Every 4 weeks,Indefinite
Purple Book,dupilumab,Dupixent,Moderate-to-severe asthma,Autoimmune – Pulmonology,Monoclonal Antibody,IL4R,14.15,200 or 300 mg SC (dose by eosinophil/OCS status),Every 2 weeks,Indefinite
Purple Book,dupilumab,Dupixent,CRSwNP (chronic rhinosinusitis with nasal polyps),Autoimmune – Pulmonology,Monoclonal Antibody,IL4R,14.15,300 mg SC,Every 2 weeks,Indefinite
Purple Book,dupilumab,Dupixent,Eosinophilic esophagitis (EoE),Autoimmune – Gastroenterology,Monoclonal Antibody,IL4R,14.15,300 mg SC,Once weekly,Indefinite
Purple Book,dupilumab,Dupixent,COPD with type-2 inflammation (eosinophilic),Autoimmune – Pulmonology,Monoclonal Antibody,IL4R,14.15,300 mg SC,Every 2 weeks,Indefinite
Purple Book,omalizumab,Xolair,Moderate-to-severe allergic asthma,Autoimmune – Pulmonology,Monoclonal Antibody,IGHE,3.7,75–375 mg SC (IgE- and weight-based),Every 2–4 weeks,Indefinite
Purple Book,omalizumab,Xolair,Chronic spontaneous urticaria,Autoimmune – Dermatology,Monoclonal Antibody,IGHE,3.7,150 or 300 mg SC,Every 4 weeks,Indefinite (while disease is active)
Purple Book,omalizumab,Xolair,Nasal polyps / CRSwNP,Autoimmune – Pulmonology,Monoclonal Antibody,IGHE,3.7,75–600 mg SC (IgE/weight-based),Every 2–4 weeks,Indefinite
Purple Book,omalizumab,Xolair,IgE-mediated food allergy (multi-food),Allergy / Immunology,Monoclonal Antibody,IGHE,3.7,75–600 mg SC (IgE/weight-based),Every 2–4 weeks,Indefinite (ongoing protection)
Purple Book,mepolizumab,Nucala,Severe eosinophilic asthma,Autoimmune – Pulmonology,Monoclonal Antibody,IL5,2.0,100 mg SC,Every 4 weeks,Indefinite
Purple Book,mepolizumab,Nucala,EGPA (eosinophilic granulomatosis with polyangiitis),Autoimmune – Rheumatology,Monoclonal Antibody,IL5,2.0,300 mg SC (3 × 100 mg),Every 4 weeks,Indefinite
Purple Book,mepolizumab,Nucala,Hypereosinophilic syndrome (HES),Hematology – Rare Blood,Monoclonal Antibody,IL5,2.0,300 mg SC (3 × 100 mg),Every 4 weeks,Indefinite
Purple Book,mepolizumab,Nucala,CRSwNP,Autoimmune – Pulmonology,Monoclonal Antibody,IL5,2.0,100 mg SC,Every 4 weeks,Indefinite
Purple Book,benralizumab,Fasenra,Severe eosinophilic asthma,Autoimmune – Pulmonology,Monoclonal Antibody,IL5RA,1.3,30 mg SC q4w ×3 doses (induction),Every 8 weeks (maintenance),Indefinite
Purple Book,tezepelumab,Tezspire,Severe asthma (uncontrolled),Autoimmune – Pulmonology,Monoclonal Antibody,TSLP,0.8,210 mg SC,Every 4 weeks,Indefinite
Purple Book,depemokimab,Nuraev (Asthma) / Nucala Ultra,Severe eosinophilic asthma / EGPA,Autoimmune – Pulmonology,Monoclonal Antibody,IL5,0.05,100 mg SC,Every 6 months,Indefinite (longest-acting IL-5 inhibitor)
Purple Book,peanut (arachis hypogaea) allergen powder,Palforzia,Peanut allergy (desensitization),Allergy / Immunology,Allergen / Vaccine,"FCER1A, IL4R",0.2,Gradual oral up-titration to 300 mg/day maintenance,Daily oral dosing,≥3 years (lifelong maintenance while on therapy)
Purple Book,short ragweed pollen allergen extract,Grastek / Ragwitek,Ragweed allergic rhinitis,Allergy / Immunology,Allergen / Vaccine,"FCER1A, IL4R",0.1,1 tablet (6 Amb a 1-U) sublingual daily,Daily,3–5 years (standard SLIT course)
Purple Book,ofatumumab,Kesimpta,Relapsing multiple sclerosis,Neurology – Demyelinating,Monoclonal Antibody,MS4A1,1.2,"20 mg SC at wk 0, 1, 2; then 20 mg",Every 4 weeks,Indefinite
Purple Book,natalizumab-sztn,Tysabri,Relapsing multiple sclerosis,Neurology – Demyelinating,Monoclonal Antibody,ITGA4,1.5,300 mg IV,Every 4 weeks,Indefinite (JC virus monitoring required)
Purple Book,natalizumab-sztn,Tysabri,Crohn's disease,Autoimmune – Gastroenterology,Monoclonal Antibody,ITGA4,1.5,300 mg IV,Every 4 weeks,Indefinite
Purple Book,ocrelizumab and hyaluronidase-ocsq,Ocrevus / Ocrevus Zunovo,Relapsing MS,Neurology – Demyelinating,Monoclonal Antibody,MS4A1,6.7,600 mg IV or 920 mg SC,Every 6 months,Indefinite
Purple Book,ocrelizumab and hyaluronidase-ocsq,Ocrevus / Ocrevus Zunovo,Primary progressive MS (PPMS),Neurology – Demyelinating,Monoclonal Antibody,MS4A1,6.7,600 mg IV or 920 mg SC,Every 6 months,Indefinite
Purple Book,ublituximab-xiiy,Briumvi,Relapsing multiple sclerosis,Neurology – Demyelinating,Monoclonal Antibody,MS4A1,0.3,150 mg IV then 450 mg IV,Every 6 months,Indefinite
Purple Book,satralizumab-mwge,Enspryng,NMOSD (AQP4-IgG+),Neurology – Demyelinating,Monoclonal Antibody,IL6R,0.3,"120 mg SC at wk 0, 2, 4; then 120 mg",Every 4 weeks,Indefinite
Purple Book,inebilizumab-cdon,Uplizna,NMOSD,Neurology – Demyelinating,Monoclonal Antibody,CD19,0.2,300 mg IV ×2 doses (2 wks apart induction),300 mg every 6 months,Indefinite
Purple Book,efgartigimod alfa-fcab,Vyvgart,Generalized myasthenia gravis (gMG),Neurology – Neuromuscular,Fusion Protein,FCGRT,0.6,10 mg/kg IV weekly ×4 doses per cycle,Repeat cycles every 4–8 weeks based on response,Indefinite cycling
Purple Book,efgartigimod alfa and hyaluronidase,Vyvgart Hytrulo,Generalized myasthenia gravis,Neurology – Neuromuscular,Fusion Protein,FCGRT,0.6,"1000 mg/11,250 U SC weekly ×4 per cycle",Repeat cycles every 4–8 weeks,Indefinite
Purple Book,rozanolixizumab,Rystiggo,Generalized myasthenia gravis,Neurology – Neuromuscular,Monoclonal Antibody,FCGRT,0.1,7 mg/kg SC weekly ×6 weeks per cycle,Repeat cycles as needed,Indefinite
Purple Book,nipocalimab,Imaavy,Generalized myasthenia gravis,Neurology – Neuromuscular,Monoclonal Antibody,FCGRT,0.05,30 mg/kg IV loading; then 15 mg/kg,Every 2 weeks,Indefinite
Purple Book,anifrolumab,Saphnelo,Systemic lupus erythematosus (SLE),Autoimmune – Rheumatology,Monoclonal Antibody,IFNAR1,0.5,300 mg IV,Every 4 weeks,Indefinite
Purple Book,axatilimab-csfr,Niktimvo,Chronic graft-versus-host disease (cGVHD),Hematology – Rare Blood,Monoclonal Antibody,CSF1R,0.1,0.3 mg/kg IV,Every 2 weeks,Indefinite (while cGVHD persists)
Purple Book,sibeprenlimab-szsi,Vrumvit,IgA nephropathy (IgAN),Nephrology,Monoclonal Antibody,TNFSF13,0.05,3 mg/kg SC,Every 4 weeks,Indefinite (progressive disease)
Purple Book,ropeginterferon alfa-2b-njft,Besremi,Polycythemia vera (PV),Hematology – Myeloproliferative,Enzyme / Protein Replacement,"IFNAR1, IFNAR2",0.2,100–500 mcg SC (titrated),Every 2 weeks,Indefinite
Purple Book,eculizumab,Soliris,Paroxysmal nocturnal hemoglobinuria (PNH),Hematology – Complement,Monoclonal Antibody,C5,1.5,600 mg IV q7d ×4; 900 mg at wk 5; then 900 mg,Every 14 days,Lifelong
Purple Book,eculizumab,Soliris,Atypical hemolytic uremic syndrome (aHUS),Hematology – Complement,Monoclonal Antibody,C5,1.5,900 mg IV q7d ×4; 1200 mg at wk 5; then 1200 mg,Every 14 days,Lifelong (or until sustained remission)
Purple Book,eculizumab,Soliris,Generalized myasthenia gravis (refractory),Neurology – Neuromuscular,Monoclonal Antibody,C5,1.5,900 mg IV q7d ×4; 1200 mg at wk 5; then 1200 mg,Every 14 days,Indefinite
Purple Book,eculizumab,Soliris,NMOSD (AQP4-IgG+),Neurology – Demyelinating,Monoclonal Antibody,C5,1.5,900 mg IV q7d ×4; 1200 mg at wk 5; then 1200 mg,Every 2 weeks,Indefinite
Purple Book,ravulizumab,Ultomiris,Paroxysmal nocturnal hemoglobinuria (PNH),Hematology – Complement,Monoclonal Antibody,C5,2.5,2400–3000 mg IV (weight-based loading); then 3000 mg,Every 8 weeks,Lifelong
Purple Book,ravulizumab,Ultomiris,Atypical HUS (aHUS),Hematology – Complement,Monoclonal Antibody,C5,2.5,2400–3000 mg IV (loading); then 3000 mg,Every 8 weeks,Lifelong
Purple Book,ravulizumab,Ultomiris,Generalized myasthenia gravis,Neurology – Neuromuscular,Monoclonal Antibody,C5,2.5,2700–3000 mg IV (loading); then 3000 mg,Every 8 weeks,Indefinite
Purple Book,ravulizumab,Ultomiris,NMOSD,Neurology – Demyelinating,Monoclonal Antibody,C5,2.5,2700–3000 mg IV (loading); then 3000 mg,Every 8 weeks,Indefinite
Purple Book,crovalimab-akkz,Piasky,Paroxysmal nocturnal hemoglobinuria (PNH),Hematology – Complement,Monoclonal Antibody,C5,0.3,341 mg IV ×1; 170 mg SC ×4 weekly; then 340 mg SC,Every 4 weeks,Lifelong
Purple Book,sutimlimab-jome,Enjaymo,Cold agglutinin disease (CAD),Hematology – Complement,Monoclonal Antibody,C1S,0.2,6500 mg (<75 kg) or 7500 mg (≥75 kg) IV,Every 2 weeks,Indefinite
Purple Book,pozelimab-bbfg,Veopoz,CHAPLE disease (CD55 deficiency),Hematology – Complement,Monoclonal Antibody,C5,0.05,30 mg/kg IV loading; then 12 mg/kg SC,Once weekly,Lifelong (ultra-rare)
Purple Book,emicizumab,Hemlibra,Hemophilia A with inhibitors (prophylaxis),Hematology – Hemophilia,Monoclonal Antibody,"F9, F10",4.9,3 mg/kg SC q1w ×4 (loading); then 1.5 mg/kg q1w,Weekly (or 3 mg/kg q2w or 6 mg/kg q4w),Lifelong
Purple Book,emicizumab,Hemlibra,Hemophilia A without inhibitors (prophylaxis),Hematology – Hemophilia,Monoclonal Antibody,"F9, F10",4.9,Same loading/maintenance dosing as above,Weekly / biweekly / monthly options,Lifelong
Purple Book,concizumab,Alhemo,Hemophilia A or B with inhibitors,Hematology – Hemophilia,Monoclonal Antibody,TFPI,0.05,0.2 mg/kg SC daily,Once daily,Lifelong
Purple Book,marstacimab,Marstacimab (trade name pending),Hemophilia A / B (with or without inhibitors),Hematology – Hemophilia,Monoclonal Antibody,TFPI,0.05,~300 mg SC loading; then 150–300 mg,Weekly,Lifelong
Purple Book,"antihemophilic factor (recombinant), rAHF",Advate / Kogenate / Kovaltry,Hemophilia A (prophylaxis),Hematology – Hemophilia,Enzyme / Protein Replacement,F8,0.8,20–40 IU/kg IV,Every 2–3 days,Lifelong
Purple Book,"antihemophilic factor (recombinant), fc",Eloctate / Elocta,"Hemophilia A (prophylaxis, extended half-life)",Hematology – Hemophilia,Fusion Protein,F8,0.6,25–65 IU/kg IV,Every 3–5 days,Lifelong
Purple Book,"antihemophilic factor (recombinant), pegylated-aucl",Adynovate / Jivi,Hemophilia A (prophylaxis),Hematology – Hemophilia,Enzyme / Protein Replacement,F8,0.5,40–60 IU/kg IV,Twice weekly,Lifelong
Purple Book,"coagulation factor ix (recombinant), glycopegylated",Rebinyn / Refixia,Hemophilia B (prophylaxis),Hematology – Hemophilia,Enzyme / Protein Replacement,F9,0.4,40 IU/kg IV,Once weekly,Lifelong
Purple Book,coagulation factor viia (recombinant),Sevenfact / NovoSeven,Hemophilia A/B with inhibitors (prophylaxis),Hematology – Hemophilia,Enzyme / Protein Replacement,F7,0.4,90 mcg/kg IV q2h until hemostasis (acute); prophylaxis varies,Per bleed (on-demand); prophylaxis daily/twice weekly,Lifelong (on-demand or prophylaxis)
Purple Book,coagulation factor viia (recombinant)-jncw,Alhemo / Pfizer rFVIIa,Hemophilia A/B with inhibitors,Hematology – Hemophilia,Enzyme / Protein Replacement,F7,0.1,Varies by indication,Daily to weekly SC (prophylaxis),Lifelong
Purple Book,lanadelumab,Takhzyro,Hereditary angioedema (HAE) – attack prevention,Rare / Orphan – Immunology,Monoclonal Antibody,KLKB1,0.7,300 mg SC,Every 2 weeks (may extend to q4w after 6 months),Indefinite
Purple Book,garadacimab,Garadacimab (trade name TBD),Hereditary angioedema (HAE) prevention,Rare / Orphan – Immunology,Monoclonal Antibody,F12,0.05,200 mg SC,Once monthly,Indefinite
Purple Book,ranibizumab,Lucentis,Neovascular (wet) AMD,Ophthalmology,Monoclonal Antibody,VEGFA,0.3,0.5 mg intravitreal injection,Monthly (treat-and-extend after stabilization),Indefinite
Purple Book,ranibizumab,Lucentis,Diabetic macular edema (DME),Ophthalmology,Monoclonal Antibody,VEGFA,0.3,0.3 mg intravitreal injection,Monthly (or PRN),Indefinite (while active)
Purple Book,ranibizumab,Lucentis,Retinal vein occlusion (BRVO / CRVO),Ophthalmology,Monoclonal Antibody,VEGFA,0.3,0.5 mg intravitreal injection,"Monthly ×6, then PRN",Indefinite (chronic/recurrent)
Purple Book,ranibizumab,Lucentis,Diabetic retinopathy,Ophthalmology,Monoclonal Antibody,VEGFA,0.3,0.3 mg intravitreal injection,Monthly,Indefinite
Purple Book,brolucizumab-dbll,Beovu,Neovascular (wet) AMD,Ophthalmology,Monoclonal Antibody,VEGFA,0.6,6 mg intravitreal injection (monthly ×3 loading),Every 8–12 weeks (T&E),Indefinite
Purple Book,brolucizumab-dbll,Beovu,Diabetic macular edema (DME),Ophthalmology,Monoclonal Antibody,VEGFA,0.6,6 mg intravitreal injection (monthly ×6 loading),Every 8–12 weeks (T&E),Indefinite
Purple Book,aflibercept,Eylea / Eylea HD,Neovascular (wet) AMD,Ophthalmology,Fusion Protein,"VEGFA, PGF",9.3,2 mg intravitreal (monthly ×3); or 8 mg monthly ×4 (HD),Every 8 weeks (standard) / up to every 16 weeks (HD T&E),Indefinite
Purple Book,aflibercept,Eylea / Eylea HD,Diabetic macular edema (DME),Ophthalmology,Fusion Protein,"VEGFA, PGF",9.3,"2 mg intravitreal monthly ×5, then q8w",Every 8 weeks,Indefinite
Purple Book,aflibercept,Eylea / Eylea HD,Macular edema from retinal vein occlusion (RVO),Ophthalmology,Fusion Protein,"VEGFA, PGF",9.3,"2 mg intravitreal monthly ×6, then PRN",Monthly / PRN,Indefinite
Purple Book,aflibercept,Eylea,Diabetic retinopathy (all DR),Ophthalmology,Fusion Protein,"VEGFA, PGF",9.3,2 mg intravitreal monthly ×5,Every 8 weeks,Indefinite
Purple Book,faricimab,Vabysmo,Neovascular (wet) AMD,Ophthalmology,Monoclonal Antibody,"VEGFA, ANGPT2",4.4,6 mg intravitreal monthly ×4 (loading),Up to every 16 weeks (treat-and-extend),Indefinite
Purple Book,faricimab,Vabysmo,Diabetic macular edema (DME),Ophthalmology,Monoclonal Antibody,"VEGFA, ANGPT2",4.4,6 mg intravitreal monthly ×4 (loading),Up to every 16 weeks (T&E),Indefinite
Purple Book,insulin lispro,Humalog / Admelog / Lyumjev,Type 1 diabetes mellitus,Endocrinology – Diabetes,Peptide / Hormone,INSR,2.0,0.5–1 IU/kg/day total; mealtime dose ~0.1–0.2 IU/kg,Multiple daily injections (or continuous pump),Lifelong
Purple Book,insulin lispro,Humalog / Admelog,Type 2 diabetes mellitus,Endocrinology – Diabetes,Peptide / Hormone,INSR,2.0,"4–10 IU per meal (initial), titrate","With meals, as prescribed",Lifelong (or while required)
Purple Book,insulin glargine,Lantus / Toujeo / Basaglar,Type 1 diabetes mellitus,Endocrinology – Diabetes,Peptide / Hormone,INSR,2.5,0.2–0.4 IU/kg SC once daily,"Once daily (any time, consistent)",Lifelong
Purple Book,insulin glargine,Lantus / Toujeo,Type 2 diabetes mellitus,Endocrinology – Diabetes,Peptide / Hormone,INSR,2.5,0.2 IU/kg once daily (starting); titrate to FBG target,Once daily,Lifelong
