Source,Drug,Brand,Disease / Indication,Disease Category,Modality,Drug Target (Gene),Annual Revenue 2024 (USD B),Dose,Frequency,Duration of Use
Orange Book,Benzoyl Peroxide,EPSOLAY,Acne,Dermatology – General,chemical,Releases active oxygen,0.02,5% topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Benzoyl Peroxide; Clindamycin Phosphate,ACANYA,Acne,Dermatology – General,chemical,rpsB,0.00,3.75%; 1.2% BASE topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Benzoyl Peroxide; Erythromycin,BENZAMYCIN,Acne,Dermatology – General,chemical,rpsB,0.00,5%; 3% topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Benzoyl Peroxide; Tretinoin,TWYNEO,Acne,Dermatology – General,chemical,RARG,,3%; 0.1% topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Benztropine Mesylate,BENZTROPINE MESYLATE,Tardive dyskinesia,Neurology – Movement Disorder,chemical,CHRM1,,1MG/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Benztropine Mesylate,BENZTROPINE MESYLATE,Parkinson's disease,Neurology – Movement Disorder,chemical,CHRM1,,1MG/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Betamethasone Acetate; Betamethasone Sodium Phosphate,CELESTONE SOLUSPAN,Asthma,Autoimmune – Dermatology,chemical,NR3C1,,3MG/mL; 3MG BASE/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Betamethasone Acetate; Betamethasone Sodium Phosphate,CELESTONE SOLUSPAN,Allergic rhinitis,Autoimmune – Dermatology,chemical,NR3C1,,3MG/mL; 3MG BASE/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Betamethasone Acetate; Betamethasone Sodium Phosphate,CELESTONE SOLUSPAN,Atopic dermatitis,Autoimmune – Dermatology,chemical,NR3C1,,3MG/mL; 3MG BASE/mL,As directed,Indefinite (lifelong maintenance)
Orange Book,Betamethasone Dipropionate,BETAMETHASONE DIPROPIONATE,Skin disorder,Dermatology – General,chemical,NR3C1,,0.05% BASE/SPRAY topical,As directed,Indefinite (lifelong maintenance)
Orange Book,Betamethasone Dipropionate; Calcipotriene,ENSTILAR,Psoriasis,Autoimmune – Dermatology,chemical,"NR3C1, VDR",0.01,0.064%; 0.005% topical,As directed,Indefinite (lifelong maintenance)
Orange Book,Betamethasone Dipropionate; Clotrimazole,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,Skin disorder,Dermatology – General,chemical,"NR3C1, ERG11",,0.05% BASE; 1% topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Betamethasone Valerate,BETA-VAL,Skin disorder,Dermatology – General,chemical,NR3C1,,0.1% BASE topical,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Betaxolol Hydrochloride,BETAXOLOL HYDROCHLORIDE,Hypertension,Cardiovascular – Hypertension,chemical,ADRB1,0.00,0.25% BASE ophthalmic,As directed,Indefinite (lifelong maintenance)
Orange Book,Betaxolol Hydrochloride,BETAXOLOL HYDROCHLORIDE,Glaucoma / ocular hypertension,Cardiovascular – Hypertension,chemical,ADRB1,0.00,0.25% BASE ophthalmic,As directed,Indefinite (lifelong maintenance)
Orange Book,Bethanechol Chloride,BETHANECHOL CHLORIDE,GI disorder,Gastroenterology – Other,chemical,"CHRM3, CHRM2",,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Bexagliflozin,BRENZAVVY,Type 2 diabetes,Endocrinology – Diabetes,chemical,SLC5A2,,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Bexagliflozin,BRENZAVVY,Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2,,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Bexarotene,BEXAROTENE,Lymphoma,Oncology – Hematologic,chemical,RXRB,0.00,1% topical,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Bicalutamide,BICALUTAMIDE,Prostate cancer (mCRPC),Oncology – Solid Tumor,chemical,AR,,50MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Bictegravir Sodium; Emtricitabine; Tenofovir Alafenamide Fumarate,BIKTARVY,HIV infection,Infectious – HIV,chemical,pol,6.27,50MG BASE; 200MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Bimatoprost,BIMATOPROST,Hypertension,Ophthalmology,chemical,PTGFR,0.04,0.03% topical,As directed,Indefinite (lifelong maintenance)
Orange Book,Bimatoprost,BIMATOPROST,Glaucoma / ocular hypertension,Ophthalmology,chemical,PTGFR,0.04,0.03% topical,As directed,Indefinite (lifelong maintenance)
Orange Book,Binimetinib,MEKTOVI,Non-small cell lung cancer,Oncology – Solid Tumor,chemical,"MAP2K1, MAP2K2",0.03,15MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Binimetinib,MEKTOVI,Small cell lung cancer,Oncology – Solid Tumor,chemical,"MAP2K1, MAP2K2",0.03,15MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Binimetinib,MEKTOVI,Melanoma,Oncology – Solid Tumor,chemical,"MAP2K1, MAP2K2",0.03,15MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Bisoprolol Fumarate,BISOPROLOL FUMARATE,Hypertension,Cardiovascular – Hypertension,chemical,ADRB1,0.01,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Bisoprolol Fumarate; Hydrochlorothiazide,ZIAC,Hypertension,Cardiovascular – Hypertension,chemical,"ADRB1, SLC12A3",,10MG; 6.25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Bortezomib,BORTEZOMIB,Multiple myeloma,Oncology – Hematologic,chemical,PSMD1,0.04,3.5MG/1.4ML (2.5MG/mL) SC,As directed,Long-term (until progression / disease control)
Orange Book,Bortezomib,BORTEZOMIB,Lymphoma,Oncology – Hematologic,chemical,PSMD1,0.04,3.5MG/1.4ML (2.5MG/mL) SC,As directed,Long-term (until progression / disease control)
Orange Book,Bosentan,BOSENTAN,Cardiovascular disease,Cardiovascular – Other,chemical,EDNRB,0.04,125MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Bosutinib Monohydrate,BOSULIF,Chronic myeloid leukemia,Oncology – Hematologic,chemical,ABL1,0.08,500MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Brexpiprazole,BREXPIPRAZOLE,Schizophrenia,Gastroenterology – Other,chemical,"DRD2, HTR1A, HTR2A",0.94,4MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Brexpiprazole,BREXPIPRAZOLE,Major depressive disorder,Gastroenterology – Other,chemical,"DRD2, HTR1A, HTR2A",0.94,4MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Brexpiprazole,BREXPIPRAZOLE,Alzheimer's disease / dementia,Gastroenterology – Other,chemical,"DRD2, HTR1A, HTR2A",0.94,4MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Orange Book,Brigatinib,ALUNBRIG,Non-small cell lung cancer,Oncology – Hematologic,chemical,"ALK, EGFR",0.01,180MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Brigatinib,ALUNBRIG,Small cell lung cancer,Oncology – Hematologic,chemical,"ALK, EGFR",0.01,180MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Brigatinib,ALUNBRIG,Lymphoma,Oncology – Hematologic,chemical,"ALK, EGFR",0.01,180MG oral,Once or twice daily,Long-term (until progression / disease control)
Orange Book,Brimonidine Tartrate,ALPHAGAN P,Glaucoma,Ophthalmology,chemical,ADRA2A,0.03,0.15% ophthalmic,Once daily,Indefinite (lifelong maintenance)
